slug,title,issue_type,confidence,details
"chilakapacha-kapuram-1995","Chilakapacha Kapuram","wrong_hero_gender","high","{'current_hero':'Soundarya','heroine':'Meena','reason':'Hero name matches known female actress'}"
"national-film-awards-2003","National Film Awards","wrong_hero_gender","high","{'current_hero':'Soundarya','heroine':null,'reason':'Hero name matches known female actress'}"
"kalasi-naduddam-2001","Kalasi Naduddam","wrong_hero_gender","high","{'current_hero':'Soundarya','heroine':'Soundarya','reason':'Hero name matches known female actress'}"
"kalasi-naduddam-2001","Kalasi Naduddam","hero_heroine_same","high","{'name':'Soundarya','reason':'Hero and heroine are identical'}"
"naa-manasista-raa-2001","Naa Manasista Raa","wrong_hero_gender","high","{'current_hero':'Soundarya','heroine':'Soundarya','reason':'Hero name matches known female actress'}"
"naa-manasista-raa-2001","Naa Manasista Raa","hero_heroine_same","high","{'name':'Soundarya','reason':'Hero and heroine are identical'}"
"thavasi-2001","Thavasi","wrong_hero_gender","high","{'current_hero':'Soundarya','heroine':'Soundarya','reason':'Hero name matches known female actress'}"
"thavasi-2001","Thavasi","hero_heroine_same","high","{'name':'Soundarya','reason':'Hero and heroine are identical'}"
"best-actress-tamil-2001","Best Actress - Tamil","wrong_hero_gender","high","{'current_hero':'Soundarya','heroine':null,'reason':'Hero name matches known female actress'}"
"best-actress-1996","Best Actress","wrong_hero_gender","high","{'current_hero':'Soundarya','heroine':'Thomas Calabro','reason':'Hero name matches known female actress'}"
"best-actress-kannada-2004","Best Actress – Kannada","wrong_hero_gender","high","{'current_hero':'Soundarya','heroine':null,'reason':'Hero name matches known female actress'}"
"ponnumani-1993","Ponnumani","wrong_hero_gender","high","{'current_hero':'Soundarya','heroine':'Soundarya','reason':'Hero name matches known female actress'}"
"ponnumani-1993","Ponnumani","hero_heroine_same","high","{'name':'Soundarya','reason':'Hero and heroine are identical'}"
"ammoru-1995","Ammoru","wrong_hero_gender","high","{'current_hero':'Soundarya','heroine':'Ramya Krishnan','reason':'Hero name matches known female actress'}"
"nagadevathe-2000","Nagadevathe","wrong_hero_gender","high","{'current_hero':'Soundarya','heroine':'Prema','reason':'Hero name matches known female actress'}"
"karnataka-state-film-awards-1998","Karnataka State Film Awards","wrong_hero_gender","high","{'current_hero':'Soundarya','heroine':null,'reason':'Hero name matches known female actress'}"
"anna-chellelu-1993","Anna Chellelu","wrong_hero_gender","high","{'current_hero':'Soundarya','heroine':'Soundarya','reason':'Hero name matches known female actress'}"
"anna-chellelu-1993","Anna Chellelu","hero_heroine_same","high","{'name':'Soundarya','reason':'Hero and heroine are identical'}"
"ivan-2002","Ivan","wrong_hero_gender","high","{'current_hero':'Soundarya','heroine':'Meena','reason':'Hero name matches known female actress'}"
"kilichundan-mampazham-2003","Kilichundan Mampazham","wrong_hero_gender","high","{'current_hero':'Soundarya','heroine':'Soundarya','reason':'Hero name matches known female actress'}"
"kilichundan-mampazham-2003","Kilichundan Mampazham","hero_heroine_same","high","{'name':'Soundarya','reason':'Hero and heroine are identical'}"
"vijaya-dashami-2003","Vijaya Dashami","wrong_hero_gender","high","{'current_hero':'Soundarya','heroine':'Soundarya','reason':'Hero name matches known female actress'}"
"vijaya-dashami-2003","Vijaya Dashami","hero_heroine_same","high","{'name':'Soundarya','reason':'Hero and heroine are identical'}"
"singhasan-1986","Singhasan","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"paraya-ghar-1989","Paraya Ghar","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"sanjog-1985","Sanjog","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"sharaabi-1984","Sharaabi","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"swayamvaram-1982","Swayamvaram","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"kanoon-ki-zanjeer-1990","Kanoon Ki Zanjeer","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"awaaz-1984","Awaaz","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"ganga-tere-desh-mein-1988","Ganga Tere Desh Mein","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"elaan-e-jung-1989","Elaan-E-Jung","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"sapnon-ka-mandir-1991","Sapnon Ka Mandir","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"kundan-1993","Kundan","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"sur-sangam-1985","Sur Sangam","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"girija-kalyanam-1990","Girija Kalyanam","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"sanaadi-appanna-1977","Sanaadi Appanna","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"majboor-1989","Majboor","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"pataal-bhairavi-1985","Pataal Bhairavi","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"sargam-1979","Sargam","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"lok-parlok-1979","Lok Parlok","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"krantiveera-sangolli-rayanna-2012","Krantiveera Sangolli Rayanna","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"sesh-sanghat-2009","Sesh Sanghat","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"tyagi-1992","Tyagi","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"shehzaade-1989","Shehzaade","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"zakhmi-zameen-1990","Zakhmi Zameen","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"zulm-o-sitam-1998","Zulm-O-Sitam","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"veerta-1993","Veerta","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"ezhai-jaathi-1993","Ezhai Jaathi","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"aaj-ka-arjun-1990","Aaj Ka Arjun","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"jeevan-yudh-1997","Jeevan Yudh","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"chauraha-1994","Chauraha","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"all-in-all-azhagu-raja-2013","All in All Azhagu Raja","wrong_hero_gender","high","{'current_hero':'Kajal Aggarwal','heroine':'Kajal Aggarwal','reason':'Hero name matches known female actress'}"
"all-in-all-azhagu-raja-2013","All in All Azhagu Raja","hero_heroine_same","high","{'name':'Kajal Aggarwal','reason':'Hero and heroine are identical'}"
"do-lafzon-ki-kahani-2016","Do Lafzon Ki Kahani","wrong_hero_gender","high","{'current_hero':'Kajal Aggarwal','heroine':'Kajal Aggarwal','reason':'Hero name matches known female actress'}"
"do-lafzon-ki-kahani-2016","Do Lafzon Ki Kahani","hero_heroine_same","high","{'name':'Kajal Aggarwal','reason':'Hero and heroine are identical'}"
"paayum-puli-2015","Paayum Puli","wrong_hero_gender","high","{'current_hero':'Kajal Aggarwal','heroine':'Kajal Aggarwal','reason':'Hero name matches known female actress'}"
"paayum-puli-2015","Paayum Puli","hero_heroine_same","high","{'name':'Kajal Aggarwal','reason':'Hero and heroine are identical'}"
"khamoshi-2019","Khamoshi","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Tamannaah Bhatia','reason':'Hero name matches known female actress'}"
"khamoshi-2019","Khamoshi","hero_heroine_same","high","{'name':'Tamannaah Bhatia','reason':'Hero and heroine are identical'}"
"venghai-2011","Venghai","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Tamannaah Bhatia','reason':'Hero name matches known female actress'}"
"venghai-2011","Venghai","hero_heroine_same","high","{'name':'Tamannaah Bhatia','reason':'Hero and heroine are identical'}"
"b-hubali-the-beginning-2015","Bāhubali: The Beginning","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Tamannaah Bhatia','reason':'Hero name matches known female actress'}"
"b-hubali-the-beginning-2015","Bāhubali: The Beginning","hero_heroine_same","high","{'name':'Tamannaah Bhatia','reason':'Hero and heroine are identical'}"
"kaloori-2007","Kaloori","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Tamannaah Bhatia','reason':'Hero name matches known female actress'}"
"kaloori-2007","Kaloori","hero_heroine_same","high","{'name':'Tamannaah Bhatia','reason':'Hero and heroine are identical'}"
"aa-bb-kk-2018","Aa Bb Kk","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Tamannaah Bhatia','reason':'Hero name matches known female actress'}"
"aa-bb-kk-2018","Aa Bb Kk","hero_heroine_same","high","{'name':'Tamannaah Bhatia','reason':'Hero and heroine are identical'}"
"kanden-kadhalai-2009","Kanden Kadhalai","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Tamannaah Bhatia','reason':'Hero name matches known female actress'}"
"kanden-kadhalai-2009","Kanden Kadhalai","hero_heroine_same","high","{'name':'Tamannaah Bhatia','reason':'Hero and heroine are identical'}"
"kanne-kalaimaane-2019","Kanne Kalaimaane","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Tamannaah Bhatia','reason':'Hero name matches known female actress'}"
"kanne-kalaimaane-2019","Kanne Kalaimaane","hero_heroine_same","high","{'name':'Tamannaah Bhatia','reason':'Hero and heroine are identical'}"
"padikathavan-2009","Padikathavan","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Tamannaah Bhatia','reason':'Hero name matches known female actress'}"
"padikathavan-2009","Padikathavan","hero_heroine_same","high","{'name':'Tamannaah Bhatia','reason':'Hero and heroine are identical'}"
"netru-indru-naalai-2008","Netru Indru Naalai","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Rekha Vedavyas','reason':'Hero name matches known female actress'}"
"viyabari-2007","Viyabari","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Tamannaah Bhatia','reason':'Hero name matches known female actress'}"
"viyabari-2007","Viyabari","hero_heroine_same","high","{'name':'Tamannaah Bhatia','reason':'Hero and heroine are identical'}"
"devi-2-2019","Devi 2","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Tamannaah Bhatia','reason':'Hero name matches known female actress'}"
"devi-2-2019","Devi 2","hero_heroine_same","high","{'name':'Tamannaah Bhatia','reason':'Hero and heroine are identical'}"
"kedi-2006","Kedi","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Tamannaah Bhatia','reason':'Hero name matches known female actress'}"
"kedi-2006","Kedi","hero_heroine_same","high","{'name':'Tamannaah Bhatia','reason':'Hero and heroine are identical'}"
"petromax-2019","Petromax","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Tamannaah Bhatia','reason':'Hero name matches known female actress'}"
"petromax-2019","Petromax","hero_heroine_same","high","{'name':'Tamannaah Bhatia','reason':'Hero and heroine are identical'}"
