Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
manasanamaha-2020,"Manasanamaha",,2020,"Viraj Ashwin","Drishika Chander","Deepak Reddy"
meka-suri-2-2020,"Meka Suri 2",,2020,"Abhinay","Lirisha Kunapareddy","Trinadh Velisila"
life-anubavinchu-raja-2020,"Life Anubavinchu Raja",,2020,"Ravi Teja Nannimala","Shruti Sharan Shetty","Suresh Thirumur"
oka-chinna-viramam-2020,"Oka Chinna Viramam",,2020,"Naveen Neni","Punarnavi Bhupalam","Sundeep Cheguri"
anaganaga-o-athidhi-2020,"Anaganaga O Athidhi",,2020,"Chaitanya Krishna","Payal Rajput","Dayal Padmanabhan"
iit-krishnamurthy-2020,"IIT Krishnamurthy",,2020,"Prudhvi Dandamudi","Maira Doshi","Sree Vardhan"
krishna-and-his-leela-2020,"Krishna and His Leela",,2020,"Siddhu Jonnalagadda","Shraddha Srinath","Ravikanth Perepu"
murder-2020,"Murder",,2020,"Srikanth Iyengar","Gayatri Bhargavi","Anand Chandra"
degree-college-2020,"Degree College",,2020,"Varun Kamal","Gummadi Jaya Vani","Nandi Narasimha Reddy"
miss-india-2020,"Miss India",,2020,"Jagapathi Babu","Keerthy Suresh","Narendra nath"
metro-kathalu-2020,"Metro Kathalu",,2020,"Rajiv Kanakala","Gayatri Bhargavi","Karuna Kumar"
orey-bujjiga-2020,"Orey Bujjiga",,2020,"Raj Tarun","Malavika Nair","Vijay Kumar Konda"
meka-suri-2020,"Meka Suri",,2020,"Abhinay","Abhinaya","Trinadh Velisila"
family-a-made-at-home-short-film-2020,"Family - A Made at Home Short Film",,2020,"Amitabh Bachchan","Priyanka Chopra Jonas","Prasoon Pandey"
eureka-2020,"Eureka",,2020,"Brahmaji","Dimple Hayathi","Karteek Anand"
ala-vaikunthapurramloo-2020,"Ala Vaikunthapurramloo",,2020,"Allu Arjun","Pooja Hegde","Trivikram Srinivas"
solo-brathuke-so-better-2020,"Solo Brathuke So Better",,2020,"Sai Durgha Tej","Nabha Natesh","Subbu Mangadevi"
raahu-2020,"Raahu",,2020,"Aberaam Varma","Spoorthi Vedula","Subbu Vedula"
