Priority,Completeness,Year,Title,Issues,TMDB_ID,URL
Medium,70%,2025,"Break Out","No English synopsis, No backdrop, No runtime, No TMDB ID, No Telugu title",,http://localhost:3000/movies/break-out-2025
Medium,70%,2025,"Dragon","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1273049,http://localhost:3000/movies/dragon-2025
Medium,70%,2025,"Tourist Family","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1398359,http://localhost:3000/movies/tourist-family-2025
Medium,70%,2025,"L2: Empuraan","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",627336,http://localhost:3000/movies/l2-empuraan-2025
Medium,70%,2025,"The SpongeBob Movie: Search for SquarePants","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",991494,http://localhost:3000/movies/the-spongebob-movie-search-for-squarepants-2025
Medium,70%,2025,"Roofman","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1242419,http://localhost:3000/movies/roofman-2025
Medium,70%,2025,"Jewel Thief - The Heist Begins","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1225915,http://localhost:3000/movies/jewel-thief-the-heist-begins-2025
Medium,70%,2025,"Saiyaara","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1241634,http://localhost:3000/movies/saiyaara-2025
Medium,70%,2025,"High Rollers","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1149167,http://localhost:3000/movies/high-rollers-2025
Medium,70%,2025,"Nobody 2","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1007734,http://localhost:3000/movies/nobody-2-2025
Medium,70%,2025,"Predator: Killer of Killers","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1376434,http://localhost:3000/movies/predator-killer-of-killers-2025
Medium,70%,2025,"Marty Supreme","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1317288,http://localhost:3000/movies/marty-supreme-2025
Medium,70%,2025,"Diés Iraé","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1396869,http://localhost:3000/movies/di-s-ira--2025
Medium,70%,2025,"Avatar: Fire and Ash","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",83533,http://localhost:3000/movies/avatar-fire-and-ash-2025
Medium,70%,2025,"Vaamana","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",927224,http://localhost:3000/movies/vaamana-2025
Medium,70%,2025,"Eleven","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1309643,http://localhost:3000/movies/eleven-2025
Medium,70%,2025,"Lokah Chapter 1: Chandra","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1290190,http://localhost:3000/movies/lokah-chapter-1-chandra-2025
Medium,70%,2025,"F1","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",911430,http://localhost:3000/movies/f1-2025
