
╔══════════════════════════════════════════════════════════════════════╗
║         MOVIES NEEDING MANUAL REVIEW                                 ║
╚══════════════════════════════════════════════════════════════════════╝


Title	Year	Category	Issue	URL
Guru	1989	wrong hero gender	Wrong hero attribution - needs TMDB research	http://localhost:3000/movies/guru-1989
Chaand Kaa Tukdaa	1994	wrong hero gender	Wrong hero attribution - needs TMDB research	http://localhost:3000/movies/chaand-kaa-tukdaa-1994
Fire and Flames	1986	wrong hero gender	Wrong hero attribution - needs TMDB research	http://localhost:3000/movies/fire-and-flames-1986
Lamhe	1991	wrong hero gender	Wrong hero attribution - needs TMDB research	http://localhost:3000/movies/lamhe-1991
Ram-Avtar	1988	wrong hero gender	Wrong hero attribution - needs TMDB research	http://localhost:3000/movies/ram-avtar-1988
Pathar Ke Insan	1990	wrong hero gender	Wrong hero attribution - needs TMDB research	http://localhost:3000/movies/pathar-ke-insan-1990
Jawab Hum Denge	1987	wrong hero gender	Wrong hero attribution - needs TMDB research	http://localhost:3000/movies/jawab-hum-denge-1987
Chandni	1989	wrong hero gender	Wrong hero attribution - needs TMDB research	http://localhost:3000/movies/chandni-1989
Aulad	1987	wrong hero gender	Wrong hero attribution - needs TMDB research	http://localhost:3000/movies/aulad-1987
Masterji	1985	wrong hero gender	Wrong hero attribution - needs TMDB research	http://localhost:3000/movies/masterji-1985
Ghar Sansar	1986	wrong hero gender	Wrong hero attribution - needs TMDB research	http://localhost:3000/movies/ghar-sansar-1986
Balidaan	1985	wrong hero gender	Wrong hero attribution - needs TMDB research	http://localhost:3000/movies/balidaan-1985
Suhaagan	1986	wrong hero gender	Wrong hero attribution - needs TMDB research	http://localhost:3000/movies/suhaagan-1986
Kavalai Vendam	2016	wrong hero gender	Wrong hero attribution - needs TMDB research	http://localhost:3000/movies/kavalai-vendam-2016
Ananda Thandavam	2009	wrong hero gender	Wrong hero attribution - needs TMDB research	http://localhost:3000/movies/ananda-thandavam-2009
Chandra Mukhi	1993	wrong hero gender	Wrong hero attribution - needs TMDB research	http://localhost:3000/movies/chandra-mukhi-1993
Pazhani	2008	wrong hero gender	Wrong hero attribution - needs TMDB research	http://localhost:3000/movies/pazhani-2008
Alex Pandian	2013	wrong hero gender	Wrong hero attribution - needs TMDB research	http://localhost:3000/movies/alex-pandian-2013

════════════════════════════════════════════════════════════════════════════════
SUMMARY
════════════════════════════════════════════════════════════════════════════════
  potential duplicates: 2 movies
  wrong hero gender: 50 movies

  Total: 52 movies needing review

NEXT STEPS:
