slug	title_en	title_te	year	director	tmdb_id	has_poster	has_synopsis	url
seetha-payanam-2026	Seetha Payanam		2026	Arjun Sarja	1566740	YES	YES	http://localhost:3000/movies/seetha-payanam-2026
lenin-tba	Lenin		2026	Murali Kishor Abburu	1408170	YES	YES	http://localhost:3000/movies/lenin-tba
aakasam-lo-oka-tara-2026	Aakasam Lo Oka Tara		2026	Pavan Sadineni	1322273	YES	YES	http://localhost:3000/movies/aakasam-lo-oka-tara-2026
om-shanti-shanti-shantihi-2026	Om Shanti Shanti Shantihi		2026	Sajeev AR	1508577	YES	YES	http://localhost:3000/movies/om-shanti-shanti-shantihi-2026
the-raja-saab-2026	The Raja Saab	ది రాజా సాబ్	2026	Maruthi	1022453	YES	YES	http://localhost:3000/movies/the-raja-saab-2026
msvp-2026	Mana Shankara Vara Prasad Garu		2026	Anil Ravipudi	1439713	YES	YES	http://localhost:3000/movies/msvp-2026
ranger-2026	Ranger		2026	Jagan Shakti	1389146	NO	YES	http://localhost:3000/movies/ranger-2026
ramayana-part-one-2026	Ramayana: Part One		2026	Nitesh Tiwari	656908	YES	YES	http://localhost:3000/movies/ramayana-part-one-2026
anantha-2026	Anantha		2026	Suresh Krissna	1608579	YES	YES	http://localhost:3000/movies/anantha-2026
sabhaku-namaskaram-2026	Sabhaku Namaskaram		2026	Sateesh Mallampati	14999790	YES	NO	http://localhost:3000/movies/sabhaku-namaskaram-2026
o-romeo-2026	O'Romeo		2026	Vishal Bhardwaj	1275574	YES	YES	http://localhost:3000/movies/o-romeo-2026
dragon-ntr-2026	Dragon	డ్రాగన్	2026	Prashanth Neel	645708	YES	YES	http://localhost:3000/movies/dragon-ntr-2026
the-bed-2026	The Bed		2026	S. Mani Bharathy	1604186	YES	YES	http://localhost:3000/movies/the-bed-2026
vishwambhara-2026	Vishwambhara		2026	Vassishta	1211111	YES	YES	http://localhost:3000/movies/vishwambhara-2026
gurram-paapi-reddy-2025	Gurram Paapi Reddy		2025	Murali Manohar Reddy	1518070	YES	YES	http://localhost:3000/movies/gurram-paapi-reddy-2025
anaganaga-2025	Anaganaga		2025	Taraka Rama	1457310	YES	YES	http://localhost:3000/movies/anaganaga-2025
lyf-love-your-father-2025	LYF - Love Your Father		2025	Pavan Ketharaju	1439096	YES	YES	http://localhost:3000/movies/lyf-love-your-father-2025
the-great-pre-wedding-show-2025	The Great Pre-Wedding Show		2025	Rahul Srinivas	1574296	YES	YES	http://localhost:3000/movies/the-great-pre-wedding-show-2025
shambhala-2025	Shambhala		2025	Toshio Sekine	1531435	YES	YES	http://localhost:3000/movies/shambhala-2025
gandhi-tatha-chettu-2025	Gandhi Tatha Chettu		2025	Padmavathi Malladi	1417308	YES	YES	http://localhost:3000/movies/gandhi-tatha-chettu-2025
daksha-the-deadly-conspiracy-2025	Daksha: The Deadly Conspiracy		2025	Vamsee Krishna Malla	1006780	YES	YES	http://localhost:3000/movies/daksha-the-deadly-conspiracy-2025
shivangi-2025	Shivangi		2025	Devaraj Bharani Dharan	1443590	YES	YES	http://localhost:3000/movies/shivangi-2025
paanch-minar-2025	Paanch Minar		2025	Ramesh Kadumula	1585219	YES	YES	http://localhost:3000/movies/paanch-minar-2025
they-call-him-og-2025	They Call Him OG		2025	Sujeeth	1080365	YES	YES	http://localhost:3000/movies/they-call-him-og-2025
oh-bhama-ayyo-rama-2025	Oh Bhama Ayyo Rama		2025	Ram Godhala	1439068	YES	YES	http://localhost:3000/movies/oh-bhama-ayyo-rama-2025
14-days-girlfriend-intlo-2025	14 Days (girlfriend Intlo)		2025	Sriharsha Manne	1444255	YES	YES	http://localhost:3000/movies/14-days-girlfriend-intlo-2025
mass-jathara-2025	Mass Jathara		2025	Bhanu Bogavarapu	1381405	YES	YES	http://localhost:3000/movies/mass-jathara-2025
mokshapatam-2025	Mokshapatam		2025	Rahul Vanaja Rajeshwar	1417846	YES	YES	http://localhost:3000/movies/mokshapatam-2025
1000-waala-2025	1000 Waala		2025	Afzal Shaik	1437107	YES	YES	http://localhost:3000/movies/1000-waala-2025
ari-my-name-is-nobody-2025	Ari: My Name is Nobody		2025	V. JayaShankarr	1037209	YES	YES	http://localhost:3000/movies/ari-my-name-is-nobody-2025
