Action,Title,Year,Actor,Reason
Added,"IIFA Utsavam",2015,"Prabhas",""
Added,"Filmfare Awards South",2017,"Prabhas",""
Added,"Bujjigadu",2008,"Prabhas",""
Added,"Jack & Daniel",2019,"Prabhas",""
Added,"Mirai (2025 film)",2025,"Prabhas",""
Added,"Zanjeer",2013,"Ram Charan",""
Added,"Modern Masters: SS Rajamouli",2024,"Ram Charan",""
Added,"Ghutan",2007,"Ravi Teja",""
Added,"Manasichanu",2000,"Ravi Teja",""
Added,"Neninthe",2010,"Ravi Teja",""
Added,"Avunu Valliddaru Ista Paddaru!",2002,"Ravi Teja",""
Added,"Chembaruthi",1992,"Roja",""
Added,"Uzhaippali",1993,"Roja",""
Added,"Indhu",1994,"Roja",""
Added,"Athiradi Padai",1994,"Roja",""
Added,"Shubha Lagnam",1994,"Roja",""
Added,"Asuran",1995,"Roja",""
Added,"Makkal Aatchi",1995,"Roja",""
Added,"Raja Muthirai",1995,"Roja",""
Added,"Tamizh Selvan",1996,"Roja",""
Added,"Adimai Changili",1997,"Roja",""
Added,"Kadavul",1997,"Roja",""
Added,"En Aasai Rasave",1998,"Roja",""
Added,"Unnidathil Ennai Koduthen",1998,"Roja",""
Added,"Chinna Durai",1999,"Roja",""
Added,"Chinna Raja",1999,"Roja",""
Added,"Mugham",1999,"Roja",""
Added,"Eazhaiyin Sirippil",2000,"Roja",""
Added,"Sandhitha Velai",2000,"Roja",""
Added,"Thirunelveli",2000,"Roja",""
Added,"Mitta Miraasu",2001,"Roja",""
Added,"Sonnal Thaan Kaadhala",2001,"Roja",""
Added,"Kottai Mariamman",2001,"Roja",""
Added,"Angala Parameswari",2002,"Roja",""
Added,"Malayali Mamanu Vanakkam",2002,"Roja",""
Added,"Kottai Mariamman",2002,"Roja",""
Added,"Arasu",2003,"Roja",""
Added,"Maurya",2004,"Roja",""
Added,"Pasa Kiligal",2006,"Roja",""
Added,"Parijatham",2006,"Roja",""
Added,"Kuttrapathirikai",2007,"Roja",""
Added,"Daughters' Destiny",2007,"Savitri",""
Added,"Patala Bhairavi",1951,"Savitri",""
Added,"Adarsham",1952,"Savitri",""
Added,"Shanti",1952,"Savitri",""
Added,"Bratuku Theruvu",1953,"Savitri",""
Added,"Pennin Perumai",1956,"Savitri",""
Added,"Vanangamudi",1957,"Savitri",""
Added,"Pathini Deivam",1957,"Savitri",""
Added,"Annaiyin Aanai",1958,"Savitri",""
Added,"Kaathavaraayan",1958,"Savitri",""
Added,"Padhi Bhakti",1958,"Savitri",""
Added,"Kalathur Kannamma",1960,"Savitri",""
Added,"Kuravanji",1960,"Savitri",""
Added,"Sri Venkateswara Mahatyam",1960,"Savitri",""
Added,"Pasamalar",1961,"Savitri",""
Added,"Pava Mannippu",1961,"Savitri",""
Added,"Nartanasala",1962,"Savitri",""
Added,"Paarthaal Pasi Theerum",1962,"Savitri",""
Added,"Karpagam",1963,"Savitri",""
Added,"Apne Huye Paraye",1964,"Savitri",""
Added,"Ganga Ki Lahren",1964,"Savitri",""
Added,"Kai Koduttha Dheivam",1964,"Savitri",""
Added,"Mooga Manasulu",1964,"Savitri",""
Added,"Pandava Vanavasam",1965,"Savitri",""
Added,"Vallavanukku Vallavan",1965,"Savitri",""
Added,"Thiruvilayadal",1965,"Savitri",""
Added,"Poojaikku Vandha Malar",1965,"Savitri",""
Added,"Varakatnam",1968,"Savitri",""
Added,"Chuzhi",1973,"Savitri",""
Added,"Amar Deep",1979,"Savitri",""
Added,"Ashwadhamavu",1979,"Savitri",""
Added,"Varakatnam",2007,"Savitri",""
Added,"Luck",2009,"Shruti Haasan",""
Added,"Dil Toh Baccha Hai Ji",2011,"Shruti Haasan",""
Added,"Ramaiya Vastavaiya",2013,"Shruti Haasan",""
Added,"The Eye",2023,"Shruti Haasan",""
Added,"Poojai",2014,"Shruti Haasan",""
Added,"Welcome Back",2015,"Shruti Haasan",""
Added,"Behen Hogi Teri",2017,"Shruti Haasan",""
Added,"Devi",2020,"Shruti Haasan",""
Added,"Yaara",2020,"Shruti Haasan",""
Added,"Putham Pudhu Kaalai",2020,"Shruti Haasan",""
Added,"The Power",2021,"Shruti Haasan",""
Added,"Ramaiya Vasta Vaiya",2013,"Shruti Haasan",""
Added,"Vedhalam",2015,"Shruti Haasan",""
Added,"'Salaar: Part 2 – Shouryanga Parvam",2023,"Shruti Haasan",""
Added,"Doshi Nirdoshi",1990,"Sobhan Babu",""
Added,"Jagath Kantrilu",1971,"Sobhan Babu",""
Added,"Sattam Oru Sathurangam",1988,"Sobhan Babu",""
Added,"Lava Kusha",1963,"Sobhan Babu",""
Added,"Bangaru Panjaram",1965,"Sobhan Babu",""
Added,"Shri Krishna Pandaviyam",1966,"Sobhan Babu",""
Added,"Poola Rangadu",1967,"Sobhan Babu",""
Added,"Shri Krishnavataram",1967,"Sobhan Babu",""
Added,"Kalyana Mandapam",1971,"Sobhan Babu",""
Added,"Iddaru Ammayilu",1972,"Sobhan Babu",""
Added,"Amma Mata",1972,"Sobhan Babu",""
Added,"Sharada",1973,"Sobhan Babu",""
Added,"Andaru Dongale",1974,"Sobhan Babu",""
Added,"Devata",1982,"Sobhan Babu",""
Added,"Gharana Gangulu",1981,"Sobhan Babu",""
Added,"Vijaya Dashami",2003,"Soundarya",""
Added,"Senathipathi",1996,"Soundarya",""
Added,"Thavasi",2001,"Soundarya",""
Added,"Chokka Thangam",2003,"Soundarya",""
Added,"Muthu Kaalai",1995,"Soundarya",""
Added,"Ponnumani",1993,"Soundarya",""
Added,"Sooryavansham",1999,"Soundarya",""
Added,"Mannavaru Sinnavaru",1999,"Soundarya",""
Added,"Anna Chellelu",1993,"Soundarya",""
Added,"Ivan",2002,"Soundarya",""
Added,"Anthapuram",1999,"Soundarya",""
Added,"Ammoru",1995,"Soundarya",""
Added,"Kilichundan Mampazham",2003,"Soundarya",""
Added,"Nagadevathe",2000,"Soundarya",""
Added,"Kadhala Kadhala",1998,"Soundarya",""
Added,"Chilakapacha Kapuram",1995,"Soundarya",""
Added,"Kalasi Naduddam",2001,"Soundarya",""
Added,"Naanu Nanna Hendtheeru",1999,"Soundarya",""
Added,"Naa Manasista Raa",2001,"Soundarya",""
Added,"Filmfare Awards South",1995,"Soundarya",""
Added,"Best Actress",1996,"Soundarya",""
Added,"Karnataka State Film Awards",1998,"Soundarya",""
Added,"Filmfare Awards South",1999,"Soundarya",""
Added,"Best Actress - Tamil",2001,"Soundarya",""
Added,"Best Supporting Actress - Tamil",2002,"Soundarya",""
Added,"National Film Awards",2003,"Soundarya",""
Added,"Best Actress – Kannada",2004,"Soundarya",""
Added,"Anthapuram",1998,"Soundarya",""
Added,"Kaathala Kaathala",1998,"Soundarya",""
Added,"Doni Sagali",1998,"Soundarya",""
Added,"Mannavaru Chinnavaru",1999,"Soundarya",""
Added,"Premaku Velayara",1999,"Soundarya",""
Added,"Jayam Manade Raa",2000,"Soundarya",""
Added,"Dweepa",2002,"Soundarya",""
Added,"Premaku Swagatham",2002,"Soundarya",""
Added,"Echo",2023,"Srikanth",""
Added,"Kannai Nambathe",2023,"Srikanth",""
Added,"Bagheera",2023,"Srikanth",""
Added,"Amala",2023,"Srikanth",""
Added,"Drohi",2010,"Srikanth",""
Added,"Roja Koottam",2002,"Srikanth",""
Added,"Parthibhan Kanavu",2003,"Srikanth",""
Added,"Oru Naal Oru Kanavu",2005,"Srikanth",""
Added,"April Maadhathil",2002,"Srikanth",""
Added,"Kana Kanden",2005,"Srikanth",""
Added,"Hero",2012,"Srikanth",""
Added,"Poo",2008,"Srikanth",""
Added,"Sadhurangam",2011,"Srikanth",""
Added,"Maya Puthagam",2024,"Srikanth",""
Added,"Paagan",2012,"Srikanth",""
Added,"Buddy",2013,"Srikanth",""
Added,"Anandapuram Diaries",2024,"Srikanth",""
Added,"Coffee With Kadhal",2022,"Srikanth",""
Added,"Rasikkum Seemane",2010,"Srikanth",""
Added,"Uyir",2006,"Srikanth",""
Added,"Kizhakku Kadarkarai Salai",2006,"Srikanth",""
Added,"Mercury Pookkal",2006,"Srikanth",""
Added,"Varnajalam",2004,"Srikanth",""
Added,"Bose",2004,"Srikanth",""
Added,"Uppukandam Brothers Back In Action",2011,"Srikanth",""
Added,"Ethiri En 3",2016,"Srikanth",""
Added,"Nambiyaar",2016,"Srikanth",""
Added,"Aadavari Matalaku Ardhalu Verule",2007,"Srikanth",""
Added,"Indira Vizha",2009,"Srikanth",""
Added,"Operation Laila",2024,"Srikanth",""
Added,"Sathamindri Mutham Tha",2024,"Srikanth",""
Added,"Joot",2003,"Srikanth",""
Added,"All over the heart",2003,"Srikanth",""
Added,"Sowkarpettai",2016,"Srikanth",""
Added,"Om Shanthi Om",2015,"Srikanth",""
Added,"Bambara Kannaley",2005,"Srikanth",""
Added,"Rocky: The Revenge",2019,"Srikanth",""
Added,"Mirugaa",2021,"Srikanth",""
Added,"Maha",2022,"Srikanth",""
Added,"Vallamai Tharayo",2008,"Srikanth",""
Added,"Dinasari",2025,"Srikanth",""
Added,"Konjam Kadhal Konjam Modhal",2025,"Srikanth",""
Added,"Blackmail",2025,"Srikanth",""
Added,"The Bed",2026,"Srikanth",""
Added,"Q12982331",1977,"Srikanth",""
Added,"Karunai Ullam",1978,"Srikanth",""
Added,"Q16311395",1978,"Srikanth",""
Added,"Q12985478",1979,"Srikanth",""
Added,"Manasulo Maata",1996,"Srikanth",""
Added,"Egire Pavuramaa",1997,"Srikanth",""
Added,"Ooyala",1998,"Srikanth",""
Added,"Aayanagaru",1998,"Srikanth",""
Added,"Preyasi Rave",1999,"Srikanth",""
Added,"Sakutumba Saparivaara Sametham",2000,"Srikanth",""
Added,"Roja Kootam",2002,"Srikanth",""
Added,"Parthiban Kanavu",2003,"Srikanth",""
Added,"Manasellam",2003,"Srikanth",""
Added,"Joot",2004,"Srikanth",""
Added,"Swarabhishekam",2004,"Srikanth",""
Added,"Kana Kandaen",2005,"Srikanth",""
Added,"Sankranthi",2005,"Srikanth",""
Added,"Kizhakku Kadalkarai Salai",2006,"Srikanth",""
Added,"Mayajalam",2006,"Srikanth",""
Added,"Meri Warrant",2010,"Srikanth",""
Added,"Ethiri En 3",2012,"Srikanth",""
Added,"Nambiar",2014,"Srikanth",""
Added,"Om Shanti Om",2015,"Srikanth",""
Added,"Sowkarpettai",2015,"Srikanth",""
Added,"Sarainodu",2016,"Srikanth",""
Added,"మెంటల్",2016,"Srikanth",""
Added,"Shubha Muhurtam",1983,"Suhasini",""
Added,"సుందరానికి తొందరెక్కువ",2006,"Suhasini",""
Added,"Thillalangadi",2010,"Tamannaah Bhatia",""
Added,"Kanden Kadhalai",2009,"Tamannaah Bhatia",""
Added,"Venghai",2011,"Tamannaah Bhatia",""
Added,"Padikathavan",2009,"Tamannaah Bhatia",""
Added,"Lust Stories 2",2023,"Tamannaah Bhatia",""
Added,"Viyabari",2007,"Tamannaah Bhatia",""
Added,"Aranmanai 4",2024,"Tamannaah Bhatia",""
Added,"Vedaa",2024,"Tamannaah Bhatia",""
Added,"Himmatwala",2013,"Tamannaah Bhatia",""
