Year,Title,Slug,Hero,Heroine,Director,Music_Director,Cinematographer,Editor,Writer,Producer,TMDB_ID,Genres
1989,Lankeswarudu,lankeswarudu-1989,Chiranjeevi,"Radha, Revathi",Dasari Narayana Rao,Raj-Koti,K. S. Hari,G. G. Krishna Rao,Dasari Narayana Rao,Vadde Ramesh,279128,Action; Drama
1989,Attaku Yamudu Ammayiki Mogudu,attaku-yamudu-ammayiki-mogudu-1989,Chiranjeevi,Vijayashanti,A. Kodandarami Reddy,K. Chakravarthy,Lok Singh,Gautham Raju,A. Kodandarami Reddy,Allu Aravind,279124,Comedy; Action
1989,State Rowdy,state-rowdy-1989,Chiranjeevi,"Bhanupriya, Radha",B. Gopal,Bappi Lahiri,Lok Singh,James Sweeney,Paruchuri Brothers,K. Devi Vara Prasad,115034,Action
1989,Rudranetra,rudranetra-1989,Chiranjeevi,"Vijayashanti, Radha",K. Raghavendra Rao,Ilaiyaraaja,Lok Singh,Kotagiri Venkateswara Rao,Yandamoori Veerendranath,K. S. Rama Rao,115040,Spy Thriller
1988,Inspector Pratap,inspector-pratap-1988,Chiranjeevi,Vijayashanti,Muthyala Subbaiah,K. Chakravarthy,V. S. R. Swamy,Adriana Novelli,Muthyala Subbaiah,K. Devi Vara Prasad,115030,Action; Crime
1988,Khaidi No.786,khaidi-no786-1988,Chiranjeevi,Bhanupriya,Vijaya Bapineedu,Raj-Koti,Lok Singh,G. G. Krishna Rao,Vijaya Bapineedu,Maganti Ravindranath,115031,Action; Drama
1988,Yuddha Bhoomi,yuddha-bhoomi-1988,Chiranjeevi,Vijayashanti,K. Raghavendra Rao,K. Chakravarthy,K. S. Prakash,Kotagiri Venkateswara Rao,Paruchuri Brothers,K. Devi Vara Prasad,279127,Action; War
1988,Manchi Donga,manchi-donga-1988,Chiranjeevi,"Vijayashanti, Suhasini",K. Raghavendra Rao,K. Chakravarthy,K. S. Prakash,Kotagiri Venkateswara Rao,Satyanand,H. Ramesh Babu,115028,Action; Comedy
1988,Antima Teerpu,antima-teerpu-1988,Chiranjeevi,Sumalatha,Joshiy,Shyam,K. Ramachandra Babu,K. Sankunni,Dennis Joseph,Ramoji Rao,320392,Action; Crime
1988,Yamudiki Mogudu,yamudiki-mogudu-1988,Chiranjeevi,"Vijayashanti, Radha",Ravi Raja Pinisetty,Raj-Koti,Lok Singh,James Sweeney,Satyanand,S. Venkataratnam,115029,Fantasy; Comedy
1988,Marana Mrudangam,marana-mrudangam-1988,Chiranjeevi,"Radha, Suhasini",A. Kodandarami Reddy,Ilaiyaraaja,Lok Singh,Garry M.B. Smith,Yandamoori Veerendranath,K. S. Rama Rao,115033,Action; Crime
1988,Trinetrudu,trinetrudu-1988,Chiranjeevi,Bhanupriya,A. Kodandarami Reddy,Raj-Koti,Lok Singh,Kotagiri Venkateswara Rao,A. Kodandarami Reddy,Nagendra Babu,115032,Action; Thriller
1988,Rudraveena,rudraveena-1988,Chiranjeevi,Shobana,K. Balachander,Ilaiyaraaja,R. Raghunatha Reddy,Hisao Enoki,K. Balachander,Nagendra Babu,40149,Musical; Drama
1987,Jebu Donga,jebu-donga-1987,Chiranjeevi,"Bhanupriya, Radha",A. Kodandarami Reddy,K. Chakravarthy,Lok Singh,Gautham Raju,A. Kodandarami Reddy,M. Arjun Raju,115026,Action; Thriller
1987,Donga Mogudu,donga-mogudu-1987,Chiranjeevi,"Bhanupriya, Radhika",A. Kodandarami Reddy,K. Chakravarthy,Lok Singh,Kotagiri Venkateswara Rao,Yandamoori Veerendranath,S. P. Venkataratnam,115025,Action; Comedy
1987,Chakravarthy,chakravarthy-1987,Chiranjeevi,Vijayashanti,Ravi Raja Pinisetty,K. Chakravarthy,Lok Singh,Treg Brown,Paruchuri Brothers,Vyjayanthi Movies,115024,Action; Drama
1987,Aradhana,aradhana-1987,Chiranjeevi,Suhasini,Bharathiraja,Ilaiyaraaja,B. Kannan,Sanjeevi,Bharathiraja,Allu Aravind,115027,Romance; Drama
1987,Pasivadi Pranam,pasivadi-pranam-1987,Chiranjeevi,Vijayashanti,A. Kodandarami Reddy,K. Chakravarthy,Lok Singh,Kotagiri Venkateswara Rao,Satyanand,Allu Aravind,108500,Action; Thriller
1987,Swayamkrushi,swayamkrushi-1987,Chiranjeevi,Vijayashanti,K. Viswanath,Ramesh Naidu,Kasturi,Mario Serandrei,K. Viswanath,Poornodaya Movie Creations,43231,Drama
1986,Kondaveeti Raja,kondaveeti-raja-1986,Chiranjeevi,"Vijayashanti, Radha",K. Raghavendra Rao,K. Chakravarthy,K. S. Prakash,Dirk Grau,Paruchuri Brothers,T. Trivikrama Rao,115023,Action
1986,Dhairyavanthudu,dhairyavanthudu-1986,Chiranjeevi,Vijayashanti,Laxmi Deepak,Ramesh Naidu,S. Gopal Reddy,G. G. Krishna Rao,Laxmi Deepak,Lakshmi Deepak,369150,Drama
1986,Chanakya Sapatham,chanakya-sapatham-1986,Chiranjeevi,Vijayashanti,K. Raghavendra Rao,K. Chakravarthy,K. S. Prakash,Kotagiri Venkateswara Rao,Paruchuri Brothers,D. V. S. Raju,279121,Action
1986,Magadheerudu,magadheerudu-1986,Chiranjeevi,Vijayashanti,Vijaya Bapineedu,S. P. Balasubrahmanyam,Lok Singh,G. G. Krishna Rao,Vijaya Bapineedu,Maganti Ravindranath,115022,Action; Drama
1986,Rakshasudu,rakshasudu-1986,Chiranjeevi,"Radha, Suhasini",A. Kodandarami Reddy,Ilaiyaraaja,Lok Singh,Kotagiri Venkateswara Rao,Yandamoori Veerendranath,K. S. Rama Rao,115021,Action; Thriller
1986,Veta,veta-1986,Chiranjeevi,Jaya Prada,A. Kodandarami Reddy,K. Chakravarthy,Lok Singh,Gautham Raju,A. Kodandarami Reddy,K. Devi Vara Prasad,115020,Action; Period
1986,Chantabbai,chantabbai-1986,Chiranjeevi,Suhasini,Jandhyala,Ramesh Naidu,S. Gopal Reddy,William Reynolds,Malladi Venkata Krishna Murthy,K. Satya Narayana,41913,Comedy; Mystery
1986,Kirathakudu,kirathakudu-1986,Chiranjeevi,Suhasini,A. Kodandarami Reddy,Ilaiyaraaja,Lok Singh,Kotagiri Venkateswara Rao,Yandamoori Veerendranath,K. S. Rama Rao,115019,Action; Crime
1985,Rakta Sindhuram,rakta-sindhuram-1985,Chiranjeevi,Radha,A. Kodandarami Reddy,K. Chakravarthy,Lok Singh,Kotagiri Venkateswara Rao,Yandamoori Veerendranath,A. S. R. Anjaneyulu,115017,Action; Crime
1985,Donga,donga-1985,Chiranjeevi,Radha,A. Kodandarami Reddy,K. Chakravarthy,Lok Singh,Kotagiri Venkateswara Rao,Satyanand,T. Trivikrama Rao,115014,Action
1985,Jwala,jwala-1985,Chiranjeevi,"Bhanupriya, Radhika",Ravi Raja Pinisetty,Ilaiyaraaja,Lok Singh,Kôichi Iwashita,Satyanand,Vyjayanthi Movies,115018,Action
1985,Chattamtho Poratam,chattamtho-poratam-1985,Chiranjeevi,"Sumalatha, Madhavi",K. Bapayya,K. Chakravarthy,S. Gopal Reddy,Kotagiri Venkateswara Rao,Paruchuri Brothers,K. Devi Vara Prasad,115015,Action
1985,Adavi Donga,adavi-donga-1985,Chiranjeevi,Radha,K. Raghavendra Rao,K. Chakravarthy,K. S. Prakash,Kotagiri Venkateswara Rao,Satyanand,Chalasani Gopi,441006,Action; Adventure
1985,Vijetha,vijetha-1985,Chiranjeevi,Bhanupriya,A. Kodandarami Reddy,K. Chakravarthy,Lok Singh,Kotagiri Venkateswara Rao,Satyanand,Allu Aravind,109629,Drama; Family
1984,Allullostunnaru,allullostunnaru-1984,Chiranjeevi,Sulakshana,K. Viswanath,K.V. Mahadevan,Lok Singh,G.G. Krishna Rao,Jandhyala,K. Raghava,369147,Drama
1984,Hero,hero-1984,Chiranjeevi,Radhika,Vijaya Bapineedu,Krishna-Chakra,Lok Singh,G. G. Krishna Rao,Vijaya Bapineedu,Maganti Ravindranath,115007,Action
1984,Rustum,rustum-1984,Chiranjeevi,Urvashi,A. Kodandarami Reddy,K. Chakravarthy,Lok Singh,Kotagiri Venkateswara Rao,Satyanand,S. P. Venkataratnam,115010,Action
1984,Koteeswarudu,koteeswarudu-1984,Chiranjeevi,Radha,Kommineni,K. Chakravarthy,P. S. Prakash,Balu Mahendra,Kommineni,T. R. Srinivas,318858,Action; Drama
1984,Naagu,naagu-1984,Chiranjeevi,Radha,Tatineni Prasad,K. Chakravarthy,S. Gopal Reddy,Kotagiri Venkateswara Rao,Tatineni Prasad,A. Prasad Rao,115013,Action
1984,Rana,rana-1984,Chiranjeevi,Radha,K. Raghavendra Rao,K. Chakravarthy,P. S. Prakash,K. Ravindra Babu,Satyanand,K. S. Rama Rao,369151,Action
1984,Inti Guttu,inti-guttu-1984,Chiranjeevi,Nalini,K. Bapayya,K. Chakravarthy,S. Gopal Reddy,Kotagiri Venkateswara Rao,Paruchuri Brothers,K. Devi Vara Prasad,115009,Drama; Family
1984,Rojulu Marayi,rojulu-marayi-1984,Chiranjeevi,Sumalatha,G. Ramamohana Rao,J. V. Raghavulu,S. Gopal Reddy,Gowtham Raju,G. Ramamohana Rao,K. V. V. Satyanarayana,279126,Drama
1984,Mahanagaramlo Mayagadu,mahanagaramlo-mayagadu-1984,Chiranjeevi,Vijayashanti,Vijaya Bapineedu,K. Chakravarthy,Lok Singh,G. G. Krishna Rao,Vijaya Bapineedu,Maganti Ravindranath,318857,Action
1984,Goonda,goonda-1984,Chiranjeevi,Radha,A. Kodandarami Reddy,K. Chakravarthy,Lok Singh,Marthe Poncin,Paruchuri Brothers,T. Trivikrama Rao,115006,Action
1984,Agni Gundam,agni-gundam-1984,Chiranjeevi,Sumalatha,Kranthi Kumar,K. Chakravarthy,S. Gopal Reddy,G.G. Krishna Rao,Kranthi Kumar,K. S. Rama Rao,115012,Action; Drama
1984,Challenge,challenge-1984,Chiranjeevi,Vijayashanti,A. Kodandarami Reddy,Ilaiyaraaja,Lok Singh,Gautham Raju,Yandamoori Veerendranath,K. S. Rama Rao,115011,Drama; Action
1984,Devanthakudu,devanthakudu-1984,Chiranjeevi,Vijayashanti,S. A. Chandrasekhar,J. V. Raghavulu,V. Lakshman,N. R. Kittu,S. A. Chandrasekhar,G. Tirupathi Rao,115008,Action; Comedy
1983,Maro Maya Bazaar,maro-maya-bazaar-1983,Chiranjeevi,Nutan Prasad,C. S. Rao,S. Rajeswara Rao,M. V. Raghu,G. G. Krishna Rao,C. S. Rao,Chintala Mallesha Goud,410211,Comedy
1983,Mantri Gari Viyyankudu,mantri-gari-viyyankudu-1983,Chiranjeevi,Poornima,Bapu,Ilaiyaraaja,Baba Azmi,G.G. Krishna Rao,Mullapudi Venkata Ramana,Jaya Krishna,115002,Comedy; Drama
1983,Shivudu Shivudu Shivudu,shivudu-shivudu-shivudu-1983,Chiranjeevi,Radhika,A. Kodandarami Reddy,K. Chakravarthy,Lok Singh,Kotagiri Venkateswara Rao,Paruchuri Brothers,Kranthi Kumar,279338,Action
