#	Year	Title	Heroine	Director	Music	Cinematographer	Producer	Supporting Cast
47	1996	Pavithra Bandham	Soundarya	Muthyala Subbaiah	M.M. Keeravaani	V. Jayaram	G. Sivaraju	S. P. Balasubramaniam, Subhalekha Sudhakar, Sudhakar, Brahmanandam
48	1995	Pokiri Raja	Roja	A. Kodandarami Reddy	Saluri Koteswara Rao	S. Gopal Reddy	Venkatrami Reddy	Brahmanandam, Ali Basha, Subhashri, Pratibha Sinha
49	1994	Super Police	Nagma	K. Murali Mohana Rao	A.R. Rahman	S. Gopal Reddy	Daggubati Suresh Babu	Soundarya, D. Rama Naidu, Kota Srinivasa Rao, Jayasudha
50	1993	Abbaigaru	Meena	E.V.V. Satyanarayana	M.M. Keeravani	Rajan Kothari	M. Narasimha Rao	Brahmanandam, Kota Srinivasa Rao, Sudhakar, Allu Ramalingaiah
51	1992	Chinarayudu	Vijayashanti	B. Gopal	Ilaiyaraaja	V.S.R. Swamy	P.R. Prasad	Kota Srinivasa Rao, Nirmalamma, Babu Mohan
52	1992	Chanti	Meena	Ravi Raja Pinisetty	Ilaiyaraaja	S. Gopal Reddy	K.S. Rama Rao	Nassar, Brahmanandam, Sujatha, Kallu Chidambaram
53	1992	Chakravyuham	Gautami	B.V. Ramana	Madhavapeddi Suresh	M.V. Raghu	C.H.G. Rama Rao	
54	1992	Sundara Kanda	Meena, Aparna	K. Raghavendra Rao	M.M. Keeravani	Jayanan Vincent	K.V.V. Satyanarayana	Sindhuja, Junior Balaiah
55	1992	Champion	Debora	B. Gopal	Bappi Lahiri	V.S.R. Swamy	D. Ramanaidu	Brahmanandam
56	1991	Coolie No. 1	Tabu	K Raghavendra Rao	Ilaiyaraaja	S. Gopal Reddy	Daggubati Suresh Babu	Mohan Babu, Rao Gopal Rao, Sharada, Brahmanandam
57	1991	Shatruvu	Vijayashanti	Kodi Ramakrishna	Saluri Koteswara Rao	V. Lakshman	M. S. Raju	Kota Srinivasa Rao, Jeeva, Brahmanandam
58	1991	Surya IPS	Vijayashanti	A. Kodandarami Reddy	Ilaiyaraaja	V.S.R. Swamy	T. Subbarami Reddy	Charan Raj, R. Sarathkumar, Kaikala Satyanarayana, Tarun
59	1991	Kshana Kshanam	Sridevi	Ram Gopal Varma	M.M. Keeravaani	S. Gopal Reddy	Akkineni Venkat	Paresh Rawal, Rami Reddy, Brahmanandam, Narsing Yadav
60	1990	Aggiramudu	Amala Akkineni	S S Ravichandra	K. Chakravarthy	S. Gopal Reddy	Sekar M Krishna	Gautami Tadimalla, Sharada, Jayalalita, Rohini
61	1990	Bobbili Raja	Divya Bharti	B. Gopal	Ilaiyaraaja	V.S.R. Swamy	Daggubati Suresh Babu	Gummadi, Vanisri, Kota Srinivasa Rao, Brahmanandam
62	1989	Two Town Rowdy	Radha	Dasari Narayana Rao	Saluri Koteswara Rao	V.S.R. Swamy	C. Venkataraju	Krishnam Raju, Mohan Babu, Brahmanandam, Naresh
63	1989	Ontari Poratam	Maheshwari	K. Raghavendra Rao	K. Chakravarthy	S. Gopal Reddy	K.S. Rama Rao	Mohan Babu, Jayasudha, Sudhakar, Kaikala Satyanarayana
64	1989	Agni	Kushboo	K. Raghavendra Rao	Hamsalekha	S. Gopal Reddy	K. S. Prakash Rao	Rao Gopal Rao, Kaikala Satyanarayana, Vanisri, Mohan Babu
65	1989	Sutradharulu	Meena	K. Viswanath	K. V. Mahadevan	S. Gopal Reddy	Sudhakar	Ramya Krishnan, Sujatha, K R Vijaya, Kaikala Satyanarayana
66	1989	Prema	Revathi	Suresh Krissna	Ilaiyaraaja	S. Gopal Reddy	D. Rama Naidu	Brahmanandam, S. P. Balasubramaniam, Gollapudi Maruti Rao, Manjula Vijayakumar
67	1989	Dhruva Nakshatram	Rajani	Y. Nageswara Rao	Chakravarthy	V.S.R. Swamy	D. Ramanaidu	Brahmanandam, Kaikala Satyanarayana
68	1989	Gaduggai	Rajani	Sarath	Chakravarthy	V.S.R. Swamy	D. Ramanaidu	Kota Srinivasa Rao, Brahmanandam
69	1988	Swarnakamalam	Bhanupriya	K. Viswanath	Ilaiyaraaja	N. Hari	C H V Appa Rao	Aruna Mucherla, Shanmukha Srinivas, Saakshi Ranga Rao, Janaki
70	1988	Brahma Puthrudu	Rajani	Dasari Narayana Rao	K. Chakravarthy	S. Gopal Reddy	D. Rama Naidu	Mohan Babu, Jayasudha, Sharada, Shalini
71	1988	Raktha Tilakam	Amala	B. Gopal	Chakravarthy	V.S.R. Swamy	K. Ashok Kumar	Sharada, Kaikala Satyanarayana
72	1988	Varasudochadu	Suhasini	A. Kodandarami Reddy	Chakravarthy	S. Gopal Reddy	S. Gopal Reddy	Nirmalamma, Gollapudi Maruti Rao
73	1987	Ajeyudu	Shobana	G. Ram Mohan Rao	Chakravarthy	S. Gopal Reddy	D. Ramanaidu	Kaikala Satyanarayana, Sumalatha
74	1987	Bharatamlo Arjunudu	Khushbu	K. Raghavendra Rao	Chakravarthy	S. Gopal Reddy	D. Ramanaidu	Sudhakar, Jayachitra
75	1987	Srinivasa Kalyanam	Bhanupriya	Kodi Ramakrishna	K. V. Mahadevan	V. Lakshman	K Murari	Mohan Babu
76	1986	Kaliyuga Pandavulu	Khusboo	K. Raghavendra Rao	K. Chakravarthy	S. Gopal Reddy	D. Rama Naidu	Ashwini, Sudhakar
