#,Year,Title,Slug,TMDB_ID,Hero,Heroine,Supporting_Cast,Director,Music_Director,Cinematographer,Producer,Editor,Writer,Choreographer,Art_Director,Lyricist
"28","2001","Devi Putrudu","devi-putrudu-2001","279467","Daggubati Venkatesh","Soundarya","Anjala Zaveri; Suresh; Kota Srinivasa Rao; M. S. Narayana; Ali Basha","Kodi Ramakrishna","Mani Sharma","S. Gopal Reddy","M. S. Raju","","Kodi Ramakrishna","","",""
"29","2001","Nuvvu Naaku Nachav","nuvvu-naaku-nachav-2001","82255","Daggubati Venkatesh","Aarthi Agarwal","Sudeepa; Prakash Raj; Chandramohan; M. S. Narayana; Flora Saini","K Vijaya Bhaskar","Saluri Koteswara Rao","K. Ravindra Babu","Sravanthi Ravi Kishore","Sreekar Prasad","K. Vijaya Bhaskar","","",""
"30","2000","Manasunna Maaraju","manasunna-maaraju-2000","447477","Daggubati Venkatesh","Laya","Rajitha; Kota Srinivasa Rao; Flora Saini; Brahmanandam; Manorama","Muppalaneni Siva","Vandemataram Srinivas","Muppalaneni Shiva","DVV Danayya","","","","",""
"31","2000","Kalisundam Raa","kalisundam-raa-2000","81064","Daggubati Venkatesh","Simran","K. Viswanath; Ranganath; Srihari; Brahmanandam; Ali Basha","Udayasankar","S A Rajkumar","S. Gopal Reddy","Daggubati Suresh Babu","Marthand K Venkatesh","Udayasankar","","",""
"32","2000","Jayam Manadera","jayam-manadera-2000","117417","Daggubati Venkatesh","Soundarya","Meena Vasu; Bhanupriya; Ali Basha; Brahmanandam; Tanikella Bharani","N.Shankar","Vandemataram Srinivas","S. Gopal Reddy","Daggubati Suresh Babu","","","","",""
"33","1999","Raja","raja-1999","267779","Daggubati Venkatesh","Soundarya","Abbas; Tanikella Bharani; Brahmanandam; Y. Vijaya; Sudhakar","Muppalaneni Shiva","S A Rajkumar","Prasad Murella","R. B. Choudary","Marthand K Venkatesh","Vikraman","","",""
"34","1999","Seenu","seenu-1999","279471","Daggubati Venkatesh","Twinkle Khanna","Sudhakar; Brahmaji; Prakash Raj; Brahmanandam; Ali Basha","Sasi","Mani Sharma","A. Ramaraju","R. B. Choudary","","","","",""
"35","1999","Maa Balaji","maa-balaji-1999","447656","Daggubati Venkatesh","Maheswari","Brahmanandam; Kota Srinivasa Rao; Suthi Velu","Kodi Ramakrishna","S.A. Rajkumar","Venu","S.P. Naidu","","","","",""
"36","1999","Bobbili Vamsam","bobbili-vamsam-1999","259461","Daggubati Venkatesh","Rambha","Meena; Satyanarayana; Kota Srinivasa Rao","A. Kodandarami Reddy","M.M. Keeravani","S. Gopal Reddy","V. Doraswamy Raju","","","","",""
"37","1998","Ganesh","ganesh-1998","23782","Daggubati Venkatesh","Madhoo","Keerthana; Chandramohan; Rambha; Brahmanandam","Tirupathi Swamy","Mani Sharma","Balu","Daggubati Suresh Babu","Marthand K Venkatesh","Tirupathi Swamy","","",""
"38","1998","Premante Ideraa","premante-ideraa-1998","279472","Daggubati Venkatesh","Preity Zinta","Prema","Jayant Paranji","Ramana Gogula","Rasool Ellore","Sivarama Krishna B","","","","",""
"39","1997","Pelli Chesukundam","pelli-chesukundam-1997","279475","Daggubati Venkatesh","Soundarya","Laila; Sudhakar; Mohanraj; Prakash Raj; Brahmanandam","Muthyala Subbaiah","Saluri Koteswara Rao","A. Ravindra Babu","G. Sivaraju","Gautham Raju","Bhupati Raja","","",""
"40","1997","Preminchukundam Raa","preminchukundam-raa-1997","82600","Daggubati Venkatesh","Anjala Zaveri","Chandramohan; Sudha; Jayaprakash Reddy; Brahmanandam; Banerjee","Jayant Paranji","Mahesh Mahadevan","A. Ravindra Babu","Siva Rama Krishna B.","","","","",""
"41","1997","Veedevadandi Babu","veedevadandi-babu-1997","259020","Daggubati Venkatesh","Shilpa Shetty","Brahmanandam; Kota Srinivasa Rao; Reema Sen","E.V.V. Satyanarayana","Koti","Rajan Kothari","Davuluri Rama Rao","","","","",""
"42","1997","Chinnabbayi","chinnabbayi-1997","443657","Daggubati Venkatesh","Ramya Krishnan","Kota Srinivasa Rao; Sarath Babu; Brahmanandam","K. Viswanath","Ilaiyaraaja","P.S. Prakash","M. Narasimha Rao","","","","",""
"43","1996","Saahasa Veerudu Saagara Kanya","saahasa-veerudu-saagara-kanya-1996","279479","Daggubati Venkatesh","Shilpa Shetty Kundra","Malashri; Kaikala Satyanarayana; Brahmanandam; Kota Srinivasa Rao; Srihari","K Raghavendra Rao","M.M. Keeravaani","S. Gopal Reddy","Burugupalli Shiva Rama Krishna","","Venkateswara Rao Paruchuri","","",""
"44","1996","Intlo Illalu Vantintlo Priyuralu","intlo-illalu-vantintlo-priyuralu-1996","279478","Daggubati Venkatesh","Soundarya","Vinita; Brahmanandam; Kota Srinivasa Rao; Mallikarjuna Rao; Babu Mohan","E.V.V. Satyanarayana","Saluri Koteswara Rao","Rajan Kothari","K. L. Narayana","K. Ravindra Babu","K. Bhagyaraj","","",""
"45","1996","Sarada Bullodu","sarada-bullodu-1996","279482","Daggubati Venkatesh","Nagma","Brahmanandam","Ravi Raja Pinisetty","Saluri Koteswara Rao","A. Ravindra Babu","Trivikrama Rao T.","","","","",""
"46","1996","Dharma Chakram","dharma-chakram-1996","81053","Daggubati Venkatesh","Srividya","Girish Karnad; Ramya Krishnan; Prema; Amanchi Venkata Subrahmanyam; Rallapalli Narasimha","Suresh Krissna","M M Sreelekha","P.S. Prakash","D. Rama Naidu","","","","",""
"47","1996","Pavithra Bandham","pavithra-bandham-1996","279477","Daggubati Venkatesh","Soundarya","S. P. Balasubramaniam; Subhalekha Sudhakar; Sudhakar; Brahmanandam; Suthi Velu","Muthyala Subbaiah","M.M. Keeravaani","V. Jayaram","G. Sivaraju","","Muthyala Subbaiah","","",""
"48","1995","Pokiri Raja","pokiri-raja-1995","279483","Daggubati Venkatesh","Roja","Brahmanandam; Ali Basha; Subhashri; Pratibha Sinha; Kaikala Satyanarayana","A. Kodandarami Reddy","Saluri Koteswara Rao","S. Gopal Reddy","Venkatrami Reddy","Marthand K Venkatesh","A. Kodandarami Reddy","","",""
