"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Aame","1994","supporting","No","","wikidata","0.50","Exists","","tt0275888"
"Taj Mahal","1995","supporting","No","","wikidata","0.50","Added","","tt0306115"
"Pelli Sandadi","1996","supporting","No","","wikidata","0.50","Exists","","tt0249871"
"Vinodam","1996","supporting","No","","wikidata","0.50","Exists","","tt1579904"
"Manasulo Maata","1996","supporting","No","","wikidata","0.50","Added","","tt13275534"
"Aahvaanam","1997","supporting","No","","wikidata","0.50","Exists","","tt4899202"
"Egire Pavuramaa","1997","supporting","No","","wikidata","0.50","Added","","tt1579907"
"Maa Nannaki Pelli","1997","supporting","No","","wikidata","0.50","Added","","tt0290237"
"Taraka Ramudu","1997","supporting","No","","wikidata","0.50","Added","","tt1579887"
"Thaali","1997","supporting","No","","wikidata","0.50","Added","","tt1579890"
"Ooyala","1998","supporting","No","","wikidata","0.50","Added","","tt1576442"
"Kanyadanam","1998","supporting","No","","wikidata","0.50","Added","","tt1579784"
"Suprabhatam","1998","supporting","No","","wikidata","0.50","Exists","","tt1612058"
"Aayanagaru","1998","supporting","No","","wikidata","0.50","Added","","tt1603795"
"Preyasi Rave","1999","supporting","No","","wikidata","0.50","Added","","tt1575663"
"Manikyam","1999","supporting","No","","wikidata","0.50","Added","","tt1575628"
"Devullu","2000","supporting","No","","wikidata","0.50","Added","","tt0305423"
"Chala Bagundi","2000","supporting","No","","wikidata","0.50","Exists","","tt1791479"
"Sakutumba Saparivaara Sametham","2000","supporting","No","","wikidata","0.50","Added","","tt1575671"
"Kshemanga Velli Labhamga Randi","2000","supporting","No","","wikidata","0.50","Exists","","tt1575593"
"Ammo! Okato Tareekhu","2000","supporting","No","","wikidata","0.50","Added","","tt1575508"
"Deevinchandi","2001","supporting","No","","wikidata","0.50","Exists","","tt1575526"
"Roja Kootam","2002","supporting","No","","wikidata","0.50","Added","","tt1365500"
"Oka Radha Iddaru Krishnula Pelli","2003","supporting","No","","wikidata","0.50","Exists","","tt1316602"
"Parthiban Kanavu","2003","supporting","No","","wikidata","0.50","Added","","tt0388323"
"Manasellam","2003","supporting","No","","wikidata","0.50","Added","","tt0782695"
"Pellam Oorelithe","2003","supporting","No","","wikidata","0.50","Exists","","tt0339504"
"Joot","2004","supporting","No","","wikidata","0.50","Exists","","tt0430250"
"Swarabhishekam","2004","supporting","No","","wikidata","0.50","Added","","tt0420230"
"Kana Kandaen","2005","supporting","No","","wikidata","0.50","Added","","tt0455578"
"Radha Gopalam","2005","supporting","No","","wikidata","0.50","Exists","","tt0432011"
"Sankranthi","2005","supporting","No","","wikidata","0.50","Added","","tt0978702"
"Aadi Lakshmi","2006","supporting","No","","wikidata","0.50","Exists","","tt1300341"
"Kizhakku Kadalkarai Salai","2006","supporting","No","","wikidata","0.50","Added","","tt1802480"
"Mayajalam","2006","supporting","No","","wikidata","0.50","Added","","tt1606289"
"Sri Krishna 2006","2006","supporting","No","","wikidata","0.50","Exists","","tt1580024"
"Aadavari Matalaku Arthale Verule","2007","supporting","No","","wikidata","0.50","Exists","","tt0907618"
"Michael Madana Kamaraju","2008","supporting","No","","wikidata","0.50","Added","","tt1623758"
"A Aa E Ee","2009","supporting","No","","wikidata","0.50","Exists","","tt3407278"
"Mahatma","2009","supporting","No","","wikidata","0.50","Exists","","tt1579625"
