Section,Title,Year,Slug,Current Value,Suggested Value,Action
Missing Film,"Chanakya Shapadham",1986,,279294,"Chanakya",Add
Missing Film,"Hands Up",2000,,279108,"Guest Appearance",Add
Missing Film,"Sri Manjunatha",2001,,66519,"Lord Shiva",Add
Missing Film,"Style",2006,,224953,"Cameo",Add
Missing Film,"Magadheera",2009,,23790,"Boss",Add
Missing Film,"Jagadguru Adi Shankara",2013,,244025,"Lord Shiva",Add
Missing Film,"Bruce Lee - The Fighter",2015,,364080,"Cameo (Himself)",Add
Missing Film,"The Ghazi Attack",2017,,442405,"Narrator",Add
Missing editor,"Auto Jaani",2026,auto-jaani-2026,,,"Fill"
Missing editor,"Vishwambhara",2026,vishwambhara-2026,,,"Fill"
Missing editor,"Mega 159",2026,mega-159-2026,,,"Fill"
Missing writer,"Rudra Tandava",2015,rudra-tandava-2015,,,"Fill"
Missing writer,"Aatagara",2015,aatagara-2015,,,"Fill"
Missing writer,"Andarivadu",2005,andarivadu-2005,,,"Fill"
Missing cinematographer,"Meri Zindagi Ek Agneepath",1998,meri-zindagi-ek-agneepath-1998,,,"Fill"
Missing editor,"Meri Zindagi Ek Agneepath",1998,meri-zindagi-ek-agneepath-1998,,,"Fill"
Missing writer,"Meri Zindagi Ek Agneepath",1998,meri-zindagi-ek-agneepath-1998,,,"Fill"
Missing producer,"Meri Zindagi Ek Agneepath",1998,meri-zindagi-ek-agneepath-1998,,,"Fill"
Missing cinematographer,"Alludaa Majakaa",1995,alludaa-majakaa-1995,,,"Fill"
Missing editor,"Alludaa Majakaa",1995,alludaa-majakaa-1995,,,"Fill"
Missing writer,"Alludaa Majakaa",1995,alludaa-majakaa-1995,,,"Fill"
Missing producer,"Alludaa Majakaa",1995,alludaa-majakaa-1995,,,"Fill"
Missing editor,"Alluda Majaka",1995,alluda-majaka-1995,,,"Fill"
Missing writer,"Mugguru Monagallu",1994,mugguru-monagallu-1994,,,"Fill"
Missing editor,"S.P. Parasuram",1994,sp-parasuram-1994,,,"Fill"
Missing editor,"Mechanic Alludu",1993,mechanic-alludu-1993,,,"Fill"
Missing editor,"Raja Vikramarka",1990,raja-vikramarka-1990,,,"Fill"
Missing cinematographer,"Zulm Ki Zanjeer",1989,zulm-ki-zanjeer-1989,,,"Fill"
Missing editor,"Zulm Ki Zanjeer",1989,zulm-ki-zanjeer-1989,,,"Fill"
Missing writer,"Zulm Ki Zanjeer",1989,zulm-ki-zanjeer-1989,,,"Fill"
Missing producer,"Zulm Ki Zanjeer",1989,zulm-ki-zanjeer-1989,,,"Fill"
Missing editor,"Attaku Yamudu Ammayiki Mogudu",1989,attaku-yamudu-ammayiki-mogudu-1989,,,"Fill"
Missing writer,"Manchi Donga",1988,manchi-donga-1988,,,"Fill"
Missing cinematographer,"Best Actor",1987,best-actor-1987,,,"Fill"
Missing editor,"Best Actor",1987,best-actor-1987,,,"Fill"
Missing writer,"Best Actor",1987,best-actor-1987,,,"Fill"
Missing producer,"Best Actor",1987,best-actor-1987,,,"Fill"
Missing tmdb_id,"Best Actor",1987,best-actor-1987,,,"Fill"
Missing writer,"Veta",1986,veta-1986,,,"Fill"
Missing editor,"Rakshasudu",1986,rakshasudu-1986,,,"Fill"
Missing editor,"Allullostunnaru",1984,allullostunnaru-1984,,,"Fill"
Missing editor,"Challenge",1984,challenge-1984,,,"Fill"
Missing editor,"Hero",1984,hero-1984,,,"Fill"
Missing editor,"Agni Gundam",1984,agni-gundam-1984,,,"Fill"
Missing cinematographer,"Allulu Vasthunnaru",1984,allulu-vasthunnaru-1984,,,"Fill"
Missing editor,"Allulu Vasthunnaru",1984,allulu-vasthunnaru-1984,,,"Fill"
Missing writer,"Allulu Vasthunnaru",1984,allulu-vasthunnaru-1984,,,"Fill"
Missing producer,"Allulu Vasthunnaru",1984,allulu-vasthunnaru-1984,,,"Fill"
Missing cinematographer,"Simhapoori Simham",1983,simhapoori-simham-1983,,,"Fill"
Missing editor,"Simhapoori Simham",1983,simhapoori-simham-1983,,,"Fill"
Missing writer,"Simhapoori Simham",1983,simhapoori-simham-1983,,,"Fill"
Missing producer,"Simhapoori Simham",1983,simhapoori-simham-1983,,,"Fill"
Missing cinematographer,"Palletoori Monagadu",1983,palletoori-monagadu-1983,,,"Fill"
Missing editor,"Palletoori Monagadu",1983,palletoori-monagadu-1983,,,"Fill"
Missing writer,"Palletoori Monagadu",1983,palletoori-monagadu-1983,,,"Fill"
Missing producer,"Palletoori Monagadu",1983,palletoori-monagadu-1983,,,"Fill"
Missing editor,"Mantri Gari Viyyankudu",1983,mantri-gari-viyyankudu-1983,,,"Fill"
Missing editor,"Aalaya Sikharam",1983,aalaya-sikharam-1983,,,"Fill"
Missing writer,"Maro Maya Bazaar",1983,maro-maya-bazaar-1983,,,"Fill"
Missing writer,"Yamakinkarudu",1982,yamakinkarudu-1982,,,"Fill"
Missing writer,"Mondi Ghatam",1982,mondi-ghatam-1982,,,"Fill"
Missing writer,"Sitadevi",1982,sitadevi-1982,,,"Fill"
Missing writer,"Idi Pellantara",1982,idi-pellantara-1982,,,"Fill"
Missing writer,"Todu Dongalu",1981,todu-dongalu-1981,,,"Fill"
Missing cinematographer,"47 Natkal",1981,47-natkal-1981,,,"Fill"
Missing editor,"47 Natkal",1981,47-natkal-1981,,,"Fill"
Missing writer,"47 Natkal",1981,47-natkal-1981,,,"Fill"
Missing producer,"47 Natkal",1981,47-natkal-1981,,,"Fill"
Missing writer,"Kirayi Rowdylu",1981,kirayi-rowdylu-1981,,,"Fill"
Missing writer,"Tirugu Leni Manishi",1981,tirugu-leni-manishi-1981,,,"Fill"
Missing writer,"Parvathi Parameswarulu",1981,parvathi-parameswarulu-1981,,,"Fill"
Missing writer,"Kotta Alludu",1979,kotta-alludu-1979,,,"Fill"
TMDB Issue,"Mana Shankara Vara Prasad Garu",2026,msvp-2026,1146313,"wrong_language",Fix
TMDB Issue,"Auto Jaani",2026,auto-jaani-2026,341935,"wrong_language",Fix
TMDB Issue,"Vishwambhara",2026,vishwambhara-2026,1211111,"wrong_language",Fix
TMDB Issue,"Mega 159",2026,mega-159-2026,1382410,"wrong_language",Fix
TMDB Issue,"Rudra Tandava",2015,rudra-tandava-2015,540012,"wrong_language",Fix
TMDB Issue,"Aatagara",2015,aatagara-2015,400859,"wrong_language",Fix
TMDB Issue,"Anji",2004,anji-2004,115063,"not_found",Fix
TMDB Issue,"Shankar Dada M.B.B.S.",2004,shankar-dada-m-b-b-s-2004,42171,"wrong_language",Fix
TMDB Issue,"Tagore",2003,tagore-2003,54170,"not_found",Fix
TMDB Issue,"Indra",2002,indra-2002,37910,"wrong_language",Fix
TMDB Issue,"Mrugaraju",2001,mrugaraju-2001,56399,"wrong_language",Fix
TMDB Issue,"Annayya",2000,annayya-2000,115059,"not_found",Fix
TMDB Issue,"Iddaru Mitrulu",1999,iddaru-mitrulu-1999,115057,"not_found",Fix
TMDB Issue,"Sneham Kosam",1999,sneham-kosam-1999,109630,"not_found",Fix
TMDB Issue,"Meri Zindagi Ek Agneepath",1998,meri-zindagi-ek-agneepath-1998,662698,"wrong_language",Fix
TMDB Issue,"Choodalani Vundi",1998,choodalani-vundi-1998,37911,"wrong_language",Fix
TMDB Issue,"Bavagaru Bagunnara",1998,bavagaru-bagunnara-1998,108502,"not_found",Fix
TMDB Issue,"Master",1997,master-1997,101370,"not_found",Fix
