Type,Movie,Year,Field,Current Value,Suggested Value,Confidence,Details,Action
ghost_entry,"Inspector Pratap",1988,hero,"Chiranjeevi","Franco Franchi",60%,"Only 1 source suggests Franco Franchi - manual review recommended",flag_review
ghost_entry,"Kotta Alludu",1979,hero,"Chiranjeevi","Marcello Conte",60%,"Only 1 source suggests Marcello Conte - manual review recommended",flag_review
ghost_entry,"Allullostunnaru",1984,hero,"Chiranjeevi","Lucio Dalla",60%,"Only 1 source suggests Lucio Dalla - manual review recommended",flag_review
ghost_entry,"Maro Maya Bazaar",1983,hero,"Chiranjeevi","Martin Thompson",60%,"Only 1 source suggests Martin Thompson - manual review recommended",flag_review
conflicting_data,"Godfather",2022,tmdb_id,"863931","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Sye Raa Narasimha Reddy",2019,tmdb_id,"496495","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Shankar Dada Zindabad",2007,tmdb_id,"63811","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Jai Chiranjeeva",2005,tmdb_id,"117415","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Anji",2004,tmdb_id,"115063","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Daddy",2001,tmdb_id,"278422","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Shankar Dada M.B.B.S.",2004,tmdb_id,"42171","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"S.P. Parasuram",1994,tmdb_id,"318859","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Mugguru Monagallu",1994,tmdb_id,"115049","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Muta Mestri",1993,tmdb_id,"115045","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Rowdy Alludu",1991,tmdb_id,"108503","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Attaku Yamudu Ammayiki Mogudu",1989,tmdb_id,"279124","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Rudraveena",1988,tmdb_id,"40149","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Swayamkrushi",1987,tmdb_id,"43231","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Kirathakudu",1986,tmdb_id,"115019","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Devanthakudu",1984,tmdb_id,"115008","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Challenge",1984,tmdb_id,"115011","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Abhilasha",1983,tmdb_id,"115003","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Khaidi",1983,tmdb_id,"115001","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Tingu Rangadu",1982,tmdb_id,"114996","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Chandipriya",1980,tmdb_id,"441221","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Rani Kasula Rangamma",1981,tmdb_id,"303501","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Aarani Mantalu",1980,tmdb_id,"1152060","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Master",1997,tmdb_id,"101370","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Stuartpuram Police Station",1991,tmdb_id,"115038","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Indra",2002,tmdb_id,"37910","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Khaidi No. 150",2017,tmdb_id,"412326","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Kondaveeti Donga",1990,tmdb_id,"115035","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Gang Leader",1991,tmdb_id,"410214","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Trinetrudu",1988,tmdb_id,"115032","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Marana Mrudangam",1988,tmdb_id,"115033","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Pasivadi Pranam",1987,tmdb_id,"108500","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Aradhana",1987,tmdb_id,"115027","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Chantabbai",1986,tmdb_id,"41913","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Vijetha",1985,tmdb_id,"109629","-",70%,"TMDB ID not found - ID should be cleared",flag_review
