#,Year,Title,Slug,TMDB_ID,Hero,Heroine,Director,Music,Producer,Cinematographer,Supporting_Cast
"12","2013","Masala","masala-2013","264023","Daggubati Venkatesh","Anjali","K. Vijaya Bhaskar","S. Thaman","Daggubati Suresh Babu","","Anjali(supporting); Shazahn Padamsee(supporting); Brahmanandam(supporting); Kovai Sarala(supporting); Posani Krishna Murali(supporting)"
"13","2012","Bodyguard","bodyguard-2012","83321","Daggubati Venkatesh","Trisha Krishnan","Gopichand Malineni","S. Thaman","Bellamkonda Suresh","","Prakash Raj(supporting)"
"14","2010","Nagavalli","nagavalli-2010","83154","Daggubati Venkatesh","Anushka Shetty","P. Vasu","Gurukiran","Bellamkonda Suresh","","Anushka Shetty(supporting); Poonam Kaur(supporting); Kamalinee Mukherjee(supporting); Avinash(supporting); Shraddha Das(supporting)"
"15","2008","Chintakayala Ravi","chintakayala-ravi-2008","22052","Daggubati Venkatesh","Mamta Mohandas","Yogie","Vishal–Shekhar","Nallamalupu Bujji","","Mamta Mohandas(supporting); Venu Thottempudi(supporting); Brahmanandam(supporting); Sunil Varma(supporting); Dharmavarupu Subramanyam(supporting)"
"16","2007","Aadavari Matalaku Arthale Verule","aadavari-matalaku-arthale-verule-2007","80826","Daggubati Venkatesh","Trisha","Selvaraghavan","Yuvan Shankar Raja","N V Prasad","","Srikanth(supporting); Kota Srinivasa Rao(supporting); K. Viswanath(supporting); Sunil Varma(supporting); Swathi Reddy(supporting)"
"17","2007","Thulasi","thulasi-2007","82324","Daggubati Venkatesh","Nayanthara","Boyapati Srinu","Devi Sri Prasad","Daggubati Suresh Babu","","Vijayakumar(supporting); Ashish Vidhyarthi(supporting); Rahul Dev(supporting); Ramya Krishnan(supporting); Sivaji Sontineni(supporting)"
"18","2006","Lakshmi","lakshmi-2006","77035","Daggubati Venkatesh","Nayanthara","V. V. Vinayak","Ramana Gogula","Nallamalupu Bujji","","Charmy Kaur(supporting); Rajiv Kanakala(supporting); Sharwanand(supporting); Sayaji Shinde(supporting); Sunil Varma(supporting)"
"19","2005","Subash Chandra Bose","subash-chandra-bose-2005","279461","Daggubati Venkatesh","Genelia D'souza","K Raghavendra Rao","Mani Sharma","C. Ashwini Dutt","","Genelia D'Souza(supporting); Prakash Raj(supporting); Venkateswara Rao Paruchuri(supporting); Tanikella Bharani(supporting); Brahmanandam(supporting)"
"20","2005","Sankranti","sankranti-2005","256729","Daggubati Venkatesh","Sneha, Aarti Agarwal","Muppalaneni Shiva","S.A. Rajkumar","R.B. Choudary","","Siva Balaji(supporting); Sharwanand(supporting); Sneha(supporting); Sangeetha(supporting); Aarthi Agarwal(supporting)"
"21","2004","Malliswari","malliswari-2004","81082","Daggubati Venkatesh","Katrina Kaif","K. Vijaya Bhaskar","Saluri Koteswara Rao","D. Suresh Babu","","Kota Srinivasa Rao(supporting); Sunil Varma(supporting); Brahmanandam(supporting); Hema(supporting); Tanikella Bharani(supporting)"
"22","2004","Gharshana","gharshana-2004","63671","Daggubati Venkatesh","Asin Thottumkal","Gautham Vasudev Menon","Harris Jayaraj","G. Sivaraju C. Venkataraju","","Salim Baig(supporting); Ravi Prakash(supporting); Daniel Balaji(supporting); Vamsi Krishna(supporting); Yana Gupta(supporting)"
"23","2004","Shivashankar","shivashankar-2004","354674","Daggubati Venkatesh","Natanya Singh","Kapuganti Rajendra","Ilaiyaraaja","Mohan Babu","",""
"24","2003","Vasantam","vasantam-2003","218846","Daggubati Venkatesh","Aarti Agarwal","Vikraman","S.A. Rajkumar","N.V. Prasad","","Kalyani(supporting); Akash(supporting)"
"25","2002","Gemeni","gemeni-2002","279464","Daggubati Venkatesh","Namitha","Saran","R. P. Patnaik","B. Gurunath","","Kalabhavan Mani(supporting); Kota Srinivasa Rao(supporting); Murali(supporting); Brahmanandam(supporting); Posani Krishna Murali(supporting)"
"26","2002","Vasu","vasu-2002","82723","Daggubati Venkatesh","Bhumika Chawla","A. Karunakaran","Harris Jayaraj","K. S. Rama Rao","","Vijayakumar(supporting); Sunil Varma(supporting); Brahmaji(supporting); Achyuth(supporting); Ali Basha(supporting)"
"27","2001","Prematho Raa","prematho-raa-2001","279466","Daggubati Venkatesh","Simran","Udayasankar","Mani Sharma","Trivikrama Rao T.","","Flora Saini(supporting); Prema(supporting); Kota Srinivasa Rao(supporting); Suresh(supporting); Murali Mohan(supporting)"
"28","2001","Devi Putrudu","devi-putrudu-2001","279467","Daggubati Venkatesh","Soundarya","Kodi Ramakrishna","Mani Sharma","M. S. Raju","","Anjala Zaveri(supporting); Suresh(supporting); Kota Srinivasa Rao(supporting); M. S. Narayana(supporting); Ali Basha(supporting)"
"29","2001","Nuvvu Naaku Nachav","nuvvu-naaku-nachav-2001","82255","Daggubati Venkatesh","Aarthi Agarwal","K Vijaya Bhaskar","Saluri Koteswara Rao","Sravanthi Ravi Kishore","","Sudeepa(supporting); Prakash Raj(supporting); Chandramohan(supporting); M. S. Narayana(supporting); Flora Saini(supporting)"
"30","2000","Manasunna Maaraju","manasunna-maaraju-2000","447477","Daggubati Venkatesh","Laya","Muppalaneni Siva","Vandemataram Srinivas","DVV Danayya","","Rajitha(supporting); Kota Srinivasa Rao(supporting); Flora Saini(supporting); Brahmanandam(supporting); Manorama(supporting)"
"31","2000","Kalisundam Raa","kalisundam-raa-2000","81064","Daggubati Venkatesh","Simran","Udayasankar","S A Rajkumar","Daggubati Suresh Babu","","K. Viswanath(supporting); Ranganath(supporting); Srihari(supporting); Brahmanandam(supporting); Ali Basha(supporting)"
"32","2000","Jayam Manadera","jayam-manadera-2000","117417","Daggubati Venkatesh","Soundarya","N.Shankar","Vandemataram Srinivas","Daggubati Suresh Babu","","Meena Vasu(supporting); Bhanupriya(supporting); Ali Basha(supporting); Brahmanandam(supporting); Tanikella Bharani(supporting)"
"33","1999","Raja","raja-1999","267779","Daggubati Venkatesh","Soundarya","Muppalaneni Shiva","S A Rajkumar","R. B. Choudary","","Abbas(supporting); Tanikella Bharani(supporting); Brahmanandam(supporting); Y. Vijaya(supporting); Sudhakar(supporting)"
"34","1999","Seenu","seenu-1999","279471","Daggubati Venkatesh","Twinkle Khanna","Sasi","Mani Sharma","R. B. Choudary","","Sudhakar(supporting); Brahmaji(supporting); Prakash Raj(supporting); Brahmanandam(supporting); Ali Basha(supporting)"
"35","1999","Maa Balaji","maa-balaji-1999","447656","Daggubati Venkatesh","Maheswari","Kodi Ramakrishna","S.A. Rajkumar","S.P. Naidu","",""
"36","1999","Bobbili Vamsam","bobbili-vamsam-1999","259461","Daggubati Venkatesh","Rambha","A. Kodandarami Reddy","M.M. Keeravani","V. Doraswamy Raju","","Meena(supporting); Satyanarayana(supporting); Kota Srinivasa Rao(supporting)"
"37","1998","Ganesh","ganesh-1998","23782","Daggubati Venkatesh","Madhoo","Tirupathi Swamy","Mani Sharma","Daggubati Suresh Babu","","Madhoo(supporting); Keerthana(supporting); Chandramohan(supporting); Rambha(supporting); Brahmanandam(supporting)"
"38","1998","Premante Ideraa","premante-ideraa-1998","279472","Daggubati Venkatesh","Preity Zinta","Jayant Paranji","Ramana Gogula","Sivarama Krishna B","","Prema(supporting)"
"39","1997","Pelli Chesukundam","pelli-chesukundam-1997","279475","Daggubati Venkatesh","Soundarya","Muthyala Subbaiah","Saluri Koteswara Rao","G. Sivaraju","","Laila(supporting); Sudhakar(supporting); Mohanraj(supporting); Prakash Raj(supporting); Brahmanandam(supporting)"
"40","1997","Preminchukundam Raa","preminchukundam-raa-1997","82600","Daggubati Venkatesh","Anjala Zaveri","Jayant Paranji","Mahesh Mahadevan","","","Chandramohan(supporting); Sudha(supporting); Jayaprakash Reddy(supporting); Brahmanandam(supporting); Banerjee(supporting)"
"41","1997","Chinnabbayi","chinnabbayi-1997","443657","Daggubati Venkatesh","Ramya Krishnan","K. Viswanath","Ilaiyaraaja","M. Narasimha Rao","",""
"42","1997","Veedevadandi Babu","veedevadandi-babu-1997","259020","Daggubati Venkatesh","Shilpa Shetty","E.V.V. Satyanarayana","Koti","Davuluri Rama Rao","",""
"43","1996","Saahasa Veerudu Saagara Kanya","saahasa-veerudu-saagara-kanya-1996","279479","Daggubati Venkatesh","Shilpa Shetty Kundra","K Raghavendra Rao","M.M. Keeravaani","Burugupalli Shiva Rama Krishna","","Malashri(supporting); Kaikala Satyanarayana(supporting); Brahmanandam(supporting); Kota Srinivasa Rao(supporting); Srihari(supporting)"
"44","1996","Intlo Illalu Vantintlo Priyuralu","intlo-illalu-vantintlo-priyuralu-1996","279478","Daggubati Venkatesh","Soundarya","E.V.V. Satyanarayana","Saluri Koteswara Rao","K. L. Narayana","","Vinita(supporting); Brahmanandam(supporting); Kota Srinivasa Rao(supporting); Mallikarjuna Rao(supporting); Babu Mohan(supporting)"
"45","1996","Sarada Bullodu","sarada-bullodu-1996","279482","Daggubati Venkatesh","Nagma","Ravi Raja Pinisetty","Saluri Koteswara Rao","Trivikrama Rao T.","","Brahmanandam(supporting)"
"46","1996","Dharma Chakram","dharma-chakram-1996","81053","Daggubati Venkatesh","Srividya","Suresh Krissna","M M Sreelekha","D. Rama Naidu","","Girish Karnad(supporting); Ramya Krishnan(supporting); Prema(supporting); Amanchi Venkata Subrahmanyam(supporting); Rallapalli Narasimha(supporting)"
"47","1996","Pavithra Bandham","pavithra-bandham-1996","279477","Daggubati Venkatesh","Soundarya","Muthyala Subbaiah","M.M. Keeravaani","G. Sivaraju","","S. P. Balasubramaniam(supporting); Subhalekha Sudhakar(supporting); Sudhakar(supporting); Brahmanandam(supporting); Suthi Velu(supporting)"
"48","1995","Pokiri Raja","pokiri-raja-1995","279483","Daggubati Venkatesh","Roja","A. Kodandarami Reddy","Saluri Koteswara Rao","Venkatrami Reddy","","Brahmanandam(supporting); Ali Basha(supporting); Subhashri(supporting); Pratibha Sinha(supporting); Kaikala Satyanarayana(supporting)"
"49","1994","Super Police","super-police-1994","279484","Daggubati Venkatesh","Nagma","K. Murali Mohana Rao","A.R. Rahman","Daggubati Suresh Babu","","Soundarya(supporting); D. Rama Naidu(supporting); Kota Srinivasa Rao(supporting); Jayasudha(supporting); Brahmanandam(supporting)"
"50","1993","Abbaigaru","abbaigaru-1993","261350","Daggubati Venkatesh","Meena","E.V.V. Satyanarayana","M.M. Keeravani","M. Narasimha Rao","",""
