Actor,Title,Year,Sources,Confidence,Role,In Database,Was Added,Reason
"Akkineni Nagarjuna","Govindha Govindha",1993,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Raju Gari Gadhi 2",2017,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Hello Brother",1994,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Aakhari Poratam",1988,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Allari Alludu",1993,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Vijay",1989,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Majnu",1987,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Antam",1992,"lead",0,"",No,No,"Added"
"Akkineni Nagarjuna","Officer",2018,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Jaitra Yatra",1991,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Kirayi Dada",1987,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Snehamante Idera",2001,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Seetharama Raju",1999,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Eduruleni Manishi",2001,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Ninne Premistha",2000,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Devadas",2018,"lead",0,"",No,No,"Added"
"Akkineni Nagarjuna","Premam",2016,"cameo",0,"",No,No,"Added"
"Akkineni Nagarjuna","Janaki Ramudu",1988,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Chaitanya",1991,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Captain Nagarjuna",1986,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Collector Gari Abbai",1987,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Gharana Bullodu",1995,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Chinababu",1988,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Iddaru Iddare",1990,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Murali Krishnudu",1988,"lead",0,"",No,No,"Added"
"Akkineni Nagarjuna","Neti Siddhartha",1990,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Nirmala Convent",2016,"lead",0,"",No,No,"Added"
"Akkineni Nagarjuna","Prema Yuddham",1990,"lead",0,"",No,No,"Added"
"Akkineni Nagarjuna","Sankeertana",1987,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Ramudochadu",1996,"lead",0,"",No,No,"Added"
"Akkineni Nagarjuna","Vajram",1995,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Vikram",1986,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Thakita Thakita",2010,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Manmadhudu 2",2019,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Brahmāstra Part One: Shiva",2022,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Dongata",2015,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Akasa Veedhilo",2001,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Vicky Dada",1989,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Wild Dog",2021,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","The Ghost",2022,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Bangarraju",2022,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Nayanthara: Beyond the Fairy Tale",2024,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Shanti Kranti",1991,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Anaganaga Oka Raju",2026,"voice",0,"",No,No,"Added"
"Akkineni Nagarjuna","Captain Nagarjun",1986,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Aranyakanda",1987,"supporting",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Kirai Dada",1987,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Sankeerthana",1987,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Geetanjali",1989,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Vicky Daada",1989,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Chaithanya",1991,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Killer",1991,"supporting",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Antham",1992,"supporting",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Govinda Govinda",1993,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Criminal",1994,"supporting",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Govinda Govinda",1994,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Sisindri",1994,"supporting",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Ninne Pelladata",1996,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Auto Driver",1998,"supporting",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Shivamani",2003,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Vikram",2005,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Payanam",2011,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Dhamarukam",2012,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Kubera",2024,"supporting",0,"",No,No,"Added"
"Allari Naresh","Kurumbu",2003,"lead",0,"",No,No,"Exists"
"Allari Naresh","Aha Naa Pellanta",2011,"lead",0,"",No,No,"Exists"
"Allari Naresh","Seema Tapakai",2011,"lead",0,"",No,No,"Exists"
"Allari Naresh","Blade Babji",2008,"lead",0,"",No,No,"Exists"
"Allari Naresh","Gamyam",2008,"lead",0,"",No,No,"Added"
"Allari Naresh","Seema Sastri",2007,"lead",0,"",No,No,"Exists"
"Allari Naresh","Siddu from Srikakulam",2008,"lead",0,"",No,No,"Exists"
"Allari Naresh","Subhapradam",2010,"lead",0,"",No,No,"Exists"
"Allari Naresh","Madatha Kaaja",2011,"lead",0,"",No,No,"Exists"
"Allari Naresh","Betting Bangarraju",2010,"lead",0,"",No,No,"Exists"
"Allari Naresh","Kathi Kanta Rao",2010,"lead",0,"",No,No,"Exists"
"Allari Naresh","Pelli Kani Prasad",2003,"lead",0,"",No,No,"Exists"
"Allari Naresh","Poraali",2011,"lead",0,"",No,No,"Exists"
"Allari Naresh","Sudigaadu",2012,"lead",0,"",No,No,"Exists"
"Allari Naresh","Allari",2002,"lead",0,"",No,No,"Exists"
"Allari Naresh","Allare Allari",2006,"lead",0,"",No,No,"Exists"
"Allari Naresh","Danger",2005,"lead",0,"",No,No,"Exists"
"Allari Naresh","Bendu Apparao R.M.P",2009,"lead",0,"",No,No,"Exists"
"Allari Naresh","Maa Alludu Very Good",2003,"lead",0,"",No,No,"Exists"
"Allari Naresh","Nuvva Nena",2012,"lead",0,"",No,No,"Exists"
"Allari Naresh","Athili Sathibabu LKG",2007,"lead",0,"",No,No,"Exists"
"Allari Naresh","Saradaga Kasepu",2010,"lead",0,"",No,No,"Exists"
"Allari Naresh","Yamudiki Mogudu",2012,"lead",0,"",No,No,"Exists"
"Allari Naresh","Action 3D",2013,"lead",0,"",No,No,"Exists"
"Allari Naresh","Kevvu Keka",2013,"lead",0,"",No,No,"Exists"
"Allari Naresh","Thotti Gang",2002,"lead",0,"",No,No,"Exists"
"Allari Naresh","Laddu Babu",2014,"lead",0,"",No,No,"Exists"
"Allari Naresh","Vishaka Express",2008,"lead",0,"",No,No,"Exists"
"Allari Naresh","Pellaindi Kaani",2007,"lead",0,"",No,No,"Exists"
"Allari Naresh","Naa Saami Ranga",2024,"lead",0,"",No,No,"Exists"
"Allari Naresh","Kithakithalu",2006,"lead",0,"",No,No,"Exists"
"Allari Naresh","Itlu Maredumilli Prajaneekam",2022,"lead",0,"",No,No,"Exists"
"Allari Naresh","Fitting Master",2009,"lead",0,"",No,No,"Exists"
"Allari Naresh","Pranam",2003,"lead",0,"",No,No,"Added"
"Allari Naresh","Sundarakanda",2008,"lead",0,"",No,No,"Exists"
"Allari Naresh","Kulu Manali",2012,"supporting",0,"",No,No,"Added"
"Allari Naresh","Roommates",2006,"lead",0,"",No,No,"Exists"
"Allari Naresh","Ugram",2023,"lead",0,"",No,No,"Exists"
"Allari Naresh","James Bond",2015,"lead",0,"",No,No,"Exists"
"Allari Naresh","Aa Okkati Adakku",2024,"lead",0,"",No,No,"Exists"
"Allari Naresh","Shambo Shiva Shambo",2010,"lead",0,"",No,No,"Exists"
"Allari Naresh","Bommalata",2006,"supporting",0,"",No,No,"Added"
"Allari Naresh","Bommana Brothers Chandana Sisters",2008,"lead",0,"",No,No,"Exists"
"Allari Naresh","Mama Manchu Alludu Kanchu",2015,"lead",0,"",No,No,"Exists"
"Allari Naresh","Dhanalaxmi I Love You",2002,"lead",0,"",No,No,"Exists"
"Allari Naresh","Party",2006,"lead",0,"",No,No,"Exists"
"Allari Naresh","Dongala Bandi",2008,"lead",0,"",No,No,"Exists"
"Allari Naresh","Jump Jilani",2014,"lead",0,"",No,No,"Exists"
"Allari Naresh","Aakasa Ramanna",2010,"lead",0,"",No,No,"Exists"
"Allari Naresh","Selfie Raja",2016,"lead",0,"",No,No,"Exists"
"Allari Naresh","Bandipotu",2015,"lead",0,"",No,No,"Exists"
"Allari Naresh","Intlo Deyyam Nakem Bhayam",2016,"lead",0,"",No,No,"Exists"
"Allari Naresh","Gopi Goda Meeda Pilli",2006,"lead",0,"",No,No,"Exists"
"Allari Naresh","Silly Fellows",2018,"lead",0,"",No,No,"Exists"
"Allari Naresh","Nuvvante Nakishtam",2005,"lead",0,"",No,No,"Added"
"Allari Naresh","Juniors",2003,"lead",0,"",No,No,"Exists"
"Allari Naresh","Meda Meeda Abbayi",2017,"lead",0,"",No,No,"Exists"
"Allari Naresh","Maharshi",2019,"lead",0,"",No,No,"Added"
"Allari Naresh","Bangaru Bullodu",2021,"lead",0,"",No,No,"Exists"
"Allari Naresh","Naandhi",2021,"lead",0,"",No,No,"Exists"
"Allari Naresh","Brother of Bommali",2014,"lead",0,"",No,No,"Exists"
"Allari Naresh","Nenu",2004,"lead",0,"",No,No,"Exists"
"Allari Naresh","Bachhala Malli",2024,"lead",0,"",No,No,"Exists"
"Allari Naresh","Alcohol",2026,"lead",0,"",No,No,"Exists"
"Allari Naresh","12A Railway Colony",2025,"lead",0,"",No,No,"Exists"
"Allari Naresh","Nuvvante Naakishtam",2005,"lead",0,"",No,No,"Exists"
"Allari Naresh","Athili Sattibabu LKG",2007,"lead",0,"",No,No,"Added"
"Allari Naresh","Sundara Kanda",2008,"lead",0,"",No,No,"Exists"
"Allari Naresh","Alcohol †",2026,"lead",0,"",No,No,"Added"
"Allari Naresh","Nandi Awards",2008,"lead",0,"",No,No,"Added"
"Allari Naresh","Santosham Film Awards",2021,"lead",0,"",No,No,"Added"
"Allari Naresh","Praanam",2003,"supporting",0,"",No,No,"Exists"
"Allari Naresh","Gopi – Goda Meedha Pilli",2006,"supporting",0,"",No,No,"Added"
"Allari Naresh","Siddu from Sikakulam",2008,"supporting",0,"",No,No,"Added"
"Allari Naresh","Betting Bangaraju",2010,"supporting",0,"",No,No,"Added"
"Allari Naresh","Kathi Kantha Rao",2010,"supporting",0,"",No,No,"Exists"
"Allari Naresh","Shubhapradam",2010,"supporting",0,"",No,No,"Added"
"Allari Naresh","Madatha Kaja",2011,"supporting",0,"",No,No,"Exists"
"Allari Naresh","Marana Porali",2011,"supporting",0,"",No,No,"Added"
"Allari Naresh","Sudigadu",2012,"supporting",0,"",No,No,"Added"
"Allari Naresh","Bachchala Malli",2024,"supporting",0,"",No,No,"Added"
"Allu Arjun","Parugu",2008,"lead",0,"",No,No,"Exists"
"Allu Arjun","Aarya 2",2009,"lead",0,"",No,No,"Exists"
"Allu Arjun","Aarya",2004,"lead",0,"",No,No,"Exists"
"Allu Arjun","Happy",2006,"lead",0,"",No,No,"Exists"
"Allu Arjun","Bunny",2005,"lead",0,"",No,No,"Exists"
"Allu Arjun","Badrinath",2011,"lead",0,"",No,No,"Exists"
"Allu Arjun","Vedam",2010,"lead",0,"",No,No,"Exists"
"Allu Arjun","Julayi",2012,"lead",0,"",No,No,"Exists"
"Allu Arjun","Desamuduru",2007,"lead",0,"",No,No,"Exists"
"Allu Arjun","Gangotri",2003,"lead",0,"",No,No,"Added"
"Allu Arjun","Iddarammayilatho",2013,"lead",0,"",No,No,"Exists"
"Allu Arjun","Yevadu",2014,"cameo",0,"",No,No,"Added"
"Allu Arjun","Varudu",2010,"lead",0,"",No,No,"Exists"
"Allu Arjun","Race Gurram",2014,"lead",0,"",No,No,"Exists"
"Allu Arjun","Daddy",2001,"cameo",0,"",No,No,"Added"
"Allu Arjun","I Am That Change",2014,"lead",0,"",No,No,"Exists"
"Allu Arjun","Rudhramadevi",2015,"lead",0,"",No,No,"Added"
"Allu Arjun","Shankar Dada Zindabad",2007,"cameo",0,"",No,No,"Added"
"Allu Arjun","Son of Satyamurthy",2015,"lead",0,"",No,No,"Exists"
"Allu Arjun","Sarrainodu",2016,"lead",0,"",No,No,"Exists"
"Allu Arjun","DJ: Duvvada Jagannadham",2017,"lead",0,"",No,No,"Exists"
"Allu Arjun","Naa Peru Surya - Naa Illu India",2018,"lead",0,"",No,No,"Exists"
"Allu Arjun","Ala Vaikunthapurramuloo",2020,"lead",0,"",No,No,"Exists"
"Allu Arjun","Pushpa: The Rise",2021,"lead",0,"",No,No,"Exists"
"Allu Arjun","Pushpa 2 - The Rule",2024,"lead",0,"",No,No,"Exists"
"Allu Arjun","Swati Muthyam",1986,"child_actor",0,"",No,No,"Added"
"Allu Arjun","Vijetha",1985,"child_actor",0,"",No,No,"Added"
"Anushka Shetty","Chintakayala Ravi",2008,"lead",0,"",No,No,"Added"
"Anushka Shetty","Arundhati",2009,"lead",0,"",No,No,"Exists"
"Anushka Shetty","Billa",2009,"lead",0,"",No,No,"Added"
"Anushka Shetty","Vikramarkudu",2006,"lead",0,"",No,No,"Exists"
"Anushka Shetty","Kedi",2010,"lead",0,"",No,No,"Added"
"Anushka Shetty","Singam",2010,"lead",0,"",No,No,"Added"
"Anushka Shetty","Vettaikaaran",2009,"lead",0,"",No,No,"Added"
"Anushka Shetty","Deiva Thirumagal",2011,"lead",0,"",No,No,"Added"
"Anushka Shetty","Don",2007,"lead",0,"",No,No,"Exists"
"Anushka Shetty","Vaanam",2011,"lead",0,"",No,No,"Exists"
"Anushka Shetty","Swagatam",2008,"lead",0,"",No,No,"Exists"
"Anushka Shetty","Irandam Ulagam",2013,"lead",0,"",No,No,"Exists"
"Anushka Shetty","Rendu",2006,"lead",0,"",No,No,"Exists"
"Anushka Shetty","Nagavalli",2010,"lead",0,"",No,No,"Exists"
"Anushka Shetty","Souryam",2008,"lead",0,"",No,No,"Exists"
"Anushka Shetty","Ragada",2010,"lead",0,"",No,No,"Added"
"Anushka Shetty","Khaleja",2010,"supporting",0,"",No,No,"Exists"
"Anushka Shetty","Thaandavam",2012,"lead",0,"",No,No,"Added"
"Anushka Shetty","Vedam",2010,"lead",0,"",No,No,"Exists"
"Anushka Shetty","Alex Pandian",2013,"lead",0,"",No,No,"Exists"
"Anushka Shetty","Damarukam",2012,"lead",0,"",No,No,"Exists"
"Anushka Shetty","Asthram",2006,"lead",0,"",No,No,"Added"
"Anushka Shetty","Baladur",2008,"lead",0,"",No,No,"Added"
"Anushka Shetty","Thakita Thakita",2010,"supporting",0,"",No,No,"Added"
"Anushka Shetty","Super",2005,"lead",0,"",No,No,"Added"
"Anushka Shetty","Okka Magaadu",2008,"lead",0,"",No,No,"Added"
"Anushka Shetty","Singam 2",2013,"lead",0,"",No,No,"Added"
"Anushka Shetty","Mirchi",2013,"lead",0,"",No,No,"Exists"
"Anushka Shetty","Stalin",2006,"supporting",0,"",No,No,"Added"
"Anushka Shetty","Bāhubali: The Beginning",2015,"supporting",0,"",No,No,"Added"
"Anushka Shetty","Lingaa",2014,"lead",0,"",No,No,"Added"
"Anushka Shetty","Yennai Arindhaal",2015,"supporting",0,"",No,No,"Added"
"Anushka Shetty","Rudhramadevi",2015,"lead",0,"",No,No,"Exists"
"Anushka Shetty","Panchakshari",2010,"lead",0,"",No,No,"Added"
"Anushka Shetty","Miss. Shetty Mr. Polishetty",2023,"lead",0,"",No,No,"Exists"
"Anushka Shetty","Ghaati",2025,"lead",0,"",No,No,"Exists"
"Anushka Shetty","Bāhubali 2: The Conclusion",2017,"lead",0,"",No,No,"Added"
"Anushka Shetty","Inji Iduppazhagi",2015,"lead",0,"",No,No,"Exists"
"Anushka Shetty","King",2008,"cameo",0,"",No,No,"Added"
"Anushka Shetty","Oopiri",2016,"cameo",0,"",No,No,"Added"
"Anushka Shetty","Si 3",2017,"lead",0,"",No,No,"Added"
"Anushka Shetty","Soggade Chinni Nayana",2016,"cameo",0,"",No,No,"Added"
"Anushka Shetty","Om Namo Venkatesaya",2017,"lead",0,"",No,No,"Exists"
"Anushka Shetty","Bhaagamathie",2018,"lead",0,"",No,No,"Exists"
"Anushka Shetty","Mahanandi",2005,"lead",0,"",No,No,"Added"
"Anushka Shetty","Lakshyam",2007,"lead",0,"",No,No,"Exists"
"Anushka Shetty","N.T.R: Kathanayakudu",2019,"supporting",0,"",No,No,"Added"
"Anushka Shetty","Sye Raa Narasimha Reddy",2019,"supporting",0,"",No,No,"Added"
"Anushka Shetty","Nishabdham",2020,"lead",0,"",No,No,"Exists"
"Anushka Shetty","Saguni",2012,"supporting",0,"",No,No,"Added"
"Anushka Shetty","Bāhubali: The Epic",2025,"lead",0,"",No,No,"Added"
"Anushka Shetty","Lakshyam",1993,"supporting",0,"",No,No,"Added"
"Anushka Shetty","Dhamarukam",2012,"supporting",0,"",No,No,"Added"
"Anushka Shetty","Baahubali: The Beginning",2015,"supporting",0,"",No,No,"Added"
"Anushka Shetty","Well, If You Know Me",2015,"supporting",0,"",No,No,"Added"
"Anushka Shetty","Baahubali: The Beginning",2016,"supporting",0,"",No,No,"Added"
"Anushka Shetty","Baahubali: The Beginning",2017,"supporting",0,"",No,No,"Added"
"Anushka Shetty","Baahubali 2: The Conclusion",2017,"supporting",0,"",No,No,"Exists"
"Anushka Shetty","Baahubali 2: The Conclusion",2018,"supporting",0,"",No,No,"Exists"
"Anushka Shetty","Bhagmati",2018,"supporting",0,"",No,No,"Added"
"Chiranjeevi","Best Actor – Telugu",1982,"lead",0,"",No,No,"Added"
"Chiranjeevi","Vijetha",1985,"lead",0,"",No,No,"Exists"
"Chiranjeevi","Aapadbandhavudu",1992,"lead",0,"",No,No,"Exists"
"Chiranjeevi","Muta Mestri",1993,"lead",0,"",No,No,"Exists"
"Chiranjeevi","Sneham Kosam",1999,"lead",0,"",No,No,"Exists"
"Chiranjeevi","Indra",2002,"lead",0,"",No,No,"Exists"
"Chiranjeevi","Shankar Dada MBBS",2004,"lead",0,"",No,No,"Exists"
"Chiranjeevi","Special Award – South",2006,"lead",0,"",No,No,"Added"
"Chiranjeevi","Lifetime Achievement Award – South",2010,"lead",0,"",No,No,"Added"
"Chiranjeevi","Best Actor – Telugu",2023,"lead",0,"",No,No,"Added"
"Chiranjeevi","Best Actor – Telugu",2024,"lead",0,"",No,No,"Added"
"Chiranjeevi","Best Actor",1987,"lead",0,"",No,No,"Exists"
"Chiranjeevi","Raghupathi Venkaiah Award",2016,"lead",0,"",No,No,"Added"
"Chiranjeevi","Pranam Khareedu",1978,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Mana Voori Pandavulu",1978,"supporting",0,"",No,No,"Added"
"Chiranjeevi","Kothala Raayudu",1979,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Kukka Katuku Cheppu Debba",1979,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Punadhirallu",1979,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Sri Rambantu",1979,"supporting",0,"",No,No,"Added"
"Chiranjeevi","Thathayya Premaleelalu",1980,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Love In Singapore",1980,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Nakili Manishi",1980,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Aarani Mantalu",1980,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Agni Sanskaram",1980,"supporting",0,"",No,No,"Added"
"Chiranjeevi","Chandipriya",1980,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Jathara",1980,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Kottapeta Rowdy",1980,"supporting",0,"",No,No,"Added"
"Chiranjeevi","Mogudu Kaavali",1980,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Mosagadu",1980,"supporting",0,"",No,No,"Added"
"Chiranjeevi","Prema Tarangalu",1980,"supporting",0,"",No,No,"Added"
"Chiranjeevi","Punnami Naagu",1980,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Rakta Sambandham",1980,"supporting",0,"",No,No,"Added"
"Chiranjeevi","Thodu Dongalu",1981,"supporting",0,"",No,No,"Added"
"Chiranjeevi","Tirugu Leni Manishi",1981,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","47 Rojulu",1981,"supporting",0,"",No,No,"Added"
"Chiranjeevi","Chattaniki Kallu Levu",1981,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Kirayi Rowdylu",1981,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Nyayam Kavali",1981,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Ooriki Ichina Maata",1981,"supporting",0,"",No,No,"Added"
"Chiranjeevi","Paravathi Parameshwarulu",1981,"supporting",0,"",No,No,"Added"
"Chiranjeevi","Rani Kasula Rangamma",1981,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Srirasthu Subhamasthu",1981,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Tingu Rangadu",1982,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Yamakinkarudu",1982,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Subhalekha",1982,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Bandhalu Anubandhalu",1982,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Idi Pellantara",1982,"supporting",0,"",No,No,"Exists"
"Chiranjeevi","Intlo Ramayya Veedilo Krishnayya",1982,"supporting",0,"",No,No,"Exists"
