Year,Title,Slug,Director,Heroine,Music,Cinematographer,Editor,Writer,Producer,TMDB_ID,Missing
1990,"Kondaveeti Donga",kondaveeti-donga-1990,"A. Kodandarami Reddy","Vijayashanti","Ilaiyaraaja","","","Gopalakrishna Paruchuri","Trivikrama Rao T.",103227,"Cine; Edit"
1989,"Lankeswarudu",lankeswarudu-1989,"Kodandarami Reddy","Radha","Saluri Koteswara Rao","","","","Vadde Ramesh",279128,"Cine; Edit; Writ"
1989,"Attaku Yamudu Ammayiki Mogudu",attaku-yamudu-ammayiki-mogudu-1989,"A. Kodandarami Reddy","Vijayashanti","K. Chakravarthy","","","A. Kodandarami Reddy","Allu Aravind",279124,"Cine; Edit"
1988,"Inspector Pratap",inspector-pratap-1988,"Mohan Gandhi","Vijayashanti","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1988,"Khaidi No.786",khaidi-no786-1988,"Vijaya Bapineedu","Bhanupriya","Saluri Koteswara Rao","","","","Maganti Ravindranath Chowdary",279133,"Cine; Edit; Writ"
1988,"Antima Teerpu",antima-teerpu-1988,"K. Murali Mohan","Vijayashanti","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1988,"Yuddha Bhoomi",yuddha-bhoomi-1988,"K. Raghavendra Rao","Moon Moon Sen","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1988,"Manchi Donga",manchi-donga-1988,"K. Raghavendra Rao","Vijayashanti","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1988,"Rudraveena",rudraveena-1988,"K. Balachander","Shobana","Ilaiyaraaja","","Kumar","K. Balachander","Nagendra Babu",66342,"Cine"
1988,"Marana Mrudangam",marana-mrudangam-1988,"A. Kodandarami Reddy","Radha","Ilaiyaraaja","","","","K. S. Rama Rao",279129,"Cine; Edit; Writ"
1988,"Trinetrudu",trinetrudu-1988,"Muktha Srinivasan","Bhanupriya","Saluri Koteswara Rao","","","","Nagendra Babu",279131,"Cine; Edit; Writ"
1988,"Yamudiki Mogudu",yamudiki-mogudu-1988,"Ravi Raja Pinisetty","Vijayashanti, Radha","Saluri Koteswara Rao","","","","Dasari Narayana Rao",279134,"Cine; Edit; Writ"
1987,"Jebu Donga",jebu-donga-1975,"V. B. Rajendra Prasad","Jayasudha","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1987,"Swayamkrushi",swayamkrushi-1987,"K. Viswanath","Vijayashanti","Ramesh Naidu","","","","Nageswara Rao. D",279293,"Cine; Edit; Writ"
1987,"Aradhana",aradhana-1987,"Bharathiraja","Suhasini Maniratnam","Ilaiyaraaja","","","Bharathiraja","Allu Aravind",279292,"Cine; Edit"
1987,"Donga Mogudu",donga-mogudu-1987,"A. Kodandarami Reddy","Bhanupriya","K. Chakravarthy","","","","Venkanna Babu S P",279291,"Cine; Edit; Writ"
1987,"Pasivadi Pranam",pasivadi-pranam-1987,"A. Kodandarami Reddy","Vijayashanti","K. Chakravarthy","","","","Allu Aravind",279288,"Cine; Edit; Writ"
1987,"Chakravarthy",chakravarthy-1987,"Ravi Raja Pinisetty","Bhanupriya, Ramya Krishna","K. Chakravarthy","","","","Kodali Venkateswara Rao",279287,"Cine; Edit; Writ"
1986,"Rakshasudu",rakshasudu-1986,"A. Kodandarami Reddy","Radha, Suhasini, Sumalatha","Ilaiyaraaja","","","","K. S. Rama Rao",279300,"Cine; Edit; Writ"
1986,"Kirathakudu",kirathakudu-1986,"A. Kodandarami Reddy","Suhasini Maniratnam","Ilaiyaraaja","","","","K. Hariharan",279302,"Cine; Edit; Writ"
1986,"Chantabbai",chantabbai-1986,"Jandhyala Subramanya Sastry","Suhasini Maniratnam","K. Chakravarthy","","","","Bheemavarapu Buchi Reddy",279295,"Cine; Edit; Writ"
1986,"Magadheerudu",magadheerudu-1986,"K. Raghavendra Rao","Vijayashanti","S. P. Balasubrahmanyam","","","","Maganti Ravindranath Chowdary",,"Cine; Edit; Writ; TMDB"
1986,"Kondaveeti Raja",kondaveeti-raja-1986,"K. Raghavendra Rao","Kaikala Satyanarayana","K. Chakravarthy","","Kotagiri Venkateswara Rao","Venkateswara Rao Paruchuri","Devi Vara Prasad",279298,"Cine"
1985,"Jwala",jwala-1985,"Ravi Raja Pinisetty","Bhanupriya, Radhika","Ilaiyaraaja","","","","Pinjala Nageswara Rao",279311,"Cine; Edit; Writ"
1985,"Donga",donga-1985,"A. Kodandarami Reddy","Radha","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1985,"Rakta Sindhuram",rakta-sindhuram-1985,"Raviraja Pinisetty","Radha","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1985,"Vijetha",vijetha-1985,"A. Kodandarami Reddy","Bhanupriya","K. Chakravarthy","","","A. Kodandarami Reddy","Allu Aravind",279310,"Cine; Edit"
1985,"Chattamtho Poratam",chattamtho-poratam-1985,"K. Bapayya","Vijayashanti","K. Chakravarthy","","","","Devi Vara Prasad",279308,"Cine; Edit; Writ"
1984,"Rana",rana-1984,"K. Raghavendra Rao","Radha","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1984,"Goonda",goonda-1984,"A. Kodandarami Reddy","Radha","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1984,"Inti Guttu",inti-guttu-1984,"K. Vasu","Nalini","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1984,"Rojulu Marayi",rojulu-marayi-1984,"Kodandarami Reddy","Poornima","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1984,"Rustum",rustum-1984,"A. Kodandarami Reddy","Urvashi","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1984,"Agni Gundam",agni-gundam-1984,"K. Raghavendra Rao","Sumalatha","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1984,"Koteeswarudu",koteeswarudu-1984,"K. Vasu","Vijayashanti","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1984,"Naagu",naagu-1984,"T. L. V. Prasad","No Female Lead","K. Chakravarthy","","","","",279324,"Cine; Edit; Writ; Prod"
1984,"Devanthakudu",devanthakudu-1984,"Singeetam Srinivasa Rao","Jaya Prada","J V Raghavulu","","","","Narayan Rao",279320,"Cine; Edit; Writ"
1984,"Hero",hero-1984,"Vijaya Bapineedu","Radikaa Sarathkumar","K. Chakravarthy","","","","Allu Aravind",279326,"Cine; Edit; Writ"
1984,"Challenge",challenge-1984,"A. Kodandarami Reddy","Suhasini Maniratnam","Ilaiyaraaja","","Kotagiri Venkateswara Rao","G. Satyamurthy","K. S. Rama Rao",279317,"Cine"
1983,"Maro Maya Bazaar",maro-maya-bazaar-1983,"C. S. Rao","Nutan Prasad","Satyam","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1983,"Roshagadu",roshagadu-1983,"K. S. R. Das","Madhavi","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1983,"Puli Bebbuli",puli-bebbuli-1983,"Kodandarami Reddy","Jaya Prada","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1983,"Aalaya Sikharam",aalaya-sikharam-1983,"Kodandarami Reddy","Sumalatha","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1983,"Maga Maharaju",maga-maharaju-1983,"K. Vasu","Suhasini","K. Chakravarthy","","","","Maganti Ravindranath Chowdary",279338,"Cine; Edit; Writ"
1983,"Palleturi Monagadu",palleturi-monagadu-1983,"Relangi Narasimha Rao","Raadhika","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1983,"Shivudu Shivudu Shivudu",shivudu-shivudu-shivudu-1983,"A. Kodandarami Reddy","Radikaa Sarathkumar","K. Chakravarthy","","","","Kranthi Kumar",279335,"Cine; Edit; Writ"
1983,"Mantri Gari Viyyankudu",mantri-gari-viyyankudu-1983,"Bapu","Poornima Jayaram","Ilaiyaraaja","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1983,"Simhapuri Simham",simhapuri-simham-1983,"Kodi Ramakrishna","No Female Lead","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
