"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Kinar","2018","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt8054238"
"Suvarna Sundari","2023","lead","Yes","","wikipedia","0.50","Exists","",""
"Ramachandra Boss &amp; Co","2023","lead","Yes","","wikipedia","0.50","Exists","",""
"Perfect Pati","2018","lead","Yes","","wikipedia","0.50","Exists","",""
"The Kapil Sharma Show season 2","2021","lead","Yes","","wikipedia","0.50","Exists","",""
"Indian Idol","2021","lead","Yes","","wikipedia","0.50","Exists","",""
"Sasural Simar Ka 2","2022","cameo","No","","wikipedia","0.50","Added","",""
"Drama Juniors 4 Telugu","2023","lead","Yes","","wikipedia","0.50","Exists","",""
"Sharaabi","1984","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt0088099"
"Sanjog","1985","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt0089959"
"Anthuleni Katha","1976","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt0154154"
"Ninaithale Inikkum","1979","lead","Yes","","wikipedia","0.50","Exists","",""
"Chandipriya","1980","lead","Yes","","wikipedia","0.50","Added","",""
"47 Rojulu","1981","lead","Yes","","wikipedia, wikidata","0.75","Added","","tt0154101"
"Meghasandesam","1982","lead","Yes","","wikipedia","0.50","Exists","",""
"Sampoorna Premayanam","1984","lead","Yes","","wikipedia","0.50","Added","",""
"Overall Contribution to Telugu Film Industry","2007","lead","Yes","","wikipedia","0.50","Exists","",""
"Seeta Kalyanam","1976","supporting","No","","wikidata","0.50","Added","","tt0156082"
"Sita Swayamvar","1976","supporting","No","","wikidata","0.50","Added","","tt0156058"
"Adavi Ramudu","1977","supporting","No","","wikidata","0.50","Exists","","tt0257362"
"Chanakya Chandragupta","1977","supporting","No","","wikidata","0.50","Added","","tt0259242"
"Siri Siri Muvva","1977","supporting","No","","wikidata","0.50","Exists","","tt0249963"
"Yamagola","1977","supporting","No","","wikidata","0.50","Exists","","tt0207222"
"Dongala Veta","1978","supporting","No","","wikidata","0.50","Exists","","tt0371643"
"Andamaina Anubhavam","1979","supporting","No","","wikidata","0.50","Added","","tt0154145"
"Lok Parlok","1979","supporting","No","","wikidata","0.50","Exists","","tt0260144"
"Ragile Hrudayalu","1980","supporting","No","","wikidata","0.50","Exists","","tt1437628"
"Ooriki Monagadu","1981","supporting","No","","wikidata","0.50","Exists","","tt0258274"
"Dil-E-Nadaan","1982","supporting","No","","wikidata","0.50","Exists","","tt0313971"
"Kaamchor","1982","supporting","No","","wikidata","0.50","Exists","","tt0248125"
"Meghasandesham","1982","supporting","No","","wikidata","0.50","Added","","tt0251834"
"Main Awara Hoon","1983","supporting","No","","wikidata","0.50","Exists","","tt0361869"
"Mawaali","1983","supporting","No","","wikidata","0.50","Added","","tt0154857"
"Mundadugu","1983","supporting","No","","wikidata","0.50","Exists","","tt0154914"
"Qayamat","1983","supporting","No","","wikidata","0.50","Exists","","tt0366928"
"Saagara Sangamam","1983","supporting","No","","wikidata","0.50","Added","","tt0086231"
"Tohfa","1984","supporting","No","","wikidata","0.50","Exists","","tt0125556"
"Awaaz","1984","supporting","No","","wikidata","0.50","Exists","","tt0268160"
"Dharm Aur Qanoon","1984","supporting","No","","wikidata","0.50","Added","","tt0379249"
"Mera Faisla","1984","supporting","No","","wikidata","0.50","Exists","","tt0359684"
"Haqeeqat","1985","supporting","No","","wikidata","0.50","Exists","","tt0260064"
"Mera Saathi","1985","supporting","No","","wikidata","0.50","Added","","tt0257910"
"Zabardast","1985","supporting","No","","wikidata","0.50","Added","","tt0230991"
"Aakhree Raasta","1986","supporting","No","","wikidata","0.50","Exists","","tt0090575"
"Aisa Pyaar Kahan","1986","supporting","No","","wikidata","0.50","Added","","tt0358926"
"Simhasanam","1986","supporting","No","","wikidata","0.50","Exists","","tt0234737"
"Swarag Se Sunder","1986","supporting","No","","wikidata","0.50","Exists","","tt0155227"
"Veta","1986","supporting","No","","wikidata","0.50","Exists","","tt0246313"
"Muddat","1986","supporting","No","","wikidata","0.50","Added","","tt0154909"
"Pyaar Ke Do Pal","1986","supporting","No","","wikidata","0.50","Added","","tt0358053"
"Majaal","1987","supporting","No","","wikidata","0.50","Exists","","tt0154821"
"Sindoor","1987","supporting","No","","wikidata","0.50","Added","","tt0359990"
"Vishwanatha Nayakudu","1987","supporting","No","","wikidata","0.50","Added","","tt0262877"
"Ganga Tere Desh Mein","1988","supporting","No","","wikidata","0.50","Exists","","tt0359309"
"Elaan-E-Jung","1989","supporting","No","","wikidata","0.50","Exists","","tt0359215"
"Majboor","1989","supporting","No","","wikidata","0.50","Exists","","tt0260158"
"Kanoon Ki Awaaz","1989","supporting","No","","wikidata","0.50","Added","","tt0378177"
"Gharana","1989","supporting","No","","wikidata","0.50","Added","","tt0359324"
"Aaj Ka Arjun","1990","supporting","No","","wikidata","0.50","Exists","","tt0098976"
"Thanedaar","1990","supporting","No","","wikidata","0.50","Added","","tt0098461"
"Q12427728","1990","supporting","No","","wikidata","0.50","Added","","tt0370088"
"Farishtay","1991","supporting","No","","wikidata","0.50","Added","","tt0187004"
"Sapnon Ka Mandir","1991","supporting","No","","wikidata","0.50","Exists","","tt0352809"
"Tyagi","1992","supporting","No","","wikidata","0.50","Exists","","tt0364720"
"Ezhai Jaathi","1993","supporting","No","","wikidata","0.50","Exists","","tt0317464"
"Veerta","1993","supporting","No","","wikidata","0.50","Exists","","tt0243639"
"Swami Vivekananda","1994","supporting","No","","wikidata","0.50","Added","","tt0454314"
"Swami Vivekananda","1998","supporting","No","","wikidata","0.50","Added","","tt0454314"
"Ee Snehatheerathu","2004","supporting","No","","wikidata","0.50","Added","","tt0481093"
"Sangolli Rayanna","2012","supporting","No","","wikidata","0.50","Added","","tt2616620"
"Ramachandra Boss & Co","2023","supporting","No","","wikidata","0.50","Exists","","tt25656560"
