id,slug,title,year,issue_type,issue_description,current_value,suggested_action,severity
"3a35db76-4bf0-458a-822b-34fc5660f766","vankaya-fry-2011","Vankaya Fry",2011,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Vankaya Fry","Verify if this is a feature film or should be removed/reclassified","medium"
"edf915ed-6da6-4f3f-afd2-48d1da848edd","queen-days-of-our-lives-2011","Queen: Days of Our Lives",2011,"BAD_SLUG","Slug is a Wikidata ID instead of proper slug","queen-days-of-our-lives-2011","Generate proper slug from title","medium"
"4d8b78d8-015d-4fdb-b4dd-c498c4e58bc5","komaram-bheem-2010","Komaram Bheem",2010,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "docu")","Komaram Bheem","Verify if this is a feature film or should be removed/reclassified","medium"
"068a1a2d-d1fa-497d-abd7-27cb9caea0ad","udatha-udatha-ooch-2010","Udatha Udatha Ooch",2010,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Udatha Udatha Ooch","Verify if this is a feature film or should be removed/reclassified","medium"
"ff4e71cd-8204-4cc2-b14e-1926ce4223b6","ragada-2010","Ragada",2010,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "series")","Ragada","Verify if this is a feature film or should be removed/reclassified","medium"
"c16446b2-f4a1-4e3c-91bc-27ebf7664027","vedam-2010","Vedam",2010,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Vedam","Verify if this is a feature film or should be removed/reclassified","medium"
"1da56a37-112f-45ab-9ea6-905c9657a7e8","quick-gun-murugan-2009","Quick Gun Murugan",2009,"BAD_SLUG","Slug is a Wikidata ID instead of proper slug","quick-gun-murugan-2009","Generate proper slug from title","medium"
"7a5dc5f8-681d-49a7-9ff4-3a4962dcb9b0","quick-gun-murugun-2009","Quick Gun Murugun",2009,"BAD_SLUG","Slug is a Wikidata ID instead of proper slug","quick-gun-murugun-2009","Generate proper slug from title","medium"
"2fbc8f58-8a44-4fb5-9d5b-73415cdaeb44","george-carlin-it-s-bad-for-ya--2008","George Carlin: It's Bad for Ya!",2008,"MISSING_HEROINE","Heroine is missing","Hero: George Carlin","Research and add heroine","medium"
"447beab7-f068-4110-8af2-053411a79f74","louis-c-k-chewed-up-2008","Louis C.K.: Chewed Up",2008,"MISSING_HEROINE","Heroine is missing","Hero: Louis C.K.","Research and add heroine","medium"
"64e0e4bb-4709-4c7c-9ac6-58f921f7152c","aapada-mokkulavaadu-2008","Aapada Mokkulavaadu",2008,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "series")","Aapada Mokkulavaadu","Verify if this is a feature film or should be removed/reclassified","medium"
"4a599c36-472b-4270-9b19-2270133b1edd","chintakayala-ravi-2008","Chintakayala Ravi",2008,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Chintakayala Ravi","Verify if this is a feature film or should be removed/reclassified","medium"
"a50fabae-a9b2-4b5a-bb24-89b6e715d485","seema-sastri-2007","Seema Sastri",2007,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Seema Sastri","Verify if this is a feature film or should be removed/reclassified","medium"
"86f4d8f7-e3eb-471d-aea6-b082de34f3d7","chukkallo-chandrudu-2006","Chukkallo Chandrudu",2006,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Chukkallo Chandrudu","Verify if this is a feature film or should be removed/reclassified","medium"
"c212cbf8-5145-44b7-8740-a2928fa13c6b","hanuman-2005","Hanuman",2005,"MISSING_HEROINE","Heroine is missing","Hero: Mukesh Khanna","Research and add heroine","medium"
"7cacd9d1-4f91-4c17-803c-1c6f426873f0","earthlings-2005","Earthlings",2005,"MISSING_HEROINE","Heroine is missing","Hero: Joaquin Phoenix","Research and add heroine","medium"
"aefe83e9-fac0-4565-9b32-7454b4a69411","gharshana-2004","Gharshana",2004,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "series")","Gharshana","Verify if this is a feature film or should be removed/reclassified","medium"
"a4c28118-d49a-4891-8ac1-de3f22e362c3","venky-2004","Venky",2004,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "series")","Venky","Verify if this is a feature film or should be removed/reclassified","medium"
"812f5615-be38-4c28-907d-5b9c9beac809","aithe-enti-2004","Aithe Enti",2004,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Aithe Enti","Verify if this is a feature film or should be removed/reclassified","medium"
"16785b03-4983-41de-8dc2-31241087dc2c","takkari-donga-2002","Takkari Donga",2002,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Takkari Donga","Verify if this is a feature film or should be removed/reclassified","medium"
"ee221c6a-ab1a-47a3-a1d7-29fb84086fb8","adrustam-2002","Adrustam",2002,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Adrustam","Verify if this is a feature film or should be removed/reclassified","medium"
"2668a836-ad4a-49fc-8109-3b6cec7bbce1","bhadrachalam-2001","Bhadrachalam",2001,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "docu")","Bhadrachalam","Verify if this is a feature film or should be removed/reclassified","medium"
"f048fb9c-7a43-4fd0-b86d-37e33ef55d65","gurupoornima-1999","Gurupoornima",1999,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Gurupoornima","Verify if this is a feature film or should be removed/reclassified","medium"
"71264c7a-cb26-4f72-b76d-a177bcde1d34","pandaga-1998","Pandaga",1998,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Pandaga","Verify if this is a feature film or should be removed/reclassified","medium"
"1fa766ed-f064-4514-987b-fba4cde3c289","bavagaru-bagunnara-1998","Bavagaru Bagunnara",1998,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "series")","Bavagaru Bagunnara","Verify if this is a feature film or should be removed/reclassified","medium"
"ab8549aa-445a-4b87-9a85-8337cfa8f8ea","rakshakudu-1997","Rakshakudu",1997,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "short")","Rakshakudu","Verify if this is a feature film or should be removed/reclassified","medium"
"c14ef911-a363-4792-892d-4ec3d1f2f37e","pelli-sandadi-1995","Pelli Sandadi",1995,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "ceremony")","Pelli Sandadi","Verify if this is a feature film or should be removed/reclassified","medium"
"5e34a4a8-b964-4822-90e7-d76769951bc6","baraka-1993","Baraka",1993,"MISSING_HEROINE","Heroine is missing","Hero: Patrick Disanto","Research and add heroine","medium"
"dc4655b8-0ab6-45ed-8c43-d7107dc2de08","bill-hicks-revelations-1993","Bill Hicks: Revelations",1993,"MISSING_HEROINE","Heroine is missing","Hero: Bill Hicks","Research and add heroine","medium"
"8da0c364-df3f-4f36-b928-0d969f997304","george-carlin-jammin-in-new-york-1992","George Carlin: Jammin' in New York",1992,"MISSING_HEROINE","Heroine is missing","Hero: George Carlin","Research and add heroine","medium"
"65be9b54-3bc4-4e67-a7b0-75fa3e0e8556","brundavanam-1993","Brundavanam",1992,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "function")","Brundavanam","Verify if this is a feature film or should be removed/reclassified","medium"
"69d9c5b0-d730-49ab-98e9-b49de57f251c","kshana-kshanam-1991","Kshana Kshanam",1991,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Kshana Kshanam","Verify if this is a feature film or should be removed/reclassified","medium"
"672468e4-47a3-4fcf-aa75-3e7676c4902b","agni-1989","Agni",1989,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Agni","Verify if this is a feature film or should be removed/reclassified","medium"
"7db057f7-a174-4f81-96ea-e0379190a674","akarshan-1988","Akarshan",1988,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Akarshan","Verify if this is a feature film or should be removed/reclassified","medium"
"10c55bd7-516c-4ce4-82bd-6c7084150917","yamudiki-mogudu-1988","Yamudiki Mogudu",1988,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Yamudiki Mogudu","Verify if this is a feature film or should be removed/reclassified","medium"
"66e5c368-a0f3-46c5-ba66-a0a7d38eaf0c","qayamat-se-qayamat-tak-1988","Qayamat Se Qayamat Tak",1988,"BAD_SLUG","Slug is a Wikidata ID instead of proper slug","qayamat-se-qayamat-tak-1988","Generate proper slug from title","medium"
"18afc628-8706-406a-b141-cdb79b03fa5f","naa-mogudu-naake-sontham-1987","Naa Mogudu Naake Sontham",1987,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "series")","Naa Mogudu Naake Sontham","Verify if this is a feature film or should be removed/reclassified","medium"
"845186f1-e99b-4b5e-8cec-5fe5b9c731e5","queen-live-at-wembley-stadium-1986","Queen: Live at Wembley Stadium",1986,"MISSING_HEROINE","Heroine is missing","Hero: Freddie Mercury","Research and add heroine","medium"
