Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
jaat-2025,"Jaat",,2025,"Sunny Deol","Saiyami Kher","Gopichand Malineni"
brahma-anandam-2025,"Brahma Anandam",,2025,"Raja Goutham","Priya Vadlamani","RVS Nikhil"
bhavani-ward-1997-2025,"Bhavani Ward 1997",,2025,"Jabardasth Apparao","Gayatri Gupta","GD Narasimmha"
the-girlfriend-2025,"The Girlfriend",,2025,"Dheekshith Shetty","Rashmika Mandanna","Rahul Ravindran"
kingdom-2025,"Kingdom",,2025,"Vijay Deverakonda","Bhagyashri Borse","Poppy Bullard"
andhra-king-taluka-2025,"Andhra King Taluka",,2025,"Ram Pothineni","Bhagyashri Borse","Mahesh Babu P"
23-iravai-moodu-2025,"23 (Iravai Moodu)",,2025,"Teja","Jhansi","Raj Rachakonda"
thank-you-dear-2025,"Thank You Dear",,2025,"Dhanush Raghumudri","Hebah Patel","Thota Srikanth Kumar"
kuberaa-2025,"Kuberaa",,2025,"Dhanush","Rashmika Mandanna","Sekhar Kammula"
court-state-vs-a-nobody-2025,"Court: State vs. A Nobody",,2025,"Priyadarshi Pullikonda","Harsh Roshan","Ram Jagadeesh"
eesha-2025,"Eesha",,2025,"Thrigun","Hebah Patel","Srinivas Manne"
patang-2025,"Patang",,2025,"Pranav Kaushik","Preethi Pagadala","Praneeth Prattipati"
8-vasantalu-2025,"8 Vasantalu",,2025,"Ananthika Sanilkumar","Ravi Theja Duggirala","Phanindra Narsetti"
janata-bar-2025,"Janata Bar",,2025,"Pradeep Ram Singh Rawat","Raai Laxmi","Ramana Mogili"
laila-2025,"Laila",,2025,"Vishwak Sen","Akanksha Sharma","Ram Narayan"
ilanti-cinema-meereppudu-chusundaru-2025,"Ilanti Cinema Meereppudu Chusundaru",,2025,"Super Raja","Deepti Sanjeev Sivan","Super Raja"
salaar-part-2-shouryaanga-parvam,"Salaar: Part 2 - Shouryaanga Parvam",,2025,"Prabhas","Shruti Haasan","Prashanth Neel"
solo-boy-2025,"Solo Boy",,2025,"Posani Krishna Murali","Shweta Avasthi","P. Naveen Kumar"
blind-spot-2025,"Blind Spot",,2025,"Naveen Chandra","Raashi Singh","Rakesh Varma"
dreamcatcher-2025,"Dreamcatcher",,2025,"Prashanth Krishna","Aneesha Dama","Sandeep Kakula"
12a-railway-colony-2025,"12A Railway Colony",,2025,"Allari Naresh","Kamakshi Bhaskarla","Nani Kasaragadda"
sikandar-2025,"Sikandar",,2025,"Salman Khan","Rashmika Mandanna","A. R. Murugadoss"
kishkindhapuri-2025,"Kishkindhapuri",,2025,"Bellamkonda Srinivas","Anupama Parameswaran","Koushik Pegallapati"
akhanda-2-thaandavam-2025,"Akhanda 2: Thaandavam",,2025,"Nandamuri Balakrishna","Pragya Jaiswal","Boyapati Srinu"
paradha-2025,"Paradha",,2025,"Rag Mayur","Anupama Parameswaran","Praveen Kandregula"
dilruba-2025,"Dilruba",,2025,"Kiran Abbavaram","Nazia Davison","Viswa Karun"
dhanraj-2025,"Ramam Raghavam",,2025,"Samuthirakani","Mokksha","Dhanraj Koranani"
break-out-2025,"Boss",,2025,"Jo Woo-jin","Hwang Woo-seul-hye","Ra Hee-chan"
super-raja-2025,"Super Raja",,2025,"Super Raja","Chandana Palanki","Super Raja"
sasivadane-2025,"Sasivadane",,2025,"Rakshith Atluri","Komalee Prasad","Sai Mohan Ubbana"
uppu-kappurambu-2025,"Uppu Kappurambu",,2025,"Suhas","Keerthy Suresh","Ani I. V. Sasi"
pelli-kaani-prasad-2025,"Pelli Kaani Prasad",,2025,"Muralidhar Goud","Priyanka Sharma","Abhilash Reddy Gopidi"
suryapet-junction-2025,"Suryapet Junction",,2025,"Eeswar","Naina Sarwar","Rajesh Nadendla"
mirai-2025,"Mirai",,2025,"Teja Sajja","Ritika Nayak","Karthik Ghattamaneni"
hari-hara-veera-mallu-part-1-sword-vs-spirit-2025,"Hari Hara Veera Mallu: Part 1 – Sword vs Spirit",,2025,"Pawan Kalyan","Bobby Deol","Jyothi Krishna"
the-birthday-boy-2024,"The Birthday Boy",,2024,"Ravi Krishna","No Female Lead","Whiskey"
matka-2024,"Matka",,2024,"Varun Tej","Meenakshi Chaudhary","Karuna Kumar"
oka-manchi-prema-katha-2024,"Oka Manchi Prema Katha",,2024,"Samuthirakani","Rohini Hattangadi","Akkineni Kutumba Rao"
appudo-ippudo-eppudo-2024,"Appudo Ippudo Eppudo",,2024,"Nikhil Siddhartha","Rukmini Vasanth","Sudheer Varma"
veeranjaneyulu-vihara-yatra-2024,"Veeranjaneyulu Vihara Yatra",,2024,"Naresh","Srilakshmi","Anurag Palutla"
om-bheem-bush-2024,"Om Bheem Bush",,2024,"Sree Vishnu","Preity Mukhundhan","Sree Harsha Konuganti"
maa-nanna-superhero-2024,"Maa Nanna Superhero",,2024,"Sudheer Babu","Aarna","Abhilash Reddy"
jilebi-2024,"Jilebi",,2024,"Sree Kamal","Shivani Rajashekar","K. Vijaya Bhaskar"
sarangadhariya-2024,"Sarangadhariya",,2024,"Raja Raveendar","No Female Lead","Padmarao Abbisetti"
bhimaa-2024,"Bhimaa",,2024,"Gopichand","Malavika Sharma","A. Harsha"
roti-kapda-romance-2024,"Roti Kapda Romance",,2024,"Harsha Narra","Tarun Ponugoti","Vikram reddy"
kotha-rangula-prapancham-2024,"Kotha Rangula Prapancham",,2024,"Kranthi Krishna","Sreelu Dasari","Prudhvi Raj"
valari-2024,"Valari",,2024,"Ritika Singh","No Female Lead","M. Mallikarjun"
tenant-2024,"Tenant",,2024,"Satyam Rajesh","Megha Chowdhury","Y. Yugandhar"
honeymoon-express-2024,"Honeymoon Express",,2024,"Tanikella Bharani","Hebah Patel","Bala Rajasekharuni"
ambajipeta-marriage-band-2024,"Ambajipeta Marriage Band",,2024,"Suhas","Saranya Pradeep","Dushyanth Katikaneni"
agent-narasimha117-2024,"Agent Narasimha‐117",,2024,"Sayaji Shinde","Kirthi Krishna","Lakshman Chaprala"
sit-special-investigation-team-2024,"S.I.T Special Investigation Team",,2024,"Arvind Krishna","Natasha Doshi","Vijaya Bhaskar Reddy"
tillu-2024,"(Tillu)²",,2024,"Siddhu Jonnalagadda","Anupama Parameswaran","Mallik Ram"
lifestories-2024,"LifeStories",,2024,"Satya Kethineedi","Deviyyani Sharma","Ujjwal Kashyap"
omg-o-manchi-ghost-2024,"OMG: O Manchi Ghost",,2024,"Vennela Kishore","Rajath Raghav","Marthand K Shankar"
aham-reboot-2024,"Aham Reboot",,2024,"Sumanth","Archana","Prasanth Sagar"
srikakulam-sherlockholmes-2024,"Srikakulam Sherlockholmes",,2024,"Vennela Kishore","Ananya Nagalla","Writer Mohan"
parakramam-2024,"Parakramam",,2024,"Bandi Saroj Kumar","Sruthi Samanvi","Bandi Saroj Kumar"
pailam-pilaga-2024,"Pailam Pilaga",,2024,"Sai Teja Kalvakota","Pavani Karanam","Anand Gurram"
bhaje-vaayu-vegam-2024,"Bhaje Vaayu Vegam",,2024,"Kartikeya Gummakonda","Rahul Haridas","Prashanth Reddy"
sandeham-2024,"Sandeham",,2024,"Suman Tej","Hebah Patel","Sateesh Paramveda"
krishnamma-2024,"Krishnamma",,2024,"Satyadev Kancharana","Athira Raj","V. V. Gopalakrishna"
mathu-vadalara-2-2024,"Mathu Vadalara 2",,2024,"Sri Simha","Faria Abdullah","Ritesh Rana"
alanaati-ramchandrudu-2024,"Alanaati Ramchandrudu",,2024,"Krishna Vamsi","Mokksha","Chilukuri Akash"
palik-2024,"Palik",,2024,"Ravula Ramesh Creations","Phoebe Dynevor","Neil Burger"
vidya-vasula-aham-2024,"Vidya Vasula Aham",,2024,"Rahul Vijay","Shivani Rajashekar","Manikanth Gelli"
double-ismart-2024,"Double iSmart",,2024,"Ram Pothineni","Kavya Thapar","Puri Jagannadh"
indrani-epic1-dharam-vs-karam-2024,"Indrani - Epic1: Dharam vs Karam",,2024,"Kabir Duhan Singh","Franaita Jijina","Stephen Pallam"
kalki-2898-ad-2024,"Kalki 2898-AD",,2024,"Prabhas","Deepika Padukone","Nag Ashwin"
sriranga-neethulu-2024,"Sriranga Neethulu",,2024,"Suhas","Ruhani Sharma","Praveen Kumar VSS"
dheera-2024,"Dheera",,2024,"Mirchi Kiran","Neha Pathan","Vikranth Srinivas"
aay-2024,"Aay",,2024,"Narne Nithin","Nayan Sarika","Anji K Maniputhra"
alanaati-ramachandrudu-2024,"Alanaati Ramachandrudu",,2024,"Brahmaji","Mokksha","Chilukuri Akash Reddy"
music-shop-murthy-2024,"Music Shop Murthy",,2024,"Ajay Ghosh","Chandini Chowdary","Siva Paladugu"
srikakulam-sherlock-holmes-2024,"Srikakulam Sherlock Holmes",,2024,"Vennela Kishore","Ananya Nagalla","Writer Mohan"
dhoom-dhaam-2024,"Dhoom Dhaam",,2024,"Chetan Maddineni","Hebah Patel","Sai Kishore Macha"
yevam-2024,"Yevam",,2024,"Bharat Raj","Chandini Chowdary","Prakash Dantuluri"
raju-gari-ammayi-naidu-gari-abbayi-2024,"Raju Gari Ammayi Naidu Gari Abbayi",,2024,"Ravi Teja Nunna","Neha Jha","Satya Raj"
ramnagar-bunny-2024,"Ramnagar Bunny",,2024,"Muralidhar Goud","Richa Joshi","Srinivas Mahath"
razakar-the-silent-genocide-of-hyderabad-2024,"Razakar: The Silent Genocide of Hyderabad",,2024,"Arav Chowdhary","Vedhika","Yaata Satyanarayana"
janaka-aithe-ganaka-2024,"Janaka Aithe Ganaka",,2024,"Suhas","Sangeerthana Vipin","Sandeep Reddy Bandla"
viraaji-2024,"Viraaji",,2024,"Varun Sandesh","Pramodini Pammi","Adhyanth Harsha"
akkada-varu-ikkada-unnaru-2024,"Akkada Varu Ikkada Unnaru",,2024,"Jagadesh Raj","Sai Harshini","Trivikram Rao Kundurthi"
ground-2024,"Ground",,2024,"Aakash Bikki","No Female Lead","Aakash Bikki"
simbaa-2024,"Simbaa",,2024,"Jagapathi Babu","Anasuya Bharadwaj","Murali Manohar Reddy"
tiragabadara-saami-2024,"Tiragabadara Saami",,2024,"Raj Tarun","Malvi Malhotra","A.S. Ravi Kumar Chowdary"
nindha-2024,"Nindha",,2024,"Varun Sandesh","Q. Madhu","Rajesh Jagannadham"
eesaraina-2024,"Eesaraina!?",,2024,"Goutham","Hasini","Eshaku Dasari"
purushothamudu-2024,"Purushothamudu",,2024,"Raj Tarun","Hassini Sudhir","Rom Bhimana"
market-mahalakshmi-2024,"Market Mahalakshmi",,2024,"Parvateesam","Praneekaanvika","V. S. Mukkhesh"
yatra-2-2024,"Yatra 2",,2024,"Jiiva","Mammootty","Mahi V. Raghav"
usha-parinayam-2024,"Usha Parinayam",,2024,"Vennela Kishore","Aamani","K. Vijaya Bhaskar"
raajadhani-files-2024,"Raajadhani Files",,2024,"Akilan","Vani Viswanath","Bhanu"
mechanic-rocky-2024,"Mechanic Rocky",,2024,"Vishwak Sen","Meenakshi Chaudhary","Ravi Teja Mullapudi"
geethanjali-malli-vachindi-2024,"Geethanjali Malli Vachindi",,2024,"Srinivasa Reddy","Anjali","Shiva Turlapati"
sundaram-master-2024,"Sundaram Master",,2024,"Harsha Chemudu","Divya Sripada","Kalyan Santhosh"
mercy-killing-2024,"Mercy Killing",,2024,"Parvateesam","Ishwarya Vullingala","Venkat Ramana S."
pekamedalu-2024,"Pekamedalu",,2024,"Vinoth Kishan","Anusha Nuthula","Neelagiri Mamilla"
chaari-111-2024,"Chaari 111",,2024,"Vennela Kishore","Samyuktha Viola Viswanathan","TG Keerthi Kumar"
pranaya-godari-2024,"Pranaya Godari",,2024,"Sadan Hasan","Priyanka Prasad","PL Vignesh"
love-me-if-you-dare-2024,"Love Me If You Dare",,2024,"Ashish Reddy","Vaishnavi Chaitanya","Arun Bhimavarapu"
crime-reel-2024,"Crime Reel",,2024,"Ashok Reddy","Sangeetha","Dadi Lokesh"
happy-ending-2024,"Happy Ending",,2024,"Ajay Ghosh","Apoorva Rao","Kowshik Bheemidi"
tantra-2024,"Tantra",,2024,"Dhanush Raghumudri","Ananya Nagalla","Srinivas Gopisetti"
gaami-2024,"Gaami",,2024,"Vishwak Sen","Harika Pedada","Vidyadhar Kagita"
sikandar-ka-muqaddar-2024,"Sikandar Ka Muqaddar",,2024,"Jimmy Shergill","Tamannaah Bhatia","Neeraj Pandey"
modern-masters-ss-rajamouli-2024,"Modern Masters: SS Rajamouli",,2024,"S. S. Rajamouli","James Cameron","Raghav Khanna"
siddharth-roy-2024,"Siddharth Roy",,2024,"Mathew Varghese","Tanvi Negi","V. Yeshasvi"
bhale-unnade-2024,"Bhale Unnade",,2024,"Raj Tarun","Manisha Kandkur","Vardhan Sivasai Jaladanki"
devaki-nandana-vasudeva-2024,"Devaki Nandana Vasudeva",,2024,"Ashok Galla","Manasa Varanasi","Arjun Jandyala"
sabari-2024,"Sabari",,2024,"Ganesh Venkatraman","Varalaxmi Sarathkumar","Anil Katz"
maya-puthagam-2024,"Maya Puthagam",,2024,"Srikanth","Abarnathi","Rama Jayaprakash"
bootcut-balaraju-2024,"Bootcut Balaraju",,2024,"Sunil Varma","Megha Lekha","Sree Koneti"
aarambham-2024,"Aarambham",,2024,"Mohan Bhagath","Surabhi Prabhavathi","Ajay Nag"
mukhya-gamanika-2024,"Mukhya Gamanika",,2024,"Chitram Basha","Lavannya Sahukara","Venu Muralidhar Vadnala"
ooru-peru-bhairavakona-2024,"Ooru Peru Bhairavakona",,2024,"Sundeep Kishan","Varsha Bollamma","Vi Anand"
fear-2024,"Fear",,2024,"Joseph Sikora","Vedhika","Haritha Gogineni"
inti-number-13-2024,"Inti Number - 13",,2024,"Sivannarayana Naripeddi","Srilakshmi","Panna Royal"
i-hate-you-2024,"I Hate You",,2024,"Karthik Raju","Sherry Agarwal","Anji Ram"
pottel-2024,"Pottel",,2024,"Noel Sean","Ananya Nagalla","Sahit Mothkhuri"
35-chinna-katha-kaadu-2024,"35 - Chinna Katha Kaadu",,2024,"Vishwadev Rachakonda","Nivetha Thomas","Nanda Kishore"
nayanthara-beyond-the-fairy-tale-2024,"Nayanthara: Beyond the Fairy Tale",,2024,"Vignesh Shivan","Nayanthara","Amith Krishnan"
sathamindri-mutham-tha-2024,"Sathamindri Mutham Tha",,2024,"Srikanth","Priyanka Thimmesh","Rajdev"
raju-yadav-2024,"Raju Yadav",,2024,"Getup Srinu","Ankitha Karath","K. Krishnamachary"
gorre-puranam-2024,"Gorre Puranam",,2024,"Suhas","Vishika Kota","Bobby"
make-a-wish-2024,"Make a Wish",,2024,"Kiran Kasturi","Sandhya Bayireddy","Sandhya Bayireddy"
operation-valentine-2024,"Operation Valentine",,2024,"Varun Tej","Manushi Chhillar","Shakti Pratap Singh Hada"
shivam-bhaje-2024,"Shivam Bhaje",,2024,"Ashwin Babu","Digangana Suryavanshi","Apsar"
vey-dharuvey-2024,"Vey Dharuvey",,2024,"Sai Ram Shankar","Hebah Patel","D. Naveen Reddy"
thalakona-2024,"Thalakona",,2024,"Ajay Ghosh","Apsara Rani","Nagesh Naradasi"
drill-2024,"Drill",,2024,"Gemini Suresh","Karunya Chowdary","Haranath Policherla"
bhamakalapam-2-2024,"Bhamakalapam 2",,2024,"Priyamani","Saranya Pradeep","Abhimanyu Tadimeti"
average-student-nani-2024,"Average Student Nani",,2024,"Sneha Malviya","Sahiba Bhasin","Pawan Kumar Kothuri"
rakshana-2024,"Rakshana",,2024,"Sivannarayana Naripeddi","Payal Rajput","Prandeep Thakore"
uruku-patela-2024,"Uruku Patela",,2024,"Tejus Kancherla","Khushboo Choudhary","Vivek Reddy"
mix-up-2024,"Mix Up",,2024,"Kamal Kamaraju","Akshara Gowda","Aakash Bikki"
gangs-of-godavari-2024,"Gangs of Godavari",,2024,"Vishwak Sen","Neha Shetty","Krishna Chaitanya"
gam-gam-ganesha-2024,"Gam Gam Ganesha",,2024,"Anand Deverakonda","Pragati Srivastava","Uday Bommisetty"
committee-kurrollu-2024,"Committee Kurrollu",,2024,"Sandeep Saroj","Prawasthi","Yadhu Vamsi"
prathinidhi-2-2024,"Prathinidhi 2",,2024,"Nara Rohith","Indraja","Murthy Devagupthapu"
105-minuttess-2024,"105 Minuttess",,2024,"N/A","Hansika Motwani","Raju Dussa"
bharathanatyam-2024,"Bharathanatyam",,2024,"Harsha Vardhan","Gangavva","KVR Mahendra"
pushpa-2-the-rule-2024,"Pushpa 2 - The Rule",,2024,"Allu Arjun","Rashmika Mandanna","Sukumar"
viswam-2024,"Viswam",,2024,"Gopichand","Kavya Thapar","Sreenu Vaitla"
narudi-brathuku-natana-2024,"Narudi Brathuku Natana",,2024,"Shiva Ramachandravarapu","Sruthi Jayan","Rishikeshwar Yogi"
sarkaaru-noukari-2024,"Sarkaaru Noukari",,2024,"Akash Goparaju","Mani Chandana","Shekar Ganganamoni"
the-family-star-2024,"The Family Star",,2024,"Vijay Deverakonda","Mrunal Thakur","Parasuram Petla"
naa-saami-ranga-2024,"Naa Saami Ranga",,2024,"Akkineni Nagarjuna, Allari Naresh","Ashika Ranganath","Vijay Binni"
bachhala-malli-2024,"Bachhala Malli",,2024,"Allari Naresh","Amritha Aiyer","Subbu Mangadevi"
a-goa-tripp-2024,"A Goa Tripp...",,2024,"Pradeep Ambal","No Female Lead","Rohithh Dhruvan"
rrr-behind-and-beyond-2024,"RRR: Behind & Beyond",,2024,"N. T. Rama Rao Jr.","Ram Charan","S. S. Rajamouli"
zebra-2024,"Zebra",,2024,"Satyadev Kancharana","Priyanka Sarkar","Eashvar Karthic"
double-engine-2024,"Double Engine",,2024,"Pawan Ramesh","Gayatri Gupta","Camp Sasi"
harom-hara-2024,"Harom Hara",,2024,"Sudheer Babu","Malavika Sharma","Gnanasagar Dwaraka"
sam-anton-2024,"Sam Anton",,2024,"Studio Green Films","Orietta Notari","Giorgio Diritti"
ruslaan-2024,"Ruslaan",,2024,"Jagapathi Babu","Vidya Malvade","Karan Lalit Butani"
aa-okkati-adakku-2024,"Aa Okkati Adakku",,2024,"Allari Naresh","Faria Abdullah","Malli Ankam"
anandapuram-diaries-2024,"Anandapuram Diaries",,2024,"Srikanth","Meena","Jaya Jose Raj"
vedaa-2024,"Vedaa",,2024,"John Abraham","Sharvari Wagh","Nikkhil Advani"
kangaroo-2024,"Kangaroo",,2024,"Aditya","Ranjani Raghavan","Kishore Megalamane"
leela-vinodam-2024,"Leela Vinodam",,2024,"Goparaju Ramana","V. S. Roopa Lakshmi","Pavan Sunkara"
laggam-2024,"Laggam",,2024,"Sai Ronak","Pragya Nagra","Ramesh Cheppala"
utsavam-2024,"Utsavam",,2024,"Prakash Raj","Regina Cassandra","Arjun Sai"
sheeshmahal-2024,"Sheeshmahal",,2024,"Sai","Prerana Sadhu","Camp Sasi"
brahmavaram-ps-paridilo-2024,"Brahmavaram PS Paridilo",,2024,"Sammeta Gandhi","V. S. Roopa Lakshmi","Imran Sastry"
operation-laila-2024,"Operation Laila",,2024,"Srikanth","Siddhika Sharma","A. Venkatesh"
rush-2024,"Rush",,2024,"Abdullah Imran","Daisy Bopanna","Sathish Poloju"
