ID,Title,Year,Hero,Director,Our Rating,TMDB Rating,Has Poster,Synopsis Preview
32d1e7f0-d06e-4892-aaa9-38e68cb3fd06,"Sardar&#91;41&#93;",1984,"Jaya Prada","",,,NO,"A 1984 Telugu film starring Jaya Prada."
2f2684e9-4ef1-4173-9c5a-4ae3b918959b,"Qayamat",1983,"Dharmendra","Raj N. Sippy",,,NO,"A 1983 Telugu film directed by Raj N. Sippy starring Jaya Prada and Smita Patil."
839e0266-9357-4e1e-9f2e-fe7f50e7953b,"Sandhippu",1983,"Sivaji Ganesan","C. V. Rajendran",,,NO,"A 1983 Telugu film directed by C. V. Rajendran."
da08244c-b75c-4473-9abe-088555ce819e,"Main Awara Hoon",1983,"Jaya Prada","",,,NO,"A 1983 Telugu film starring Jaya Prada and Raj Babbar."
d40fc607-a589-409d-ad3c-5c8a655399a0,"Saagara Sangamam",1983,"Kamal Haasan","K. Viswanath",,,NO,"A 1983 Telugu film directed by K. Viswanath."
5303c9b2-7a00-493f-bcd8-ad6c3373f890,"Palletoori Monagadu",1983,"Chiranjeevi","S. A. Chandrasekhar",,,NO,"A rural drama featuring Chiranjeevi in the role of a village youth. The film explores the simplicity"
9fcf70da-160e-4635-af49-538749378675,"Shubha Muhurtam",1983,"Murali Mohan","C. P. Kolli",,,NO,""
26a68cd4-8964-4476-a021-926903bcd6ab,"Simha Gharjane",1983,"Vijayashanti","S. A. Chandrasekhar",,,NO,"A 1983 Telugu film directed by S. A. Chandrasekhar starring Vijayashanti and Vijayashanti."
e2d3f4ec-ce83-42ff-bcdf-baa5b5d74a18,"Ilanjodigal",1982,"Karthik Muthuraman","Rama Narayanan",,,NO,"A 1982 Telugu film directed by Rama Narayanan."
11485c64-4eb3-42be-90ed-457fd91ab343,"Madhura Swapnam",1982,"","K. Raghavendra Rao",,,NO,""
ac2d3a7f-43c6-4eef-8d48-aef4be45465e,"Trishulam",1982,"","K. Raghavendra Rao",,,NO,""
7817056b-9772-4c19-902e-24723aea1d4d,"Talli Kodukula Anubandham",1982,"","K. S. R. Das",,,NO,""
f2c5a205-9338-4947-8f9a-9d2027082099,"Meghasandesham",1982,"","Dasari Narayana Rao",,,NO,""
dc4eaf11-0b2a-4438-a2cb-263e739e5cd3,"Devata",1982,"Akkineni Nageswara Rao","Thatineni Prasad",,,NO,""
fca101b0-18be-4ce5-8e01-3a13444ebad6,"Pokkiri Raja",1982,"Rajinikanth","S. P. Muthuraman",,,NO,"A 1982 Telugu film directed by S. P. Muthuraman starring Sridevi and Sridevi."
734bcc42-6731-4c13-9c66-30a4e50e5fd7,"Adavaallu Meeku Joharulu",1981,"","K. Balachander",,,NO,""
06506eed-73d6-43dd-af5e-66030ac47b65,"Paravathi Parameshwarulu",1981,"Chandra Mohan","M. S. Kota Reddy",,,NO,""
6bf02cce-97aa-4075-9756-adb08cf497e6,"Nenjile Thunivirunthal",1981,"Vijayakanth","S. A. Chandrasekhar",,,NO,"A 1981 Telugu film directed by S. A. Chandrasekhar."
6121afa9-67d8-4f6e-bf9e-b5c34b0ac56e,"Netrikan",1981,"Rajinikanth","S. P. Muthuraman",,,NO,"A 1981 Telugu film directed by S. P. Muthuraman."
ab22a959-7c31-43a8-aa31-5f82dcf5dea6,"Inimai Idho Idho",1980,"","R. Ramamurthy",,,NO,""
4b47dda0-1b59-48e2-94a5-d910172668f4,"Vishwaroobam",1980,"Sivaji Ganesan","A. C. Tirulokchandar",,,NO,"A 1980 Telugu film directed by A. C. Tirulokchandar."
0a0d8345-02a7-4343-ada9-89ea66b5f912,"Agni Sanskaram",1980,"Gummadi","G. V. Prabhakar",,,NO,""
90c2fb7e-6c92-45a4-81c4-a6c18b32e742,"Rakta Sambandham",1980,"Murali Mohan","M. Mallikarjuna Rao",,,NO,""
7c919937-f5f5-41af-a86c-a43866e10068,"Kallukul Eeram",1980,"Bharathiraja","P. S. Nivas",,,NO,"A 1980 Telugu film directed by P. S. Nivas."
4d439a59-c6ed-4260-835e-cb64e036f65f,"Solva Sawan",1979,"Amol Palekar","Bharathiraja",,,NO,"A 1979 Telugu film directed by Bharathiraja starring Sridevi and Amol Palekar."
d5ce14fb-1757-4804-b047-12f4c1ce934d,"Ashwadhamavu",1979,"Madampu Kunjukuttan","K. R. Mohanan",,,NO,""
53183cdc-9aec-4d6a-9489-240077ed3532,"Ninaithaale Inikkum",1979,"Jaya Prada","K. Balachander",,,NO,"A 1979 Telugu film directed by K. Balachander starring Jaya Prada and Rajinikanth."
1a30f843-d0ba-4f3a-8886-b6be6253129c,"Amar Deep",1979,"Rajesh Khanna","",,,NO,""
e9f186ac-3523-4e66-bec4-74cf1251a441,"Pilot Premnath",1978,"Sivaji Ganesan","A. C. Tirulokchandar",,,NO,"A 1978 Telugu film directed by A. C. Tirulokchandar."
d5a0eedb-5789-4ac9-8b99-7e7291498562,"டாக்ஸி டிரைவர்",1978,"Jaishankar","N. S. Manian",,,NO,"A 1978 Telugu film directed by N. S. Manian."
a6fef85e-9f2e-46b4-8fa8-7daf7748546d,"Vanakkathukuriya Kathaliye",1978,"Sridevi","A. C. Tirulokchandar",,,NO,"A 1978 Telugu film directed by A. C. Tirulokchandar starring Sridevi and Sridevi."
7b15d303-ebc5-4428-a266-f6f11604cc9b,"Priya",1978,"Sridevi","S. P. Muthuraman",,,NO,"A 1978 Telugu film directed by S. P. Muthuraman starring Sridevi and Sridevi."
ed0ab163-a896-4242-b876-25151923d654,"16 Vayathinile",1977,"Kamal Haasan","Bharathiraja",,,NO,"A 1977 Telugu film directed by Bharathiraja starring Sridevi and Kamal Haasan."
8be8694c-0165-4bf2-b13a-64efcc5171e9,"Unnai Suttrum Ulagam",1977,"","G. Subramaniya Reddiar",,,NO,"A 1977 Telugu film directed by G. Subramaniya Reddiar."
d6f63ca4-4589-471d-9532-f0dbcd7a9cc8,"Amaradeepam",1977,"Sivaji Ganesan","Tatineni Prakash Rao",,,NO,""
f9e77104-1b83-4e6c-abbd-5dc302267ec7,"Thulaavarsham",1976,"Prem Nazir","N Sankaran Nair",,,NO,"A 1976 Telugu film directed by N Sankaran Nair."
e0d66df8-d137-4e1f-b548-b59fbc1119b1,"Dasavatharam",1976,"Gemini Ganesan","K. S. Gopalakrishnan",,,NO,"A 1976 Telugu film directed by K. S. Gopalakrishnan."
d7ea2bdc-b127-4737-9553-d63ea6ab0415,"Sita Swayamvar",1976,"Ravikumar","Bapu",,,NO,"A 1976 Telugu film directed by Bapu."
d7bc94cc-2f66-4b0d-8b0a-e6390f7d9f5f,"Julie",1975,"","K. S. Sethumadhavan",,,NO,"A 1975 Telugu film directed by K. S. Sethumadhavan."
a5a91ed7-aec0-49b9-b885-e9d1d8daa2b7,"Bhaktha Kumbara",1974,"Dr. Rajkumar","Hunsur Krishnamurthy",,,NO,"A 1974 Telugu film directed by Hunsur Krishnamurthy."
fbe0ee14-3cd4-4f31-9c60-b4494dd4a472,"Andaru Dongale",1974,"Rajendra Prasad","Nidhi Prasad",,,NO,""
dc4ed346-3737-4cc7-b5fa-d5cde893ce7f,"Rajapart Rangadurai",1973,"Sivaji Ganesan","P. Madhavan",,,NO,"A 1973 Telugu film directed by P. Madhavan."
03675861-2837-49a1-aedb-24cd1dfbe391,"Bharatha Vilas",1973,"Sivaji Ganesan","A. C. Tirulokchandar",,,NO,"A 1973 Telugu film directed by A. C. Tirulokchandar."
37e0ce5f-6a3d-427a-a009-77bbdc75b789,"Sharada",1973,"M G Soman","K G Rajasekharan",,,NO,""
bf98877b-af8a-4e0d-ac13-369a4cb3a183,"Chuzhi",1973,"","Triprayar Sukumaran",,,NO,"A 1973 Telugu film directed by Triprayar Sukumaran."
186f8797-47ae-42cd-a97c-c6788996fd6e,"Agathiyar",1972,"Gemini Ganesan","A. P. Nagarajan",,,NO,"A 1972 Telugu film directed by A. P. Nagarajan."
034537e3-d2d8-48db-a0ac-8f1615357634,"Kanimuthu Paappa",1972,"Jaishankar","S. P. Muthuraman",,,NO,"A 1972 Telugu film directed by S. P. Muthuraman."
25f82db4-34b8-48a8-ba9d-bfa0e841a394,"Sange Muzhangu",1972,"M. G. Ramachandran","P. Neelakantan",,,NO,"A 1972 Telugu film directed by P. Neelakantan."
e1565baa-3261-4aba-b684-240b5b36b302,"Vasantha Maligai",1972,"Sivaji Ganesan","K. S. Prakash Rao",,,NO,"A 1972 Telugu film directed by K. S. Prakash Rao."
5cb44bbf-dd51-48d3-99d9-2834bb09fe16,"Bala Mitrula Katha",1972,"Gummadi","",,,NO,""
c8aac18d-6c0b-4d9c-90aa-6d1e2422bf87,"Kannan Karunai",1971,"N. T. Rama Rao","N.T. Rama Rao",,,NO,"A 1971 Telugu film directed by N.T. Rama Rao starring N.T. Rama Rao."
9e112fab-e469-494a-bd81-64c32e227647,"Kalyana Mandapam",1971,"Kiran Abbavaram","Sridhar Gade",,,NO,""
5ab42f8c-f304-4fb5-a0bf-bb63f4f31ead,"Babu",1971,"Sivaji Ganesan","A. C. Tirulokchandar",,,NO,"A 1971 Telugu film directed by A. C. Tirulokchandar."
5356abfd-e4dc-47e3-8ebc-756818317e70,"Sabadham",1971,"","P. Madhavan",,,NO,"A 1971 Telugu film directed by P. Madhavan."
