ID,Slug,Title,Year,Director,Hero,Heroine,Category,Music_Director
504af9a6-ff3f-4782-bab2-a74881c51e59,chinna-mul-peria-mul-1982,"Chinna Mul Peria Mul",1982,"N. S. Rajbharath","Tamil Mani","Santhi",Telugu Mainstream,
4abb8e60-5978-46f4-8e49-b176190f1efa,bairisetty-bhaskara-rao-1982,"Bairisetty Bhaskara Rao",1982,"Bairisetty Bhaskara Rao","Vijayachander","No Female Lead",Telugu Mainstream,
0a0d8345-02a7-4343-ada9-89ea66b5f912,agni-sanskaram-1980,"Agni Sanskaram",1980,"G. V. Prabhakar","Gummadi","Sumalatha",Telugu Mainstream,
53e148bc-afb8-4f2b-a8d0-ec5d84624991,rowdy-rangamma-1978,"Rowdy Rangamma",1978,"Vijay Singh","Vijaya Lalitha","Vijaya Lalitha",Telugu Mainstream,
a4070b32-f2db-45f4-9bcf-d030d3445318,cinema-vaibhavam-1975,"Cinema Vaibhavam",1975,"Multiple Directors","Ensemble Cast","Savitri",Telugu Mainstream,
ab1feaaf-e4e9-426a-be96-09f0ee6e6280,challani-thalli-1975,"Challani Thalli",1975,"K.S. Rami Reddy","Vijayakanth","Srividya",Telugu Mainstream,
e3dc33cd-3ffe-4fb9-bc32-084ad9c5b991,poovanam-1969,"Poovanam",1969,"Shyam Benegal","Sobhan Babu","Krishna Kumari",Telugu Mainstream,
5959739b-7f60-4bc6-8e72-b3e7b0973b8d,padma-shri-1968,"Padma Shri",1968,"Vikram Pradhan","Akkineni Nageswara Rao","Vijaya Nirmala",Telugu Mainstream,
81c9bbab-09bc-46e7-bb31-d25757ac50d3,dwapayana-kaivalyam-1967,"Dwapayana Kaivalyam",1967,"G.K. Brahmanandam","Tadepalli Lakshmi Kanta Rao","Rajasree",Telugu Mainstream,
fd95111f-3263-4823-acc8-f8a46cf5ef6c,pativrata-1964,"Pativrata",1964,"Chitrapu Narayana Rao","Chalam","Devika",Telugu Mainstream,
a93335d3-f7a1-408e-a1ac-3bd6eb25e1f9,sipayi-koothuru-1959,"Sipayi Koothuru",1959,"P. Chengaiah","Jamuna","Suryakantham",Telugu Mainstream,
d2fbe40e-6a9c-40a3-9a78-2785bb65cccd,parvathi-kalyanam-1958,"Parvathi Kalyanam",1958,"K. Bhaskar Rao","Balayya","Krishna Kumari",Telugu Mainstream,
426e74fb-e35c-49c7-b5dd-ec88d9bd53c3,padhi-bhakti-1958,"Padhi Bhakti",1958,"A. Bhimsingh","Sivaji Ganesan","Savitri",Telugu Mainstream,
9da1ac74-266e-4b78-949f-610c3da50f91,dhampathyam-1957,"Dhampathyam",1957,"E. Apparao","Gummadi","G. Varalakshmi",Telugu Mainstream,
bd6e2df8-fb5b-40e0-be06-325f1a773b22,dongallo-dora-1957,"Dongallo Dora",1957,"P. Chengaiah","Akkineni Nageswara Rao","Jamuna",Telugu Mainstream,
facb4bf6-48a4-4901-aebf-b638491e8cc3,nala-damayanthi-1957,"Nala Damayanthi",1957,"Kemparaj Urs","Kemparaj Urs","P. Bhanumathi",Telugu Mainstream,
8c7460d1-4759-4dc7-9a04-da91dcda177f,naga-panchami-1956,"Naga Panchami",1956,"K. Nagabhushanam","Anjali Devi","S. Varalakshmi",Telugu Mainstream,
8bec6386-1188-46e3-aa9c-b2789a2366c3,sonta-ooru-1956,"Sonta Ooru",1956,"E. J. Babu","N. T. Rama Rao","Sowkar Janaki",Telugu Mainstream,
f6069bac-c8e0-43a6-9742-22cd0cb22ac1,adarsham-1952,"Adarsham",1952,"H. V. Babu","Kongara Jaggaiah","Savitri",Telugu Mainstream,
61513292-3143-4b31-9957-d15dd2ef2b7b,navvithe-navaratnalu-1951,"Navvithe Navaratnalu",1951,"S. Soundararajan","Rama Sharma","Krishna Kumari",Telugu Mainstream,
4f2f6f95-2777-404d-b0e5-1082052ee896,adhrusta-deepudu-1950,"Adhrusta Deepudu",1950,"S. Soundararajan","Rama Sharma","T. Suryakumari",Telugu Mainstream,
