id,slug,title,year,pattern,field,current_value,suggested_fix,severity,auto_fixable
b4a8c52b-f778-41f9-a161-b8ad53ffca09,"anthahpuram-1998","Anthahpuram",1998,GENDER_SWAP,hero,"Soundarya","Move to heroine",high,false
7b15d303-ebc5-4428-a266-f6f11604cc9b,"priya-1978","Priya",1978,GENDER_SWAP,hero,"Sridevi","Move to heroine",high,false
472c726b-5972-45f2-9264-8b06ca5fecbc,"vamsoddarakudu-2000","Vamsoddarakudu",2000,GENDER_SWAP,hero,"Ramya Krishnan","Move to heroine",high,false
bf98877b-af8a-4e0d-ac13-369a4cb3a183,"chuzhi-1973","Chuzhi",1973,GENDER_SWAP,hero,"Savitri","Move to heroine",high,false
a6fef85e-9f2e-46b4-8fa8-7daf7748546d,"vanakkathukuriya-kathaliye-1978","Vanakkathukuriya Kathaliye",1978,GENDER_SWAP,hero,"Sridevi","Move to heroine",high,false
34d9230d-7747-4309-a697-b49fa8eccb65,"the-desire-a-journey-of-a-woman-2011","The Desire: A Journey of a Woman",2011,GENDER_SWAP,hero,"Jaya Prada","Move to heroine",high,false
7da9de1e-b388-4468-b116-7ef9ccd40341,"insaniyat-1994","Insaniyat",1994,GENDER_SWAP,hero,"Jaya Prada","Move to heroine",high,false
5020bf64-babb-4c56-b8ab-30aa962d3b60,"swetha-naagu-2004","Swetha Naagu",2004,GENDER_SWAP,hero,"Soundarya","Move to heroine",high,false
644907cf-42ea-4235-a5be-f34042f8da2b,"kaloori-2007","Kaloori",2007,GENDER_SWAP,hero,"Tamannaah","Move to heroine",high,false
97675229-ba19-47f3-8d07-5f9beaefd770,"petromax-2019","Petromax",2019,GENDER_SWAP,hero,"Tamannaah","Move to heroine",high,false
38a75021-b146-4c61-8ded-2a393423c86c,"jeevan-yudh-1997","Jeevan Yudh",1997,GENDER_SWAP,hero,"Jaya Prada","Move to heroine",high,false
216e0c71-19e5-46a3-8845-13b53a49d57b,"veer-1995","Veer",1995,GENDER_SWAP,hero,"Jaya Prada","Move to heroine",high,false
eb80b9c0-3cd7-4280-ba2f-f58c1222907c,"behen-hogi-teri-2017","Behen Hogi Teri",2017,GENDER_SWAP,hero,"Shruti Haasan","Move to heroine",high,false
002b93f5-f5af-4273-83b3-05faeb090322,"devaraagam-1996","Devaraagam",1996,GENDER_SWAP,hero,"Sridevi","Move to heroine",high,false
b5ad8e82-037e-4fc0-8804-13d0e0b7fb9a,"gift-1984","Gift",1984,GENDER_SWAP,hero,"Sridevi","Move to heroine",high,false
8d8dbc6e-8e4a-4940-9db9-1e086d5f4db6,"do-lafzon-ki-kahani-2016","Do Lafzon Ki Kahani",2016,GENDER_SWAP,hero,"Kajal Aggarwal","Move to heroine",high,false
8b7664a5-c6dc-4a48-9240-70c1e53de017,"swayamvaram-1982","Swayamvaram",1982,GENDER_SWAP,hero,"Jaya Prada","Move to heroine",high,false
7c44139b-5b9c-4f89-adc7-b56cee4fa9af,"khamoshi-2019","Khamoshi",2019,GENDER_SWAP,hero,"Tamannaah","Move to heroine",high,false
97205711-d99c-4507-8dd1-bccf914a517b,"chinnari-muddula-papa-1990","Chinnari Muddula Papa",1990,GENDER_SWAP,heroine,"Sobhan Babu","Move to hero",high,false
ea870716-1028-47e0-9848-e1e887486bf2,"keni-2018","Keni",2018,GENDER_SWAP,hero,"Jaya Prada","Move to heroine",high,false
28cdaf3a-d4be-4e89-a7a7-63e97d55e6c6,"manavude-mahaneeyudu-1980","Manavude Mahaneeyudu",1980,GENDER_SWAP,heroine,"Sobhan Babu","Move to hero",high,false
5b941ca4-6b01-4304-9b69-751170233650,"paayum-puli-2015","Paayum Puli",2015,GENDER_SWAP,hero,"Kajal Aggarwal","Move to heroine",high,false
66dd2690-e978-4b37-b1b6-6a46e4950c5f,"pagalil-oru-iravu-1979","Pagalil Oru Iravu",1979,GENDER_SWAP,hero,"Sridevi","Move to heroine",high,false
93055d51-4f13-4364-9717-f494055af13e,"oonjaal-1977","Oonjaal",1977,GENDER_SWAP,hero,"Sridevi","Move to heroine",high,false
49dbd9b5-81ad-4f57-9342-be9fd96c537b,"vasuvum-saravananum-onna-padichavanga-2015","Vasuvum Saravananum Onna Padichavanga",2015,GENDER_SWAP,hero,"Tamannaah","Move to heroine",high,false
17f6c2cb-f7a2-4781-a402-8429d5170d0a,"seeta-kalyanam-1976","Seeta Kalyanam",1976,GENDER_SWAP,hero,"Jaya Prada","Move to heroine",high,false
8aa23f75-a4eb-4632-8f82-24327499ea7a,"poojai-2014","Poojai",2014,GENDER_SWAP,hero,"Shruti Haasan","Move to heroine",high,false
ce52a896-7006-4230-9efc-b932c7304787,"jhummandi-naadam-2010","Jhummandi Naadam",2010,GENDER_SWAP,heroine,"Suman","Move to hero",high,false
ba676bd5-9990-4329-afb1-352928f849a7,"inji-iduppazhagi-2015","Inji Iduppazhagi",2015,GENDER_SWAP,hero,"Anushka Shetty","Move to heroine",high,false
c4ab0633-5d0b-441f-9f69-19636285f7d9,"chandi-the-power-of-woman-2013","Chandi: The Power of Woman",2013,GENDER_SWAP,heroine,"Krishnam Raju","Move to hero",high,false
5b809714-e54b-4fe5-a9b9-9f3aa6878ea5,"all-in-all-azhagu-raja-2013","All in All Azhagu Raja",2013,GENDER_SWAP,hero,"Kajal Aggarwal","Move to heroine",high,false
3f43d925-b849-4651-ab42-4205cc9d0209,"poompatta-1971","Poompatta",1971,GENDER_SWAP,hero,"Sridevi","Move to heroine",high,false
23245d82-caff-43ca-ab22-777f22787584,"venghai-2011","Venghai",2011,GENDER_SWAP,hero,"Tamannaah","Move to heroine",high,false
53f37cd5-1107-4396-93f0-5aa6ba836667,"sesh-sanghat-2009","Sesh Sanghat",2009,GENDER_SWAP,hero,"Jaya Prada","Move to heroine",high,false
