Title,Year,Director,Hero,TMDB ID,Slug,Review URL
"The King of Kings",2025,"Jang Seong-ho","Oscar Isaac",,the-king-of-kings-2025,http://localhost:3000/reviews/the-king-of-kings-2025
"Karna",2023,"Juan Pablo Félix","Alfredo Castro",,karna-2023,http://localhost:3000/reviews/karna-2023
"Barla Narayana",2023,"Murali Kishor Abburu","Dileep",,barla-narayana-2023,http://localhost:3000/reviews/barla-narayana-2023
"Subramanyam Chigurupati",2023,"Srikant G Reddy","Sushanth",,subramanyam-chigurupati-2023,http://localhost:3000/reviews/subramanyam-chigurupati-2023
"Zinga",2022,"Euridilla Scarponi","Enrico Borello",,zinga-2022,http://localhost:3000/reviews/zinga-2022
"Lakshman K Krishna",2022,"Vijay Krishna Acharya","Sithara Entertainments",,lakshman-k-krishna-2022,http://localhost:3000/reviews/lakshman-k-krishna-2022
"Gudaputani",2021,"KM Kumar","Sapthagiri",,gudaputani-2021,http://localhost:3000/reviews/gudaputani-2021
"A: Ad Infitium",2021,"Ugandhar Muni","Nitin Prasanna",,a-ad-infitium-2021,http://localhost:3000/reviews/a-ad-infitium-2021
"Guvva Gorinka",2020,"Mohana Krishna Indraganti","Satyadev",,guvva-gorinka-2020,http://localhost:3000/reviews/guvva-gorinka-2020
"Anaganaga O Athdhi",2020,"Dayal Padmanabhan","Payal Rajput",,anaganaga-o-athdhi-2020,http://localhost:3000/reviews/anaganaga-o-athdhi-2020
"Thagite Thandana",2020,"Shravan Kumar K.","Rakshit",,thagite-thandana-2020,http://localhost:3000/reviews/thagite-thandana-2020
"Ranasthalam",2019,"Sudheer Varma","Sharwanand",,ranasthalam-2019,http://localhost:3000/reviews/ranasthalam-2019
"4 Letters",2019,"R Raghuraj","Eeshwar",,4-letters-2019,http://localhost:3000/reviews/4-letters-2019
"Danger Love Story",2019,"Shekar Chandra","Khayyum Gaurav",,danger-love-story-2019,http://localhost:3000/reviews/danger-love-story-2019
"Hulchul",2019,"Glory","Ramarao",,hulchul-2019,http://localhost:3000/reviews/hulchul-2019
"Kanam",2018,"A.L. Vijay","Naga Shourya",,kanam-2018,http://localhost:3000/reviews/kanam-2018
"Parichayam",2018,"Lakshman Karya","Virat Konduru",,parichayam-2018,http://localhost:3000/reviews/parichayam-2018
"Mercury",2018,"Karthik Subbaraj","Prabhu Deva",,mercury-2018,http://localhost:3000/reviews/mercury-2018
"Ammammagarillu",2018,"Sundar Surya","Naga Shaurya",,ammammagarillu-2018,http://localhost:3000/reviews/ammammagarillu-2018
"Ee Nagariniki Emaindi",2018,"Tharun Bhascker Dhaassyam","Vishwak Sen",,ee-nagariniki-emaindi-2018,http://localhost:3000/reviews/ee-nagariniki-emaindi-2018
"Super Sketch",2018,"Ravi Chakravathy","Narsing Yadav",,super-sketch-2018,http://localhost:3000/reviews/super-sketch-2018
"My Dear Marthandam",2018,"Harish K V","Prudhviraj",,my-dear-marthandam-2018,http://localhost:3000/reviews/my-dear-marthandam-2018
"Sameeram",2018,"Akram Khan","Varun",,sameeram-2018,http://localhost:3000/reviews/sameeram-2018
"Sharabha",2018,"Narayan Rogers","Aakash Kumar",,sharabha-2018,http://localhost:3000/reviews/sharabha-2018
"Maaya",2018,"Neelakanta","Sushanth",,maaya-2018,http://localhost:3000/reviews/maaya-2018
"Karthikeya",2018,"Chandoo Mondeti","Nikhil Siddharth",,karthikeya-2018,http://localhost:3000/reviews/karthikeya-2018
"Raa Raa",2018,"Shankar","Shivaji",,raa-raa-2018,http://localhost:3000/reviews/raa-raa-2018
"Taxiwaala",2018,"Rahul Sankrityan","Vijay Deverakonda",,taxiwaala-2018,http://localhost:3000/reviews/taxiwaala-2018
"Karma Kartha Kriya",2018,"Nagu Gawara","Vasant Sameer",,karma-kartha-kriya-2018,http://localhost:3000/reviews/karma-kartha-kriya-2018
"Raju Gadu",2018,"Sanjana Reddy","Raj Tarun",,raju-gadu-2018,http://localhost:3000/reviews/raju-gadu-2018
"Ego",2018,"Ravikumar Chakravarthy, Subbu Vedula","Ashish Vidhyarthi,  Aashish Raj",,ego-2018,http://localhost:3000/reviews/ego-2018
"Bluff Master",2018,"Gopi Ganesh","Satyadev",,bluff-master-2018,http://localhost:3000/reviews/bluff-master-2018
"Rangu",2018,"Karthikeya V.","Tanish",,rangu-2018,http://localhost:3000/reviews/rangu-2018
"2 Friends",2018,"Srinivas GLB","Suraj Gowda",,2-friends-2018,http://localhost:3000/reviews/2-friends-2018
"MLA",2018,"Upendra Madhav","Nandamuri Kalyan Ram",,mla-2018,http://localhost:3000/reviews/mla-2018
"Naa Peru Surya",2018,"Vakkantham Vamsi","Allu Arjun",,naa-peru-surya-2018,http://localhost:3000/reviews/naa-peru-surya-2018
"ch ravi kishore babu",2018,"Tanikella Bharani, Amar, Santoshi, Posani Krishna Murali","Friends funding films",,ch-ravi-kishore-babu-2018,http://localhost:3000/reviews/ch-ravi-kishore-babu-2018
"Aithe 2.0",2018,"Raj Madiraju","Indraneil Sengupta",,aithe-2-0-2018,http://localhost:3000/reviews/aithe-2-0-2018
"Rogue",2017,"Puri Jagannadh","Ishan",,rogue-2017,http://localhost:3000/reviews/rogue-2017
"Ghazi",2017,"Sankalp Reddy","Rana Daggubati",,ghazi-2017,http://localhost:3000/reviews/ghazi-2017
"Gulf",2017,"Sunil Kumar Reddy","Chethan",,gulf-2017,http://localhost:3000/reviews/gulf-2017
"Teja",2017,"B. N. Reddy","Jai",,teja-2017,http://localhost:3000/reviews/teja-2017
"Lanka",2017,"Sri Muni","Raai Laxmi",,lanka-2017,http://localhost:3000/reviews/lanka-2017
"Nenorakam",2017,"Sudharshan","Santosh Sobhan",,nenorakam-2017,http://localhost:3000/reviews/nenorakam-2017
"Kaadhali",2017,"Patthi Pandavasam","Harish Kalyan",,kaadhali-2017,http://localhost:3000/reviews/kaadhali-2017
"Vaisakham",2017,"Jaya B","Harish",,vaisakham-2017,http://localhost:3000/reviews/vaisakham-2017
"Jayanth C. Paranjee",2017,"Jayanth C. Paranjee","Ganta Ravi",,jayanth-c-paranjee-2017,http://localhost:3000/reviews/jayanth-c-paranjee-2017
"Ungarala Rambabu",2017,"Kranthi Madhav","Sunil",,ungarala-rambabu-2017,http://localhost:3000/reviews/ungarala-rambabu-2017
"C/o Surya",2017,"Suseenthiran","Sundeep Kishan",,c-o-surya-2017,http://localhost:3000/reviews/c-o-surya-2017
"Eeshwar",2017,"Eeshwar","Dhanraj",,eeshwar-2017,http://localhost:3000/reviews/eeshwar-2017
"Maa Abbayi",2017,"Kiran Korrapati","Sri Vishnu",,maa-abbayi-2017,http://localhost:3000/reviews/maa-abbayi-2017
"Saranam Gacchami",2017,"Anil Ravipudi","Varun Tej",,saranam-gacchami-2017,http://localhost:3000/reviews/saranam-gacchami-2017
"Nee Preme Naa Pranam",2017,"Rajasekhar","Lucky",,nee-preme-naa-pranam-2017,http://localhost:3000/reviews/nee-preme-naa-pranam-2017
"Ami Thumi",2017,"Indraganti Mohan Krishna","Adivi Sesh",,ami-thumi-2017,http://localhost:3000/reviews/ami-thumi-2017
"Idhi Maa Prema Katha",2017,"Ayodhya Karthik","Anchor Ravi",,idhi-maa-prema-katha-2017,http://localhost:3000/reviews/idhi-maa-prema-katha-2017
"Srivalli",2017,"Vijayendra Prasad","Nandamuri Kalyan Ram",,srivalli-2017,http://localhost:3000/reviews/srivalli-2017
"Baahubali: The Conclusion",2017,"S. S. Rajamouli","Prabhas",,baahubali-the-conclusion-2017,http://localhost:3000/reviews/baahubali-the-conclusion-2017
"Rishi",2017,"Bhagya Raj","Rishi",,rishi-2017,http://localhost:3000/reviews/rishi-2017
"Vellipomakey",2017,"Ali Mohammad","Varun Sandesh",,vellipomakey-2017,http://localhost:3000/reviews/vellipomakey-2017
"Darshakudu",2017,"Haranath","Ashok",,darshakudu-2017,http://localhost:3000/reviews/darshakudu-2017
"London Babulu",2017,"B. Chinni Krishna","Rakshith",,london-babulu-2017,http://localhost:3000/reviews/london-babulu-2017
"Virus",2017,"Sriram Adittya","Sumanth Ashwin",,virus-2017,http://localhost:3000/reviews/virus-2017
"Duvvada Jagannadham",2017,"Harish Shankar","Allu Arjun",,duvvada-jagannadham-2017,http://localhost:3000/reviews/duvvada-jagannadham-2017
"Kiss Kiss Bang Bang",2017,"Karthik Medikonda","Kiran",,kiss-kiss-bang-bang-2017,http://localhost:3000/reviews/kiss-kiss-bang-bang-2017
"Chitrangada",2017,"Ashok G","Santosh Shoban",,chitrangada-2017,http://localhost:3000/reviews/chitrangada-2017
"Seesa",2016,"Dileep","Srikanth",,seesa-2016,http://localhost:3000/reviews/seesa-2016
"Rojulu Marayi",2016,"M Maruthi","Tejus",,rojulu-marayi-2016,http://localhost:3000/reviews/rojulu-marayi-2016
"Naruda Donoruda",2016,"Mallik Ram","Sumanth",,naruda-donoruda-2016,http://localhost:3000/reviews/naruda-donoruda-2016
"Sri Sri",2016,"Sudheer Varma","Sudheer Varma",,sri-sri-2016,http://localhost:3000/reviews/sri-sri-2016
"Kundanapu Bomma",2016,"V. Selva Ganesh","Sudheer Babu",,kundanapu-bomma-2016,http://localhost:3000/reviews/kundanapu-bomma-2016
"Pittagoda",2016,"Anudeep KV","Viswa",,pittagoda-2016,http://localhost:3000/reviews/pittagoda-2016
"Malupu",2016,"Sathya Prabhas Pinisetty","Aadhi",,malupu-2016,http://localhost:3000/reviews/malupu-2016
"Aatadukundam Raa",2016,"G. Nageswara Reddy","Sushanth",,aatadukundam-raa-2016,http://localhost:3000/reviews/aatadukundam-raa-2016
"Eluka Majaka",2016,"Relangi Narasimha Rao","Brahmanandam",,eluka-majaka-2016,http://localhost:3000/reviews/eluka-majaka-2016
"Karva",2016,"Navaneeth","Tilak Shekar",420501,karva-2016,http://localhost:3000/reviews/karva-2016
"Abhinetri",2016,"A. L. Vijay","Prabhu Deva",,abhinetri-2016,http://localhost:3000/reviews/abhinetri-2016
"Sahasam Swasaga Sagipo",2016,"Gautham Vasudev Menon","Naga Chaitanya Akkineni",,sahasam-swasaga-sagipo-2016,http://localhost:3000/reviews/sahasam-swasaga-sagipo-2016
"Savitri",2016,"Pavan Sadineni","Nara Rohit",,savitri-2016,http://localhost:3000/reviews/savitri-2016
"Meeku Meere Maaku Meme",2016,"Hussain Sha Kiran","Tarun Shetty",,meeku-meere-maaku-meme-2016,http://localhost:3000/reviews/meeku-meere-maaku-meme-2016
"Attack",2016,"Ram Gopal Varma","Manchu Manoj",,attack-2016,http://localhost:3000/reviews/attack-2016
"Eedu Gold Ehe",2016,"Veeru Potla","Sunil",,eedu-gold-ehe-2016,http://localhost:3000/reviews/eedu-gold-ehe-2016
"Siddhartha",2016,"K. V. Dayanand Reddy","Sagar",,siddhartha-2016,http://localhost:3000/reviews/siddhartha-2016
"Tulasi Dalam",2016,"Hari","Nandamuri Kalyan Ram",,tulasi-dalam-2016,http://localhost:3000/reviews/tulasi-dalam-2016
"Jai Maruthi 800",2016,"A. Harsha","Sharan",419381,jai-maruthi-800-2016,http://localhost:3000/reviews/jai-maruthi-800-2016
"Premikudu",2016,"Karthik","Maadhav",,premikudu-2016,http://localhost:3000/reviews/premikudu-2016
"Ladies & Gentleman",2015,"P.B. Manjunath","Chaitanya Krishna",,ladies-gentleman-2015,http://localhost:3000/reviews/ladies-gentleman-2015
"Kaki: Sound of Warning",2015,"Manon M","Ashok",,kaki-sound-of-warning-2015,http://localhost:3000/reviews/kaki-sound-of-warning-2015
"Ketugadu",2015,"Venkataraghavan","Tejus",,ketugadu-2015,http://localhost:3000/reviews/ketugadu-2015
"Sneha Sagaram",2015,"Samdani","Sugan Kumar",,sneha-sagaram-2015,http://localhost:3000/reviews/sneha-sagaram-2015
"Pesarattu",2015,"Mahesh Kathi","Nandu",,pesarattu-2015,http://localhost:3000/reviews/pesarattu-2015
"Bruce Lee",2015,"Sreenu Vaitla","Ram Charan",,bruce-lee-2015,http://localhost:3000/reviews/bruce-lee-2015
"Kaali Charan",2015,"Aishwarya Dhanush","Vishal",,kaali-charan-2015,http://localhost:3000/reviews/kaali-charan-2015
"Red Alert",2015,"Chandra Mahesh","Kaushik",,red-alert-2015,http://localhost:3000/reviews/red-alert-2015
"Size Zero",2015,"Prakash Kovelamudi","Arya",,size-zero-2015,http://localhost:3000/reviews/size-zero-2015
"Lava Kusa",2015,"Jaya","Ravi Teja",,lava-kusa-2015,http://localhost:3000/reviews/lava-kusa-2015
"Cinema Choopistha Mava",2015,"Trinadha Rao Nakkina","Raj Tarun",,cinema-choopistha-mava-2015,http://localhost:3000/reviews/cinema-choopistha-mava-2015
"Vinavayya Ramayya",2015,"G. Ram Prasad","Naga Anvesh",,vinavayya-ramayya-2015,http://localhost:3000/reviews/vinavayya-ramayya-2015
"Dynamite",2015,"Devakatta","Vishnu Manchu",,dynamite-2015,http://localhost:3000/reviews/dynamite-2015
"Taskara",2015,"Vikas Vasista is not the director of Taskara, the actual director is Unknown","Sachin Joshi",,taskara-2015,http://localhost:3000/reviews/taskara-2015
"Budugu",2015,"Manmohan","Lakshmi Manchu",,budugu-2015,http://localhost:3000/reviews/budugu-2015
"Soukhyam",2015,"A S Ravi Kumar Chowdary","Gopichand",,soukhyam-2015,http://localhost:3000/reviews/soukhyam-2015
"Superstar Kidnap",2015,"Sushanth Reddy","Aadarsh Balakrishna",,superstar-kidnap-2015,http://localhost:3000/reviews/superstar-kidnap-2015
"Dongaata",2015,"Vamsi Krishna Akella","Naga Chaitanya Akkineni",,dongaata-2015,http://localhost:3000/reviews/dongaata-2015
"Ramleela",2015,"Sripuram Kiran","Havish",,ramleela-2015,http://localhost:3000/reviews/ramleela-2015
"Anandam Malli Modalaindi",2015,"Vamsy","Sumanth",,anandam-malli-modalaindi-2015,http://localhost:3000/reviews/anandam-malli-modalaindi-2015
"Green Signal",2014,"Abid Bhatt","Revanth",,green-signal-2014,http://localhost:3000/reviews/green-signal-2014
"Erra Bus",2014,"Dasari Narayana Rao","Vikram Rathod",,erra-bus-2014,http://localhost:3000/reviews/erra-bus-2014
"Pove Pora",2014,"Chandu","Navdeep",,pove-pora-2014,http://localhost:3000/reviews/pove-pora-2014
"Yuddham",2014,"Bharath","Naga Chaitanya Akkineni",,yuddham-2014,http://localhost:3000/reviews/yuddham-2014
"Naa Rakumarudu",2014,"K. Bhagyaraj","Naveen Chandra",,naa-rakumarudu-2014,http://localhost:3000/reviews/naa-rakumarudu-2014
"Basanti",2014,"Chaitanya Dantuluri","Navdeep",,basanti-2014,http://localhost:3000/reviews/basanti-2014
"Bhimavaram Bullodu",2014,"Udayasankar","Sunil",,bhimavaram-bullodu-2014,http://localhost:3000/reviews/bhimavaram-bullodu-2014
"Veta",2014,"Ashok Alle","Srikanth",,veta-2014,http://localhost:3000/reviews/veta-2014
"Kshatriya",2014,"K. Uday Chandu","Srikanth Meka",,kshatriya-2014,http://localhost:3000/reviews/kshatriya-2014
"God Father",2014,"Bheemaneni Srinivasa Rao","Sri Hari",,god-father-1995,http://localhost:3000/reviews/god-father-1995
"Ulavacharu Biryani",2014,"Prakash Raj","Prakash Raj",,ulavacharu-biryani-2014,http://localhost:3000/reviews/ulavacharu-biryani-2014
"Paisa",2014,"Krishna Vamsi","Nani",,paisa-2014,http://localhost:3000/reviews/paisa-2014
"Anaamika",2014,"Shekhar Kammula","Nayanthara",,anaamika-2014,http://localhost:3000/reviews/anaamika-2014
"Govindudu Andarivadele",2014,"Krishna Vamsi","Ram Charan",,govindudu-andarivadele-2014,http://localhost:3000/reviews/govindudu-andarivadele-2014
"Maaya",2014,"Neelakanta","Harshvardhan Rane",,maaya-2014,http://localhost:3000/reviews/maaya-2014
"Galata",2014,"Narayan","Srinagar Srinivas",,galata-2014,http://localhost:3000/reviews/galata-2014
"Kamina",2013,"Jayendra","Santosh Shobhan",,kamina-2013,http://localhost:3000/reviews/kamina-2013
"Kaalicharan",2013,"Sudheer Varma","Vishnu Manchu",,kaalicharan-2013,http://localhost:3000/reviews/kaalicharan-2013
"Victory",2013,"Nanda Kishore","Sharan",289277,victory-2013,http://localhost:3000/reviews/victory-2013
"Second Hand",2013,"Kishore Tirumala","Sudheer Varma",,second-hand-2013,http://localhost:3000/reviews/second-hand-2013
"Antaku Mundu Aa Taruvaata",2013,"Mohan Krishna Indraganti","Sumanth Ashwin",,antaku-mundu-aa-taruvaata-2013,http://localhost:3000/reviews/antaku-mundu-aa-taruvaata-2013
"Romance",2013,"Swaroop","Prince",,romance-2013,http://localhost:3000/reviews/romance-2013
"Mahankali",2013,"Jeevitha","Rajasekhar",,mahankali-2013,http://localhost:3000/reviews/mahankali-2013
"Pelli Pustakam",2013,"Ramakrishna Machakanti","Rahul",,pelli-pustakam-2013,http://localhost:3000/reviews/pelli-pustakam-2013
"Potugadu",2013,"Pavan Wadeyar","Manchu Manoj",,potugadu-2013,http://localhost:3000/reviews/potugadu-2013
"Moksha",2013,"Srikanth Vemula","Sreekanth",,moksha-2013,http://localhost:3000/reviews/moksha-2013
"Sukumarudu",2013,"G. Ashok","Aadi",,sukumarudu-2013,http://localhost:3000/reviews/sukumarudu-2013
"Kiss",2013,"Adivi Sesh","Adivi Sesh",,kiss-2013,http://localhost:3000/reviews/kiss-2013
"Madhumati",2013,"Raaj Shreedhar","Vishnupriyan",,madhumati-2013,http://localhost:3000/reviews/madhumati-2013
"Toofan",2013,"Apurva Lakhia","Ram Charan",,toofan-2013,http://localhost:3000/reviews/toofan-2013
"Chandee",2013,"V. Samudra","Priyanshu",,chandee-2013,http://localhost:3000/reviews/chandee-2013
"Pavitra",2013,"Janardhana Maharshi","Shriya Saran",,pavitra-2013,http://localhost:3000/reviews/pavitra-2013
"Genius",2012,"Omri-Sarvesh Raana","Havish",,genius-2012,http://localhost:3000/reviews/genius-2012
"Disco",2012,"Harish Shankar","Nikhil Siddharth",,disco-2012,http://localhost:3000/reviews/disco-2012
"Dhoni",2012,"Prakash Raj","Akash",,dhoni-2012,http://localhost:3000/reviews/dhoni-2012
"Kulu Manali",2012,"Veerabhadram","Jaggi",,kulu-manali-2012,http://localhost:3000/reviews/kulu-manali-2012
"Bus Stop",2012,"Maruthi","Prince",,bus-stop-2012,http://localhost:3000/reviews/bus-stop-2012
"Lucky",2012,"Hari","Srikanth",,lucky-2012,http://localhost:3000/reviews/lucky-2012
"Mr. Nookayya",2012,"Ani Kanneganti","Manoj Manchu",,mr-nookayya-2012,http://localhost:3000/reviews/mr-nookayya-2012
"Friends Book",2012,"R.P. Patnaik","Nischal",,friends-book-2012,http://localhost:3000/reviews/friends-book-2012
"Dammu",2012,"Boyapati Srinu","N.T. Rama Rao",,dammu-2012,http://localhost:3000/reviews/dammu-2012
"Edegarike",2012,"Sumana Kittur","Aditya",629360,edegarike-2012,http://localhost:3000/reviews/edegarike-2012
"Rushi",2012,"Raj Madiraju","Ranji",,rushi-2012,http://localhost:3000/reviews/rushi-2012
"Akash",2012,"Raj Kandukuri","Akash",,akash-2012,http://localhost:3000/reviews/akash-2012
"Yamudiki Mogudu",2012,"E Sattibabu","Allari Naresh",,yamudiki-mogudu-2012,http://localhost:3000/reviews/yamudiki-mogudu-2012
"Denikaina Ready",2012,"G. Nageswara Reddy","Vishnu Manchu",,denikaina-ready-2012,http://localhost:3000/reviews/denikaina-ready-2012
"Midhunam",2012,"Tanikella Bharani","Srinagar Srinivas",,midhunam-2012,http://localhost:3000/reviews/midhunam-2012
"Mangala",2011,"Osho Tulasi Ram","Pradeep Rawat",,mangala-2011,http://localhost:3000/reviews/mangala-2011
"Priyudu",2011,"Shankar","Varun Sandesh",,priyudu-2011,http://localhost:3000/reviews/priyudu-2011
"Galli Kurrolu",2011,"Lokesh","Sri",,galli-kurrolu-2011,http://localhost:3000/reviews/galli-kurrolu-2011
"Thimmaraju",2011,"Vijay Krishna","Sai Kumar",,thimmaraju-2011,http://localhost:3000/reviews/thimmaraju-2011
"Yellow Flowers",2011,"Mallikharjun","Chaitanya",,yellow-flowers-2011,http://localhost:3000/reviews/yellow-flowers-2011
"Chattam",2011,"P. Vasu","Jagapathi Babu",,chattam-2011,http://localhost:3000/reviews/chattam-2011
"Maaro",2011,"Sidharth","Srinivas",,maaro-2011,http://localhost:3000/reviews/maaro-2011
"Kodipunju",2011,"B. V. V. Choudary","Tanish",,kodipunju-2011,http://localhost:3000/reviews/kodipunju-2011
"Mugguru",2011,"V.N. Aditya","Navdeep",,mugguru-2011,http://localhost:3000/reviews/mugguru-2011
"Wanted",2011,"B. V. S. Ravi","Gopichand",,wanted-2011,http://localhost:3000/reviews/wanted-2011
"Rakshana",2011,"Ramesh Puppala","Jagapathi Babu",,rakshana-2011,http://localhost:3000/reviews/rakshana-2011
"Babloo",2011,"G. Nageswara Reddy","Manoj Manchu",,babloo-2011,http://localhost:3000/reviews/babloo-2011
"Cricket Girls & Beer",2011,"Adarsh Balakrishna, Surya Tej, Naga Shourya, Sindhu Affan","Vishnu",,cricket-girls-beer-2011,http://localhost:3000/reviews/cricket-girls-beer-2011
"Nitya Pellikoduku",2011,"Devi Prasad","Varun Sandesh",,nitya-pellikoduku-2011,http://localhost:3000/reviews/nitya-pellikoduku-2011
"Bhairava Ips",2010,"Rao Bharath","Sivaji",,bhairava-ips-2010,http://localhost:3000/reviews/bhairava-ips-2010
"Young India",2010,"Dasari Narayana Rao","Sandeep",,young-india-2010,http://localhost:3000/reviews/young-india-2010
"Saradaga Kasepu",2010,"Vamsy","Allari Naresh",,saradaga-kasepu-2010,http://localhost:3000/reviews/saradaga-kasepu-2010
"Maro Charitra",2010,"Ravi Yadav","Varun Sandesh",,maro-charitra-2010,http://localhost:3000/reviews/maro-charitra-2010
"Collector Gari Bharya",2010,"Collector Gari Bharya","Prakash Raj",,collector-gari-bharya-2010,http://localhost:3000/reviews/collector-gari-bharya-2010
"Comedy Express",2010,"Ravi Varma","Vennela Kishore",,comedy-express-2010,http://localhost:3000/reviews/comedy-express-2010
"Rakta Charitra",2010,"Ram Gopal Varma","Vivek Oberoi",,rakta-charitra-2010,http://localhost:3000/reviews/rakta-charitra-2010
"Prema Rajyam",2010,"Lakshman","Surya",,prema-rajyam-2010,http://localhost:3000/reviews/prema-rajyam-2010
"Taj Mahal",2010,"Arjun","Sivaji",,taj-mahal-2010,http://localhost:3000/reviews/taj-mahal-2010
"Alasyam Amrutham",2010,"Trivikram Srinivas","Daggubati Venkatesh",,alasyam-amrutham-2010,http://localhost:3000/reviews/alasyam-amrutham-2010
"Kalavar King",2010,"Lakshman","Baladitya",,kalavar-king-2010,http://localhost:3000/reviews/kalavar-king-2010
"Sandadi",2010,"Jagadish","Raja",,sandadi-2010,http://localhost:3000/reviews/sandadi-2010
"Kaluva",2010,"Balaji Sakthivel","Sumanth",,kaluva-2010,http://localhost:3000/reviews/kaluva-2010
"Nagamani",2010,"P. Vasu","Daggubati Venkatesh",,nagamani-2010,http://localhost:3000/reviews/nagamani-2010
"High School",2010,"Narasimha Nandi","Ram",,high-school-2010,http://localhost:3000/reviews/high-school-2010
"Anaganaga Oka Aranyam",2010,"V.K. Prakash","Sai Kumar",,anaganaga-oka-aranyam-2010,http://localhost:3000/reviews/anaganaga-oka-aranyam-2010
"Puli",2010,"S.J. Surya","Pawan Kalyan",,puli-2010,http://localhost:3000/reviews/puli-2010
"Madhanudu",2010,"Vijay Bhapineedu","Sunil",,madhanudu-2010,http://localhost:3000/reviews/madhanudu-2010
"Mouna Ragam",2010,"Vijay Balaji","Tanish",,mouna-ragam-2010,http://localhost:3000/reviews/mouna-ragam-2010
"Sadhyam",2010,"Karri Balaji","Jagapathi Babu",,sadhyam-2010,http://localhost:3000/reviews/sadhyam-2010
"Sivaji",2010,"S Shankar","Mahesh Babu",,sivaji-2010,http://localhost:3000/reviews/sivaji-2010
"My Name Is Amrutha",2010,"Baby Gayathri, Bhanupriya, Bhanuchander","Produced By S Entertainment",,my-name-is-amrutha-2010,http://localhost:3000/reviews/my-name-is-amrutha-2010
"Indumathi",2009,"Arjun","Srikanth",,indumathi-2009,http://localhost:3000/reviews/indumathi-2009
"Ninnu Kalisaka",2009,"Bhaskar","Santosh Samrat",,ninnu-kalisaka-2009,http://localhost:3000/reviews/ninnu-kalisaka-2009
"Malli Malli",2009,"Pascal","Srikanth",,malli-malli-2009,http://localhost:3000/reviews/malli-malli-2009
"Neramu Siksha",2009,"Vijaya Nirmala","Krishna",,neramu-siksha-2009,http://localhost:3000/reviews/neramu-siksha-2009
"Bangaru Babu",2009,"Jonnavithhula Ramalingeswara Rao","Jagapathi Babu",,bangaru-babu-2009,http://localhost:3000/reviews/bangaru-babu-2009
"Aa Okkadu",2009,"N. Satya","Suresh Gopi",,aa-okkadu-2009,http://localhost:3000/reviews/aa-okkadu-2009
"Bank",2009,"Amruta Arunkumar","Jackie Shroff",,bank-2009,http://localhost:3000/reviews/bank-2009
"Bendu Apparao R.M.P",2009,"E. V. V. Satyanarayana","Allari Naresh",,bendu-apparao-r-m-p-2009,http://localhost:3000/reviews/bendu-apparao-r-m-p-2009
"Kalavaramaye Madilo",2009,"Sattibabu","Srikanth",,kalavaramaye-madilo-2009,http://localhost:3000/reviews/kalavaramaye-madilo-2009
"Bumper Offer",2009,"Jaya Ravindra","Sai Kumar",,bumper-offer-2009,http://localhost:3000/reviews/bumper-offer-2009
"Mesthri",2009,"Dasari Narayana Rao","Dasari Narayana Rao",,mesthri-2009,http://localhost:3000/reviews/mesthri-2009
"Punnami Naagu",2009,"A Kodandarami Reddy","Meka Srikanth",,punnami-naagu-2009,http://localhost:3000/reviews/punnami-naagu-2009
"Pistha",2009,"Paruchuri Murali","Nandamuri Kalyan Ram",,pistha-2009,http://localhost:3000/reviews/pistha-2009
"Premabhishekam",2008,"S. V. Krishna Reddy","Venu Madhav",,premabhishekam-2008,http://localhost:3000/reviews/premabhishekam-2008
"Souryam",2008,"Siva","Gopichand",,souryam-2008,http://localhost:3000/reviews/souryam-2008
"Gorintaku",2008,"Viji","Arun",,gorintaku-2008,http://localhost:3000/reviews/gorintaku-2008
"Deepavali",2008,"Raghuram","Vishnu",,deepavali-2008,http://localhost:3000/reviews/deepavali-2008
"Mangathaayaru Tiffin Centre",2008,"Mumaith Khan, Ali, Shafi","Srikanth",,mangathaayaru-tiffin-centre-2008,http://localhost:3000/reviews/mangathaayaru-tiffin-centre-2008
"Salute",2008,"Babu Suresh","Vishal",,salute-2008,http://localhost:3000/reviews/salute-2008
"Kathanayakudu",2008,"P. Vasu","Jagapati Babu",,kathanayakudu-2008,http://localhost:3000/reviews/kathanayakudu-2008
"Sundarakanda",2008,"K Raghavendra Rao","Akkineni Nagarjuna",,sundarakanda-2008,http://localhost:3000/reviews/sundarakanda-2008
"Vishaka Express",2008,"C. Ramakrishna","Allari Naresh",,vishaka-express-2008,http://localhost:3000/reviews/vishaka-express-2008
"Buddha",2008,"Prakash","Suresh Gopi",,buddha-2008,http://localhost:3000/reviews/buddha-2008
"Rainbow",2008,"V.N. Aditya","Raahul",,rainbow-2008,http://localhost:3000/reviews/rainbow-2008
"Keka",2008,"Teja","Kamal Kamaraju",,keka-2008,http://localhost:3000/reviews/keka-2008
"Call Center",2008,"G. Nageswara Reddy","Vivek",,call-center-2008,http://localhost:3000/reviews/call-center-2008
"Gunde Jallumandi",2008,"Madhura Sreedhar","Uday Kiran",,gunde-jallumandi-2008,http://localhost:3000/reviews/gunde-jallumandi-2008
"Highway",2008,"Kovvi Kalya Krishna","Aditya Om",,highway-2008,http://localhost:3000/reviews/highway-2008
"Vaana",2008,"M.S. Rajashekar","Vinay Rai",,vaana-2008,http://localhost:3000/reviews/vaana-2008
"Aalayam",2008,"Muthyala Subbaiah","Sivaji",,aalayam-2008,http://localhost:3000/reviews/aalayam-2008
