Title,Year,Director,Hero,TMDB ID,Slug,Review URL
"Nipputo Chelagaatam",1982,"Kommineni Seshagiri Rao","Allu Rama Lingaiah",,nipputo-chelagaatam-1982,http://localhost:3000/reviews/nipputo-chelagaatam-1982
"Vamsy",1982,"Kodi Ramakrishna","Kamal Haasan",,vamsy-1982,http://localhost:3000/reviews/vamsy-1982
"Prema Nakshathram",1982,"P. Sambasiva Rao","Krishna",,prema-nakshathram-1982,http://localhost:3000/reviews/prema-nakshathram-1982
"Cancer-Sukhavyadhulu",1982,"M. Prabhakar Reddy","M. Prabhakar Reddy",,cancer-sukhavyadhulu-1982,http://localhost:3000/reviews/cancer-sukhavyadhulu-1982
"Sitadevi",1982,"K. Vasu","Sobhan Babu",,sitadevi-1982,http://localhost:3000/reviews/sitadevi-1982
"Kalavaari Samsaram",1982,"K. Vasu","Nandamuri Balakrishna",,kalavaari-samsaram-1982,http://localhost:3000/reviews/kalavaari-samsaram-1982
"Ee Charitra Ae Sirato",1982,"Vejalla Satyanarayana","Shiva Krishna",,ee-charitra-ae-sirato-1982,http://localhost:3000/reviews/ee-charitra-ae-sirato-1982
"Chilipi Chinnodu",1982,"K. Vasu","Sarath Babu",,chilipi-chinnodu-1982,http://localhost:3000/reviews/chilipi-chinnodu-1982
"Bapu",1982,"K. Bapayya","Sobhan Babu",,bapu-1982,http://localhost:3000/reviews/bapu-1982
"Yuvraju",1982,"Kodandarami Reddy","Krishnam Raju",,yuvraju-1982,http://localhost:3000/reviews/yuvraju-1982
"Katta Subba Rao",1982,"Sobhan Babu, Lakshmi, Jayasudha, Nutan Prasad, Kaikala Satyanarayana","Vishnupriya Productions",,katta-subba-rao-1982,http://localhost:3000/reviews/katta-subba-rao-1982
"Oorukichchina Maata",1981,"T. Krishna","Krishnam Raju",,oorukichchina-maata-1981,http://localhost:3000/reviews/oorukichchina-maata-1981
"Swapna",1981,"K. Vasu","Suman",,swapna-1981,http://localhost:3000/reviews/swapna-1981
"Viswaroopam",1981,"Kodandarami Reddy","N.T. Rama Rao",,viswaroopam-1981,http://localhost:3000/reviews/viswaroopam-1981
"Siddhalingeshwara Mahima",1981,"B. Subba Rao","Sridhar",,siddhalingeshwara-mahima-1981,http://localhost:3000/reviews/siddhalingeshwara-mahima-1981
"Kirayi Rowdylu",1981,"A. Kodandarami Reddy","Chiranjeevi",,kirayi-rowdylu-1981,http://localhost:3000/reviews/kirayi-rowdylu-1981
"Antham Kaadidi Aarambham",1981,"K.S.R. Das","Krishna",,antham-kaadidi-aarambham-1981,http://localhost:3000/reviews/antham-kaadidi-aarambham-1981
"Ragile Jwala",1981,"K. Raghavendra Rao","Allu Rama Lingaiah",,ragile-jwala-1981,http://localhost:3000/reviews/ragile-jwala-1981
"Illalu",1981,"K Vasu","Krishnam Raju",,illalu-1981,http://localhost:3000/reviews/illalu-1981
"Daari Tappina Manishi",1981,"B. Narasimha Rao","Narasimha Raju",,daari-tappina-manishi-1981,http://localhost:3000/reviews/daari-tappina-manishi-1981
"Thodu Dongalu",1981,"K. Raghavendra Rao","Krishna",,thodu-dongalu-1981,http://localhost:3000/reviews/thodu-dongalu-1981
"Priya",1981,"Spencer","Sobhan Babu",,priya-1981,http://localhost:3000/reviews/priya-1981
"Seethakoka Chilaka",1981,"Bhagyaraj","Karthik",,seethakoka-chilaka-1981,http://localhost:3000/reviews/seethakoka-chilaka-1981
"Bhoga Bagyalu",1981,"P. Chandrasekhara Reddy","Krishna",,bhoga-bagyalu-1981,http://localhost:3000/reviews/bhoga-bagyalu-1981
"Gadasari Atha Sogasari Kodalu",1981,"K. Kattubadi","Krishna",,gadasari-atha-sogasari-kodalu-1981,http://localhost:3000/reviews/gadasari-atha-sogasari-kodalu-1981
"Nayudu gari Abbai",1981,"B.B. Prasad","Krishna",,nayudu-gari-abbai-1981,http://localhost:3000/reviews/nayudu-gari-abbai-1981
"Chinnaari Chittibaau",1981,"K. Vasu","Sobhan Babu",,chinnaari-chittibaau-1981,http://localhost:3000/reviews/chinnaari-chittibaau-1981
"Premabhishekam",1981,"Dasari Narayana Rao","Akhil Bharati",,premabhishekam-1981,http://localhost:3000/reviews/premabhishekam-1981
"Asha Jyoti",1981,"Dasari Narayana Rao","Rajesh Khanna",,asha-jyoti-1981,http://localhost:3000/reviews/asha-jyoti-1981
"Aakali Rajyam",1981,"K. Balachander","Kamal Haasan",,aakali-rajyam-1981,http://localhost:3000/reviews/aakali-rajyam-1981
"Saptapadi",1981,"K. Vasu","Sobhan Babu",,saptapadi-1981,http://localhost:3000/reviews/saptapadi-1981
"Prema Kanuka",1981,"K. Vasu","Akkineni Nageswara Rao",,prema-kanuka-1980,http://localhost:3000/reviews/prema-kanuka-1980
"Hare Krishna Hallo Radha",1980,"K.S.R. Das","Krishna",,hare-krishna-hallo-radha-1980,http://localhost:3000/reviews/hare-krishna-hallo-radha-1980
"Prema Pichchi",1980,"A Kodandarami Reddy","Kamal Haasan",,prema-pichchi-1981,http://localhost:3000/reviews/prema-pichchi-1981
"Buchi Babu",1980,"Dasari Narayana Rao","Krishnam Raju",,buchi-babu-1980,http://localhost:3000/reviews/buchi-babu-1980
"Guru",1980,"I.V. Sasi","Kamal Haasan",,guru-1980,http://localhost:3000/reviews/guru-1980
"Rakta Bandham",1980,"K. Vasu","Nutan Prasad",,rakta-bandham-1980,http://localhost:3000/reviews/rakta-bandham-1980
"Thathayya Premaleelalu",1980,"B. V. Prasad","Chiranjeevi",,thathayya-premaleelalu-1980,http://localhost:3000/reviews/thathayya-premaleelalu-1980
"Adhrustavanthudu",1980,"G.C. Sekhar","Krishna",,adhrustavanthudu-1980,http://localhost:3000/reviews/adhrustavanthudu-1980
"Punnami Naagu",1980,"Dadasaheb Balavant Padhye","Chiranjeevi",,punnami-naagu-1980,http://localhost:3000/reviews/punnami-naagu-1980
"Ramudu Parasuramudu",1980,"Vijaya Nirmala","Krishna",,ramudu-parasuramudu-1980,http://localhost:3000/reviews/ramudu-parasuramudu-1980
"Alayam",1980,"T. Madhava Rao","Soman",,alayam-1980,http://localhost:3000/reviews/alayam-1980
"Kotha Jeevithalu",1980,"K. Balachander","Sobhan Babu",,kotha-jeevithalu-1980,http://localhost:3000/reviews/kotha-jeevithalu-1980
"Challenge Ramudu",1980,"T. L. V. Prasad","Kaikala Satyanarayana",,challenge-ramudu-1980,http://localhost:3000/reviews/challenge-ramudu-1980
"Kaali",1980,"A. C. Tirulokchandar","Rajinikanth",,kaali-1980,http://localhost:3000/reviews/kaali-1980
"Harischandrudu",1980,"K Vasu","N.T. Rama Rao",,harischandrudu-1980,http://localhost:3000/reviews/harischandrudu-1980
"Maa Bhoomi",1980,"Goutam Ghose","Rami Reddy",,maa-bhoomi-1980,http://localhost:3000/reviews/maa-bhoomi-1980
"Gayyali Gangamma",1980,"L. V. Prasad","Krishnam Raju",,gayyali-gangamma-1980,http://localhost:3000/reviews/gayyali-gangamma-1980
"Aatagadu",1980,"A. Kodandarami Reddy","Krishnam Raju",,aatagadu-1980,http://localhost:3000/reviews/aatagadu-1980
"Adadhee Gadapa Datithe",1980,"B. S. Narayana","Rajendra Prasad",,adadhee-gadapa-datithe-1980,http://localhost:3000/reviews/adadhee-gadapa-datithe-1980
"Kodallu Vastunnaru Jagratha",1980,"Katta Subba Rao","Sobhan Babu",,kodallu-vastunnaru-jagratha-1980,http://localhost:3000/reviews/kodallu-vastunnaru-jagratha-1980
"Chesina Baasalu",1980,"Kodandarami Reddy","Sarath Babu",,chesina-baasalu-1980,http://localhost:3000/reviews/chesina-baasalu-1980
"Vamsa Vruksham",1980,"Bapu","Krishnam Raju",,vamsa-vruksham-1980,http://localhost:3000/reviews/vamsa-vruksham-1980
"Nakili Manishi",1980,"K. Vasu","Chiranjeevi",,nakili-manishi-1980,http://localhost:3000/reviews/nakili-manishi-1980
"Chuttalunnaru Jagratha",1980,"Kodandarami Reddy","Krishna",,chuttalunnaru-jagratha-1980,http://localhost:3000/reviews/chuttalunnaru-jagratha-1980
"Bangaru Bava",1980,"K. Vasu","Krishna",,bangaru-bava-1980,http://localhost:3000/reviews/bangaru-bava-1980
"Bandodu Gundamma",1980,"S.D. Lal","Krishna",,bandodu-gundamma-1980,http://localhost:3000/reviews/bandodu-gundamma-1980
"Mogudu Kaavali",1980,"K. Vasu","Chiranjeevi",,mogudu-kaavali-1980,http://localhost:3000/reviews/mogudu-kaavali-1980
"Kaksha",1980,"Vamsy","Sobhan Babu",,kaksha-1980,http://localhost:3000/reviews/kaksha-1980
"Ammayi Mogudu Mamaku Yamudu",1980,"Amrutha","Krishna",,ammayi-mogudu-mamaku-yamudu-1980,http://localhost:3000/reviews/ammayi-mogudu-mamaku-yamudu-1980
"Alludu Pattina Bharatam",1980,"K. Vishwanath","Krishnam Raju",,alludu-pattina-bharatam-1980,http://localhost:3000/reviews/alludu-pattina-bharatam-1980
"Dongalaku Savaal",1979,"K.S.R. Das","Krishna",,dongalaku-savaal-1979,http://localhost:3000/reviews/dongalaku-savaal-1979
"Vetagadu",1979,"K. Raghavendra Rao","Krishna",,vetagadu-1979,http://localhost:3000/reviews/vetagadu-1979
