"Actor","Wikipedia Title","Wikipedia Year","Role","Verification Status","DB Title (EN)","DB Title (TE)","DB Year","Match Score","DB Movie ID","Action Required"
"daggubati venkatesh","Kalisundam Raa","2000","Actor (Supporting)","✓ EXISTS","Kalisundam Raa","కలిసుందాం రా","2000","100","b4517f73-4103-4854-ab74-41f1b345f280","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Devi Putrudu","2001","Actor (Supporting)","✓ EXISTS","Devi Putrudu","దేవి పుటరుడు","2001","100","5c521d7a-5675-4f47-9428-44103dc0d016","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Vasu","2002","Actor (Supporting)","✓ EXISTS","Vasu","వాసు వర్మ","2002","100","dace84e7-123f-48f1-b413-691f50862c94","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Vasantham","2003","Actor (Supporting)","✓ EXISTS","Vasantam","వాసానటామ","2003","88","338d1d9a-694e-45d6-87cf-417e9f763bda","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Malliswari","2004","Actor (Supporting)","✓ EXISTS","Malliswari","మల్లీశ్వరి","2004","100","3ae84afc-b99c-4e96-a2fc-6271cc154665","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Sankranthi","2005","Actor (Supporting)","✓ EXISTS","Sankranthi","సానకరానటహి","2005","100","3a121084-c559-4902-b223-2b7017c23a3c","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Lakshmi","2006","Actor (Supporting)","✓ EXISTS","Lakshmi","లక్ష్మి","2006","100","e6c1a9a4-eb7a-4a2d-a2ce-1c47346e3fb2","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Adavari Matalaku Ardhalu Verule","2007","Actor (Supporting)","✓ EXISTS","Aadavari Matalaku Arthale Verule","ాాడావారి మాటాలాకు ారటహాలె వెరులె","2007","90","7606ba4f-843b-4a3a-907c-79a024446477","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Chintakayala Ravi","2008","Actor (Supporting)","✓ EXISTS","Chintakayala Ravi","కహినటాకాయాలా రావి","2008","100","4a599c36-472b-4270-9b19-2270133b1edd","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Eenaadu","2009","Actor (Supporting)","✓ EXISTS","Eenadu","ెెనాడు","2009","85","9a83ebd8-6735-4d76-8069-7b884123edd5","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Namo Venkatesa","2010","Actor (Supporting)","✓ EXISTS","Namo Venkatesa","నామో వెనకాటెసా","2010","100","9dfbcde9-f7f4-4035-bebf-78d9d4e3345c","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Bodyguard","2012","Actor (Supporting)","✓ EXISTS","Bodyguard","బాడీగార్డ్","2012","100","27e5b953-19bd-4e10-bc5b-a9d39ef657d6","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Seethamma Vakitlo Sirimalle Chettu","2013","Actor (Supporting)","✓ EXISTS","Seethamma Vakitlo Sirimalle Chettu","సీతమ్మ వాకిట్లో సిరిమల్లె చెట్టు","2013","100","4c2df4cd-489b-4f1d-afc8-d77e19c008a6","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Drushyam","2014","Actor (Supporting)","✓ EXISTS","Drushyam","డరుసహయామ","2014","100","d6108100-a92f-40a1-849c-6bb5dd225caf","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Gopala Gopala","2015","Actor (Supporting)","✓ EXISTS","Gopala Gopala","గోపాల గోపాల","2015","100","4bd89cc9-1ad0-44fc-8a42-69ebc4a2fd5a","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Babu Bangaram","2016","Actor (Supporting)","✓ EXISTS","Babu Bangaram","బాబు బంగారం","2016","100","dc3802e9-0799-4bc6-bbbb-cb279b0ebf47","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Guru","2017","Actor (Supporting)","✓ EXISTS","Guru","గురు","2017","100","500b5c63-712a-43aa-a73d-f7a601a18507","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Agnyaathavaasi","2018","Cameo appearance (Cameo)","✓ EXISTS","Agnyaathavaasi","అజ్ఞాతవాసి","2018","100","ec2d15d3-fafd-4b1f-8c7b-7e46cfb32e84","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","F2: Fun and Frustration","2019","Actor (Supporting)","✓ EXISTS","F2: Fun and Frustration","F2: ఫన్ అండ్ ఫ్రస్ట్రేషన్","2019","100","e93894e9-fe7b-4515-8aa0-5552715c5eea","Add daggubati venkatesh to cast/crew"
