title_en,release_year,director,hero,rating
Nadamanthrapu Siri,1968,T. Rama Rao,Haranath,7.5
Repati Pourulu,1986,K. Vasu,Krishnam Raju,7.5
Chitti Tammudu,1962,K.B. Tilak,N.T. Rama Rao; Kanta Rao,7.5
Pethamdaarlu,1971,C. S. Rao,N.T. Rama Rao; Sobhan Babu,7.5
Katakataala Rudraiah,1978,Dasari Narayana Rao,Krishnam Raju,7.5
Ooruki Monagadu,1981,K. Raghavendra Rao,Krishna,7.5
Bantrotu Bharya,1974,Dasari Narayana Rao,Chalam,7.5
Babulugaadi Debba,1981,K. Vasu,Krishnam Raju,7.5
Inti Kodalu,1974,Lakshmi Deepak,Gummadi,7.5
Preminchi Choodu,1965,P. Pullaiah,Akkineni Nageswara Rao,7.5
Radhamma Mogudu,1982,A. Kodandarami Reddy,Krishnam Raju,7.5
Pandanti Samsaram,1975,Dasari Narayana Rao,Krishna,7.5
Marapurani Manishi,1973,Tatineni Rama Rao,Akkineni Nageswara Rao,7.5
Ardharathiri,1969,P. Sambasiva Rao,Jaggayya,7.5
Muddula Krishnaiah,1986,A. Kodandarami Reddy,Nandamuri Balakrishna,7.5
Sankalpam,1957,C.V. Ranganatha Dasu,N. T. Rama Rao,7.5
The Rite  a Passion,2002,K.N.T. Sastry,Jaya Sheela,7.5
Raakasi Loya,1983,A. Kodandarami Reddy,Suman,7.5
Challenge Vetagallu,1983,A. Kodandarami Reddy,Suman,7.5
Chandrahasa,1941,R. S. Choudhary,V. Nagayya,7.5
Donga Ramudu,1988,A. Kodandarami Reddy,Nandamuri Balakrishna,7.5
Devudu Mamayya,1981,K. Vasu,Shoban Babu,7.5
Jailu Pakshi,1986,A. Kodandarami Reddy,Rajendra Prasad,7.5
Gunasundari Katha,1949,K.V. Reddy,Kasturi Siva Rao,7.5
Sri Saibaba,1950,Ardeshir Irani,N. T. Rama Rao,7.5
Punyasthree,1986,Muthyala Subbaiah,Rajendra Prasad,7.5
Mahalakshmi,1980,Singeetam Srinivasa Rao,J. V. Somayajulu,7.5
Malle Pandiri,1982,K. Vasu,S. P. Balasubramaniam,7.5
Makutamleni Maharaju,1987,K. Vasu,Krishna,7.5
Grahanam Vidichindi,1983,Murali Mohan,Rajendra Prasad,7.5
Prema Sankellu,1982,A. Kodandarami Reddy,Suman,7.5
Vasantha Geetam,1984,Singeetam Srinivasa Rao,Akkineni Nageswara Rao,7.5
Agni Samadhi,1983,K. Vasu,Krishnam Raju,7.5
Yuvataram Pilicindi,1985,Sandhya Rani,Suman,7.5
Bandipotu,1963,B. Vittalacharya,N. T. Rama Rao,7.5
Bharyalu Jagratha,1989,A. Kodandarami Reddy,Rahman,7.5
Rechukka,1954,P. Pullaiah,N. T. Rama Rao,7.5
Panthulamma,1943,Gudavalli Ramabrahmam,V. Umamaheswara Rao,7.5
Hantakulostunnaru Jagratha,1966,K.S.R. Das,Krishna,7.5
Aakali Rajyam,1981,K. Balachander,Kamal Haasan,7.5
Illalu,1940,Gudavalli Ramabrahmam,P. Suribabu,7.5
Chikkadu Dorakadu,1988,Relangi Narasimha Rao,Rajendra Prasad,7.5
Maha Sangramam,1985,A. Kodandarami Reddy,Krishna; Shoban Babu,7.5
Siksha,1985,Relangi Narasimha Rao,Chandra Mohan,7.5
Devi Moogambika,1983,Renuka Sharma,Sridhar,7.5
Raj Bharat,1982,K. Vasu,Krishnam Raju,7.5
Kirayi Bommalu,1983,A. Kodandarami Reddy,Suman,7.5
Babai Abbai,1985,Jandhyala,Nandamuri Balakrishna,7.5
Agni Poolu,1981,K. Bapaiah,Krishnam Raju,7.5
Maradalu Pelli,1952,Ghantasala Balaramayya,N. T. Rama Rao,7.5
Manasaakshi,1977,P. Sambasiva Rao,Krishna,7.5
Chikkadu Dorakadu,1967,BVS Rama Rao,N. T. Rama Rao,7.5
Bhakta Potana,1966,K. Kameswara Rao,Gummadi,7.5
Stree Sahasam,1951,R. S. Junnarkar,N. T. Rama Rao,7.5
Aathma Bandhuvu,1962,P. Pullaiah,N. T. Rama Rao,7.5
Inti Guttu,1958,Vedantam Raghavayya,N. T. Rama Rao,7.5
Deena Bandhu,1942,H. S. Surya,V. Nagayya,7.5
Jeevana Poratam,1986,Rajachandra,Sobhan Babu,7.5
Vichitra Sodarulu,1989,A. Kodandarami Reddy,Kamal Haasan,7.5
Aggi Pidugu,1964,BVS Rama Rao,N. T. Rama Rao,7.5
Aame Katha,1977,K. Vasu,Murali Mohan,7.5
Oorukichchina Maata,1981,Balaiah M.,Chiranjeevi,7.5
Daasi,1988,B. Narsing Rao,Archana,7.5
Madana Gopaludu,1987,P. N. Ramachandra Rao,Rajendra Prasad,7.5
Rangula Puli,1983,A. Kodandarami Reddy,Suman,7.5
Chilipi Chinnodu,1982,K. Vasu,Sarath Babu,7.5
Manavulara Manninchandi,1983,K. Balachander,Kamal Haasan,7.5
Prema Mandiram,1981,Dasari Narayana Rao,Akkineni Nageswara Rao,7.5
Aada Brathuku,1965,Adurthi Subba Rao,N. T. Rama Rao,7.5
Sabhash Suri,1964,I.N. Murthy,N. T. Rama Rao,7.5
Magavari Mayalu,1960,B.A. Subba Rao,N. T. Rama Rao,7.5
Pralaya Gharjana,1983,K. Vasu,Krishna,7.5
Kumkuma Barani,1968,M. Mallikarjuna Rao,Krishna,7.5
Koti Kokkadu,1983,K. Vasu,Suman,7.5
Donga Kollu,1988,A. Kodandarami Reddy,Rajendra Prasad,7.5
Kodalu Kaavaali,1983,K. Vasu,Suman,7.5
Beedala Patlu,1950,K. Ramnoth,Chittoor V. Nagaiah,7.5
Simhamtho Chelagatam,1983,A. Kodandarami Reddy,Suman,7.5
Dakshayagnam,1941,R. S. Prakash,V. Nagayya,7.5
Kiladi Krishnudu,1980,Vijaya Nirmala,Krishna,7.5
Driver Babu,1986,Bobby,Sobhan Babu,7.5
Nirdoshi,1951,H.M. Reddy,Akkineni Nageswara Rao,7.5
Nelavanka,1983,Jandhyala and starring Gummadi,Gummadi,7.5
Zamindar,1965,V. Madhusudhana Rao,Akkineni Nageswara Rao,7.5
Repu Needhe,1957,K. Bhaskar Rao,N. T. Rama Rao,7.5
Gullo Pelli,1961,K.B. Tilak,Chalam,7.5
Vimala,1960,S.M. Sriramulu Naidu,N. T. Rama Rao,7.5
Sampoorna Ramayanam,1972,Bapu,Sobhan Babu,7.5
Chintamani,1956,P.S. Ramakrishna Rao,N. T. Rama Rao,7.5
Parivartana,1954,T. Prakash Rao,N.T. Rama Rao; Akkineni Nageswara Rao,7.5
Chandi Rani,1983,A. Kodandarami Reddy,Suman,7.5
Bhale Thammudu,1985,Paruchuri Gopala Krishna,Nandamuri Balakrishna,7.5
Chattam,1983,K. Bapayya,Krishnam Raju,7.5
Returning Soldier,1946,Ellis R. Dungan,Unknown,7.5
Satyame Jayam,1942,A. S. A. Sami,V. Nagayya,7.5
Monagallaku Monagadu,1966,S.D. Lal,Krishna,7.5
Andaru Manchivare,1975,S. S. Balan,Krishnam Raju,7.5
Bhimanjaneya Yuddham,1966,S.D. Lal,N.T. Rama Rao; Kanta Rao,7.5
Kodalu Diddina Kapuram,1970,D. Yoganand,N. T. Rama Rao,7.5
Bangaru Manasulu,1973,K. S. Reddy,Sobhan Babu,7.5
Koothuru Kaapuram,1959,Sobhanadri Rao,Jaggayya,7.5
Nagula Chavithi,1956,P. Shantharam,N. T. Rama Rao,7.5
Raitu Kutumbam,1971,P. Sambasiva Rao,Akkineni Nageswara Rao,7.5
Thodu Needa,1965,Adurthi Subba Rao,N. T. Rama Rao,7.5
Chinnaari Chittibaau,1981,K. Subba Rao,Chandra Mohan,7.5
Vagdanam,1961,Atreya,Akkineni Nageswara Rao,7.5
Surya Chandra,1985,Vijaya Bapineedu,Krishna,7.5
Kongu Mudi,1985,Vijaya Bapineedu,Rajendra Prasad,7.5
Gali Patalu,1974,P. Chandrasekhara Reddy,Krishna,7.5
Kalavari Kodalu,1964,K. Hemambaradhara Rao,N. T. Rama Rao,7.5
Swayamprabha,1957,P. Sreedhar,N. T. Rama Rao,7.5
Aada Pettanam,1958,Adurthi Subba Rao,Akkineni Nageswara Rao,7.5
Bobbili Yuddham,1964,C. Seetharam,N. T. Rama Rao,7.5
Inspector Bharya,1972,P. V. Satyanarayana,Krishna,7.5
Bomma Borusa,1971,K. Balachander,Chandra Mohan,7.5
Sabhash Vadina,1972,M. Mallikarjuna Rao,Krishna,7.5
Paruvu-Prathishta,1963,Manapuram Appa Rao,N. T. Rama Rao,7.5
Sangeeta Lakshmi,1966,Giduturi Suryam,N. T. Rama Rao,7.5
Nammina Bantu,1960,Adurthi Subba Rao,Akkineni Nageswara Rao,7.5
Gruhalakshmi,1984,Bhargava,Rajendra Prasad,7.5
Edureeta,1963,B.S. Narayana,N.T. Rama Rao; Jaggayya,7.5
Satya Harishchandra,1965,K.V. Reddy,N. T. Rama Rao,7.5
Shanthi Nivasam,1960,C.S. Rao,Akkineni Nageswara Rao,7.5
Punarjanma,1963,K. Pratyagatma,Akkineni Nageswara Rao,7.5
Appaginthalu,1962,V. Madhusudhana Rao,Akkineni Nageswara Rao,7.5
Savati Koduku,1963,Y.R. Swamy,N. T. Rama Rao,7.5
Siri Sampadalu,1962,P. Pullaiah,Akkineni Nageswara Rao,7.5
Mathru Devata,1969,Savitri,N. T. Rama Rao,7.5
Ukkupidugu,1969,K.S.R. Das,Krishna,7.5
Amaayakuraalu,1971,V. Madhusudhana Rao,Akkineni Nageswara Rao,7.5
Irugu Porugu,1963,I.N. Murthy,N. T. Rama Rao,7.5
Evaru Monagadu,1968,R. Sundaram,Kanta Rao,7.5
Jyothi,1954,K.B. Tilak,N. T. Rama Rao,7.5
Valmiki,1963,C.S. Rao,N.T. Rama Rao; Kanta Rao,7.5
Doctor Babu,1973,Tatineni Rama Rao,Sobhan Babu,7.5
Bangaru Gaajulu,1968,C.S. Rao,Akkineni Nageswara Rao,7.5
Aastiparulu,1966,V. Madhusudhana Rao,Akkineni Nageswara Rao,7.5
Govula Gopanna,1968,C.S. Rao,Akkineni Nageswara Rao,7.5
Sabash Satyam,1969,G. Viswanatham,Krishna,7.5
Mundhadugu,1958,K.S. Prakash Rao,N. T. Rama Rao,7.5
Agni Pareeksha,1951,K. Varaprasad Rao,Akkineni Nageswara Rao,7.5
Abhimanavantulu,1973,K. S. Rami Reddy,Krishna,7.5
Pettandarulu,1970,C. S. Rao,N.T. Rama Rao; Sobhan Babu,7.5
Bhale Ammayilu,1957,Vedantam Raghavayya,N. T. Rama Rao,7.5
Renukadevi Mahatyam,1960,K.S. Prakash Rao,N. T. Rama Rao,7.5
Jaya Vijaya,1959,B. Vittalacharya,N. T. Rama Rao,7.5
Lakshadhikari,1963,V. Madhusudhana Rao,N. T. Rama Rao,7.5
Veera Kankanam,1957,G.R. Rao,N. T. Rama Rao,7.5
Penki Pellam,1956,F Nagib R Khan,N. T. Rama Rao,7.5
Aadi Dampatulu,1986,Dasari Narayana Rao,Rajendra Prasad,7.5
Ashtaaishwaryalu,1956,E.S.N. Murthy,N. T. Rama Rao,7.5
Maa Babu,1960,Tatineni Prakash Rao,Akkineni Nageswara Rao,7.5
Ilavelpu,1956,D. Yoganand,Akkineni Nageswara Rao,7.5
Yuvatharam Kadilindi,1980,Dhavala Satyam,Murali Mohan,7.5
Aada Janma,1951,G.R. Rao,Akkineni Nageswara Rao,7.5
Amara Deepam,1977,K. Raghavendra Rao,Krishnam Raju,7.5
Anuradha,1971,P. Chandrasekhara Reddy,Krishna,7.5
Rajeswari,1952,B. S. Ranga,N. T. Rama Rao,7.5
Vadina,1955,MVC,N. T. Rama Rao,7.5
Constable Koothuru,1963,Tapi Chanakya,Kanta Rao; Jaggayya,7.5
Kanna Koothuru,1960,P.S. Ramakrishna Rao,N. T. Rama Rao,7.5
Sabhash Baby?,1972,K. S. R. Das,Krishna,7.5
Aada Paduchu,1967,K. Hemambaradhara Rao,N.T. Rama Rao; Sobhan Babu,7.5
Bhuloka Ramba,1958,D. Yoganand,N. T. Rama Rao,7.5
Pativrata,1964,M.S. Kota Reddy,Kanta Rao,7.5
Vadhante Dabbu,1957,Y.R. Swamy,N. T. Rama Rao,7.5
Bhagya Rekha,1957,B.N. Reddy,N. T. Rama Rao,7.5
Mangamma Sapatham,1965,B. Vittalacharya,N. T. Rama Rao,7.5
Dongallo Dora,1957,Fateh Halim,Akkineni Nageswara Rao,7.5
Banda Ramudu,1959,P. Pullaiah,N. T. Rama Rao,7.5
Jamadagni,1988,Bharathiraja,Krishna,7.5
Navvithe Navaratnalu,1951,S. Soundararajan,N. T. Rama Rao,7.5
Sati Ansuya,1971,B. A. Subba Rao,Gummadi,7.5
Annadata,1954,Vedantam Raghavayya,Akkineni Nageswara Rao,7.5
Dhampathyam,1957,A. Narayana Rao,Relangi,7.5
Manushulu Mamathalu,1965,K. Pratyagatma,Akkineni Nageswara Rao,7.5
Aada Bidda,1955,Adurthi Subba Rao,Akkineni Nageswara Rao,7.5
Dabbu Dabbu Dabbu,1981,Vijaya Baapineedu,Mohan Babu,7.5
Ardhangi,1955,P. Pullaiah,Akkineni Nageswara Rao; Jaggayya,7.5
Bhaktha Prahlada,1967,Chitrapu Narayana Rao,S.V. Ranga Rao,7.5
Pempudu Koduku,1953,L.V. Prasad,N. T. Rama Rao,7.5
Jatakaphalam,1954,R. Nagendra Rao,N. T. Rama Rao,7.5
Puli Debba,1983,K. Vasu,Suman,7.5
Chinna Kodalu,1952,K. Bapayya,N. T. Rama Rao,7.5
Chakrapani,1954,P.S. Ramakrishna Rao,Akkineni Nageswara Rao,7.5
Amayakudu,1968,V. Ramachandra Rao,Krishna,7.5
Enki Naidu Bava,1978,Boyina Subba Rao,Sobhan Babu,7.5
Naa Chellelu,1953,P. Pullaiah,Akkineni Nageswara Rao,7.5
Maha Manishi,1985,M. Balaiah,Krishna,7.5
Prachanda Bhairavi,1965,C.S. Rao,Kanta Rao,7.5
Jagannatakam,1960,Amancharla Seshagiri Rao,N. T. Rama Rao,7.5
Manchivadu,1973,K Vasu,N. T. Rama Rao,7.5
Puttillu,1953,Dr. Raja Rao,Jamuna,7.5
Pakkinti Ammayi,1981,K. Vasu,Chandra Mohan,7.5
Sahasam,1952,K.B. Nagabhushanam,N. T. Rama Rao,7.5
Rajeswari Kalyanam,1993,Kranthi Kumar,Srikanth,7.5
Bazaar Rowdy,1988,A. Kodandarami Reddy,Ramesh Babu,7.5
Peda Raithu,1952,B.A. Subba Rao,N. T. Rama Rao,7.5
Okkadu Chalu,2000,Ravi Raja Pinisetty,Rajasekhar,7.5
Manavathi,1952,P. S. Ramakrishna Rao,Akkineni Nageswara Rao,7.5
Jayam Manade,1956,Nattoji,N. T. Rama Rao,7.5
Propakari Papanna,1982,Dasari Narayana Rao,Krishnam Raju,7.5
Chinnamma Katha,1952,F. Nagoor,Akkineni Nageswara Rao,7.5
Santhi,1952,A. S. A. Sami,Akkineni Nageswara Rao,7.5
Uma Sundari,1956,Vedantam Raghavayya,N. T. Rama Rao,7.5
Tarumaru,1941,N.D. Vijayababu,Ramakrishna Sastry,7.5
Sirimalle Navvindi,1980,Vijaya Nirmala,Krishna,7.5
Modhati Rathri,1950,Kodandapani,N. T. Rama Rao,7.5
Pavitra Hrudayalu,1971,A. Bhimsingh,N. T. Rama Rao,7.5
Nee Kosam,1999,Srinu Vaitla,Ravi Teja,7.5
Srungara Ramudu,1979,K. Shankar,N. T. Rama Rao,7.5
Needa,1979,Dasari Narayana Rao,Ramesh Babu,7.5
Bhale Monagadu,1968,Bollepalli,Krishna,7.5
Sakkanodu,1986,A. Kodandarami Reddy,Suman,7.5
Iddaru Asadhyule,1979,KVAS,Krishna,7.5
Rama Banam,1979,Y. Eshwara Reddy,Sobhan Babu,7.5
Cheekati Velugulu,1975,K. Vasu,Krishna,7.5
Nindu Manishi,1978,S. D. Lal,N. T. Rama Rao,7.5
Gudi Gantalu,1964,V. Madhusudhana Rao,N. T. Rama Rao,7.5
Geetanjali,1948,L. V. Prasad,Akkineni Nageswara Rao,7.5
Devakanya,1968,K. Hemambadhara Rao,Kanta Rao,7.5
Pottelu Punnamma,1978,R. Thyagarajan,Murali Mohan,7.5
Melu Kolupu,1978,B. V. Prasad,N. T. Rama Rao,7.5
Manasamsaram,1968,C.S. Rao,Jaggayya,7.5
Adavilo Abhimanyudu,1989,A. Kodandarami Reddy,Jagapathi Babu,7.5
Bratuku Teruvu,1953,P.S. Ramakrishna Rao,Akkineni Nageswara Rao,7.5
Edadugula Bandham,1985,K. Vasu,Akkineni Nageswara Rao,7.5
Raja Yogam,1968,B. Vittalacharya,Kanta Rao,7.5
Thalli Prema,1968,Srikanth,N. T. Rama Rao,7.5
Malli Pelli,1970,C.S. Rao,Y.V. Rao,7.5
Vanarani,1946,C.S. Rao,Kasturi Siva Rao,7.5
Ankuram,1993,C. Umamaheswara Rao,Sarath Babu,7.5
Muthyala Muggu,1975,Bapu,Ravikanth,7.5
Swargaseema,1945,B. S. Ranga,Akkinepalli Ghantasala Venkateswara Rao,7.5
Justice Chowdary,1982,K. Raghavendra Rao,N. T. Rama Rao,7.5
Devanthakudu,1960,C. Pullaiah,N. T. Rama Rao,7.5
Kannavari Kalalu,1974,S.S. Balan,Sobhan Babu,7.5
Rojulu Maraayi,1955,Tatineni Prakash Rao,N. T. Rama Rao,7.5
Mahendran,1982,T. L. V. Prasad,Krishnam Raju,7.5
Raitu Kutumbam,1972,P. Sambasiva Rao,Akkineni Nageswara Rao,7.5
Thodi Kodallu,1957,Adurthi Subba Rao,Akkineni Nageswara Rao,7.5
Tata Manavadu,1973,Dasari Narayana Rao,Akkineni Nageswara Rao,7.5
Vintha Katha,1973,V. Madhusudhana Rao,Chandra Mohan,7.5
Nuvve Kavali,2000,K. Vijaya Bhaskar,Tarun,7.5
Bhagyavantudu,1971,C. S. Rao,Krishna,7.5
Nava Mohini,1984,A. Kodandarami Reddy,Naresh,7.5
Jeevana Jyothi,1975,K. Viswanath,Sobhan Babu,7.5
Bangaru Sankellu,1968,Gutha Ramineedu,Haranath,7.5
Sati Sakkubai,1965,V. Raghavayya,S.V. Ranga Rao,7.5
Brahma Ratham,1947,Ghantasala Balaramayya,Akkineni Nageswara Rao,7.5
Dorikithe Dongalu,1965,P. Pullaiah,N. T. Rama Rao,7.5
Gandikota Rahasyam,1969,B. Vittalacharya,N. T. Rama Rao,7.5
Kadaladu Vadaladu,1969,B. Vittalacharya,N. T. Rama Rao,7.5
Ante Kaavali,1955,Vedantam Raghavayya,Akkineni Nageswara Rao,7.5
Panthaalu Pattimpulu,1968,K.B. Tilak,Sobhan Babu,7.5
Nindu Manasulu,1967,S.D. Lal,N. T. Rama Rao,7.5
Viplava Shankam,1982,K Vasu,Krishnam Raju,7.5
Moodu Mullu,1983,Jandhyala,Chandra Mohan,7.5
Tilottama,1951,H.V. Babu,N. T. Rama Rao,7.5
Guppedu Manasu,1979,K. Balachander,Sarath Babu,7.5
Chandraharam,1954,K.V. Reddy,N. T. Rama Rao,7.5
Poola Mala,1973,P. Chandrasekhara Reddy,Rama Krishna,7.5
Sahasavanthudu,1978,K. Bapaiah,N. T. Rama Rao,7.5
Moratodu,1977,Dasari Narayana Rao,Satyanarayana,7.5
Keelu Bommalu,1965,C.S. Rao,Akkineni Nageswara Rao,7.5
Pooja Phalamu,1964,B.N. Reddy,Akkineni Nageswara Rao,7.5
Sampoorna Ramayanam,1971,Bapu,Sobhan Babu,7.5
Chandirani,1953,P. Bhanumathi,N. T. Rama Rao,7.5
Sommokadidi Sokokadidi,1978,Singeetam Srinivasa Rao,Kamal Haasan,7.5
Ammayi Pelli,1974,Bhanumathi Ramakrishna,N. T. Rama Rao,7.5
Aapta Mitrulu,1963,S.K.S. Prasada Rao,N.T. Rama Rao; Kanta Rao,7.5
Uthama Illalu,1974,P. Sambasiva Rao,Krishna,7.5
Bala Bharatam,1972,Kamalakara Kameswara Rao,S. V. Ranga Rao,7.5
Tholireyi Gadichindi,1977,K. S. Rami Reddy,Murali Mohan; Rajinikanth,7.5
Pempudu Koothuru,1963,B.R. Panthulu,N. T. Rama Rao,7.5
Konte Pilla,1967,A. Sanjeevi,Haranath,7.5
Mohini Rukmangada,1962,K.S. Prakash Rao,N.T. Rama Rao; Kanta Rao,7.5
Varudu Kavali,1957,P.S. Ramakrishna Rao,Jaggayya,7.5
Bikari Ramudu,1961,B. Vittalacharya,N. T. Rama Rao,7.5
Chali Cheemalu,1978,Devadas Kanakala,Narasimha Raju,7.5
Challani Thalli,1975,K.S. Rami Reddy,Vijayakanth,7.5
Poovanam,1969,Bapu,Sobhan Babu,7.5
Aggi Barata,1966,B. Vittalacharya,N. T. Rama Rao,7.5
Devathalara Deevinchandi,1977,K. Koteswara Rao,Murali Mohan,7.5
Subhodhayam,1980,K. Viswanath,Chandra Mohan,7.5
Devudulanti Manishi,1975,Dasari Narayana Rao,Krishna,7.5
Pendli Pilupu,1961,A.V. Seshagiri Rao,N. T. Rama Rao,7.5
Shanta,1961,V Madhusudhana Rao,Akkineni Nageswara Rao,7.5
Raja Nandini,1958,Vedantam Raghavayya,N. T. Rama Rao,7.5
Sobha,1958,Kamalakara Kameswara Rao,N. T. Rama Rao,7.5
Kalimilemulu,1962,G. Ramineedu,Akkineni Nageswara Rao,7.5
Peddarikalu,1957,Tapi Chanakya,N.T. Rama Rao; Jaggayya,7.5
Tikka Sankaraiah,1968,D. Yoganand,N. T. Rama Rao,7.5
Samajam,1960,A. Narayana Rao,Akkineni Nageswara Rao,7.5
Mahakavi Kalidasu,1960,K. Kameswara Rao,Akkineni Nageswara Rao,7.5
Sabhash Raja,1961,P.S. Ramakrishna Rao,Akkineni Nageswara Rao,7.5
Chivaraku Migiledi,1960,Gutha Ramineedu,Gummadi; Prabhakar Reddy,7.5
Chaduvukonna Bharya,1965,K.B. Tilak,Krishna,7.5
Parvathi Kalyanam,1958,Bhaskar Rao,N. T. Rama Rao,7.5
Sabhash Ramudu,1959,C.S. Rao,N. T. Rama Rao,7.5
Kula Daivam,1960,C.S. Rao,Akkineni Nageswara Rao,7.5
Bhakta Kannappa,1976,Bapu,Krishnam Raju,7.5
Sati Sukanya,1959,B.A. Subba Rao,N. T. Rama Rao,7.5
Ashoka Chakravarthy,1989,Suresh Krissna,Nandamuri Balakrishna,7.5
Papa Kosam,1968,G.V.R. Seshagiri Rao,Tyagaraju,7.5
Sipayi Koothuru,1959,P. Chengaiah,N. T. Rama Rao,7.5
Rechukka Pagatichukka,1959,Kamalakara Kameswara Rao,N. T. Rama Rao,7.5
Aalu Magalu,1959,S.V. Krishna Rao,N. T. Rama Rao,7.5
Prathikaram,1982,K. Vasu,Sarath Babu,7.5
Bhagya Devathai,1959,Tapi Chanakya,Jaggayya,7.5
Anukshanam,2014,Ram Gopal Varma,Vishnu Manchu,7.5
Pelli Kanuka,1960,C.V. Sridhar,Akkineni Nageswara Rao,7.5
Kanakatara,1956,B. Vittalacharya,N. T. Rama Rao,7.5
Vetagadu,1979,K. Raghavendra Rao,N. T. Rama Rao,7.5
Mahiravana,1940,A. S. A. Sami,V. Nagayya,7.5
Chittamma Chilakamma,1975,B. Bhaskara Rao,Murali Mohan,7.5
Palletooru,1952,T. Prakash Rao,N. T. Rama Rao,7.5
Yuga Purushudu,1978,K,Kaikala Satyanarayana,7.5
Visali,1973,K. Babu Rao,Jaggayya,7.5
Krishna Leelalu,1959,Jampana,Akkineni Nageswara Rao,7.5
Rupavathi,1951,Ellis R. Dungan,Akkineni Nageswara Rao,7.5
Rajaputra Rahasyam,1978,S. D. Lal,N. T. Rama Rao,7.5
Aakasa Raju,1951,Ghantasala Balaramayya,Akkineni Nageswara Rao,7.5
Bapu,1982,K. Bapayya,Sobhan Babu,7.5
Chaduvu Samskaram,1975,V. Madhusudhana Rao,Krishnam Raju,7.5
Addala Meda,1981,Dasari Narayana Rao,Murali Mohan,7.5
Bangaru Talli,1971,Tapi Chanakya,Sobhan Babu,7.5
Rangeli Raja,1971,C. S. Rao,Akkineni Nageswara Rao,7.5
Bhaktha Ambareesha,1959,B.S. Ranga,Kanta Rao,7.5
Gruha Pravesam,1982,Bhagyaraj,Bhagyaraj,7.5
Vasantha Sena,1967,B.S. Ranga,Akkineni Nageswara Rao,7.5
Thoorpu Padamara,1976,Dasari Narayana Rao,Narasimha Raju; Mohan Babu,7.5
Kathanayakuni Katha,1975,Dasari Narayana Rao,N. T. Rama Rao,7.5
Raktha Sambandham,1975,Dasari Narayana Rao,Shobhan Babu,7.5
Anuragam,1963,G. Ramineedu,Chalam,7.5
Maavaari Manchithanam,1979,B. A. Subba Rao,N. T. Rama Rao,7.5
Chillarakottu Chittemma,1977,Dasari Narayana Rao,Murali Mohan,7.5
Korikale Gurralaite,1979,K Vasu,Sarath Babu,7.5
Khaidi Babai,1974,T. Krishna,Sobhan Babu,7.5
Sneham,1977,Bapu,Saichand,7.5
Adapillala Tandri,1974,K. Vasu,Krishnam Raju,7.5
Parvati Kalyanam,1941,Ghantasala Balaramayya,C.S.R. Anjaneyulu,7.5
Dorababu,1974,Tatineni Rama Rao,Akkineni Nageswara Rao,7.5
Mallela Manasulu,1975,Adurthi Subba Rao,Sobhan Babu,7.5
Parasakthi,1957,Krishnan-Panju,Sivaji Ganesan,7.5
Prema Nakshatram,1982,Indra Kumar,Naresh,7.5
Rowdy Rangamma,1978,Vijay Singh,Vijaya Lalitha,7.5
Srivaru Maavaru,1973,B. S. Narayana,Krishna,7.5
Bhale Alludu,1977,P. Sambasiva Rao,Krishna,7.5
Radha Krishna,1978,V. Madhusudhana Rao,Sobhan Babu,7.5
Pogarubothu,1976,Tatineni Prakash Rao,Sobhan Babu,7.5
Annadammula Anubandham,1975,S. D. Lal,N. T. Rama Rao; Murali Mohan; Nandamuri Balakrishna,7.5
Swarna Gowri,1962,Y.R. Swamy,Kanta Rao,7.5
Bhakta Tukaram,1973,V. Nagayya,Akkineni Nageswara Rao,7.5
Kirayi Rangadu,1983,A. Kodandarami Reddy,Chiranjeevi,7.5
Urvasi,1974,K. Bapayya,Sanjeev Kumar,7.5
Amma Kosam,1970,B. V. Prasad,Krishnam Raju; Krishna,7.5
Vaade Veedu,1973,D. Yoganand,N. T. Rama Rao,7.5
Babu,1975,K. Balachander,Shobhan Babu,7.5
Tiger Ramudu,1962,NTR,N. T. Rama Rao,7.5
Matti Manushulu,1990,A. Kodandarami Reddy,Sivakumar,7.5
Raj Mahal,1972,B. Harinarayana,Krishna; Krishnam Raju,7.5
Andadu Aagadu,1979,S. D. Lal,Krishnam Raju,7.5
Gadusu Pillodu,1977,K. Bapayya,Krishna,7.5
Kothakapuram,1975,K. Vasu,Krishna,7.5
Stree Janma,1967,B. Vittalacharya,Krishna,7.5
Bhale Papa,1971,K. S. Prakash Rao,N. T. Rama Rao,7.5
Drohi,1970,K. Bapayya,Jaggayya,7.5
Challenge Ramudu,1980,T. L. V. Prasad,N. T. Rama Rao,7.5
Ramayya Thandri,1975,K. Vasu,Krishna,7.5
Manchi Manasulu,1962,Adurthi Subba Rao,Akkineni Nageswara Rao,7.5
Ravana Brahma,1986,A. Kodandarami Reddy,Krishnam Raju,7.5
Sravanthi,1985,M. Krishnudu,Murali Mohan,7.5
Kathanayakudu,1984,K. Murali Mohana Rao,Nandamuri Balakrishna,7.5
Taxi Ramudu,1961,V. Madhusudhana Rao,N. T. Rama Rao,7.5
Palnati Puli,1984,Dasari Narayana Rao,Krishnam Raju,7.5
Bandhipotu Rudramma,1983,B. Bhaskara Rao,Kavitha,7.5
Surya Chandrulu,1978,V. C. Guhanathan,Chandra Mohan,7.5
Swarga Seema,1945,B.N. Reddy,Chittoor V. Nagaiah,7.5
Nomu,1974,P. Chandrasekhara Reddy,Rama Krishna,7.5
