title_en,release_year,director,hero,rating
Meerabai,1940,Ellis R. Dungan,V. Nagayya,7.5
Kanthaiyya Kanakaiyya,1983,K. Vasu,Suman,7.5
Anna Chellalu,1989,Ravi Raja Pinisetty,Sobhan Babu,7.5
Sudigundalu,1967,Adurthi Subba Rao,Akkineni Nageswara Rao,7.5
Bhale Baava,1957,K.S. Prakash Rao,Jaggayya,7.5
Illarikam,1959,Tatineni Prakash Rao,Akkineni Nageswara Rao,7.5
Amara Deepam,1956,T. Prakash Rao,Sivaji Ganesan,7.5
Paala Manasulu,1968,S.S.R. Krishna,Haranath,7.5
Emandoyi Srimathigaru,1982,K. Vasu,Sarath Babu,7.5
Chivarku Migiledhi,1953,Gutha Ramineedu,Kanta Rao,7.5
Gayyali Gangamma,1980,Beeram Mastan Rao,Rajinikanth,7.5
Eedu Jodu,1963,K.B. Tilak,N. T. Rama Rao,7.5
Eetharam Manishi,1977,V. Madhusudhana Rao,Sobhan Babu,7.5
Bhogimanthulu,1981,Vijaya Nirmala,Krishna,7.5
Vishnu Maya,1963,N.S. Varma,Kanta Rao,7.5
Raaga Deepam,1982,K. R. Vijaya,Akkineni Nageswara Rao,7.5
Mana Desam,1949,L.V. Prasad,Chittoor V. Nagaiah; N.T. Rama Rao,7.5
Raktha Sambandham,1984,K. Vasu,Krishna,7.5
Chadarangam,1967,S.V. Ranga Rao,N. T. Rama Rao,7.5
Rushyasrunga,1961,H.M. Reddy,Kanta Rao,7.5
Adhrusta Deepudu,1950,T. R. Sundaram,Akkineni Nageswara Rao,7.5
Sati Savitri,1957,K.B. Nagabhushanam,N. T. Rama Rao,7.5
Raithu Bidda,1939,Gudavalli Ramabrahmam,Bellary Raghava,7.5
Veera Bhaskarudu,1959,Taraka Rama Rao Nandamuri,N. T. Rama Rao,7.5
Gulebakavali Katha,1962,N.T. Rama Rao,N. T. Rama Rao,7.5
Bullemma Sapatham,1975,Dasari Narayana Rao,Krishnam Raju,7.5
Prema Murthulu,1982,A. Kodandarami Reddy,Sarath Babu,7.5
Pathi Bhakti,1943,R. Krishnan,Bellari Raghava,7.5
Nipputo Chelagaatam,1982,Kommineni Seshagiri Rao,Allu Rama Lingaiah,7.5
Rana Bheri,1968,Giduthoori Suryam,Rama Krishna,7.5
Muddula Mavayya,1989,A. Kodandarami Reddy,Nandamuri Balakrishna,7.5
Lanchavatharam,1985,K. Vasu,Dasari Narayana Rao,7.5
Meghamala,1973,B. A. Subba Rao,Rama Krishna,7.5
Chitti Chellelu,1970,M. Krishnan Nair,N. T. Rama Rao,7.5
Gorintaku,1979,Dasari Narayana Rao,Sobhan Babu,7.5
Madalasa,1948,B. S. Ranga,Akkineni Nageswara Rao,7.5
Rangula Kala,1983,B. Narsing Rao,B. Narsing Rao,7.5
Palleturi Chinnodu,1974,B. Vittalacharya,N. T. Rama Rao,7.5
Padma Shri,1968,Vikram Pradhan,Akkineni Nageswara Rao,7.5
Thalli Biddalu,1963,K.B. Tilak,N. T. Rama Rao,7.5
Vinta Dampatulu,1972,K. Hemambadhara Rao,Krishna,7.5
Intiniti Katha,1974,K. Satyam,Krishna,7.5
Vinayaka Chaviti,1957,Samudrala Sr.,N. T. Rama Rao,7.5
Check,2021,Chandra Sekhar Yeleti,Nithiin,7.5
Dagudu Moothalu,1964,Adurthi Subba Rao,N. T. Rama Rao,7.5
Ramalayam,1971,K. Bapayya,Sobhan Babu,7.5
Rani Ratnaprabha,1960,B.A. Subba Rao,N. T. Rama Rao,7.5
Penkipilla,1951,C. Pullaiah,N. T. Rama Rao,7.5
Pelli Sambandham,1970,K. Varaprasada Rao,Krishna,7.5
Ragile Gundelu,1985,T. Rama Rao,Mohan Babu,7.5
Aatma Balam,1964,V. Madhusudhana Rao,Akkineni Nageswara Rao,7.5
Karmika Vijayam,1959,M.A. Thirumugam,N. T. Rama Rao,7.5
Menarikam,1954,Jampana,N. T. Rama Rao,7.5
Peddamanushulu,1954,K.V. Reddy,C.S.R. Anjaneyulu,7.5
Muggurammayila Mogudu,1983,Relangi Narasimha Rao,Rajendra Prasad,7.5
Perantalu,1951,Masthan,Akkineni Nageswara Rao,7.5
Balidaanam,1983,Dhavala Satyam,Murali Mohan,7.5
Puli Bidda,1981,V. Madhusudan Rao,Krishnam Raju,7.5
Manavude Mahaneeyudu,1980,Dasari Narayana Rao,N. T. Rama Rao,7.5
Thandrulu Kodukulu,1961,K. Hemambaradhara Rao,Akkineni Nageswara Rao,7.5
Palle Paduchu,1954,B.A. Subba Rao,N. T. Rama Rao,7.5
Geetaanjali,1973,A. Sanjeevi,Murali Mohan,7.5
Cheppindi Chestha,1978,M. S. Gopinath,Krishna,7.5
Ooriki Ichina Maata,1981,B. Gopal,Krishna,7.5
Nenante Nene,1968,V. Madhusudhan Rao,Krishna,7.5
Jayabheri,1959,P. Pullaiah,Akkineni Nageswara Rao,7.5
Inti Dongalu,1973,K. S. R. Das,Krishna,7.5
Sati Tulasi,1936,Chitrapu Narasimha Rao,C.S.R. Anjaneyulu,7.5
Snehabandam,1973,P. Sambasiva Rao,Murali Mohan,7.5
Chilaka Gorinka,1966,K. Pratyagatma,Krishnam Raju,7.5
Lokam Marali (tamil Dub Naangu Suvargal),1973,K. Vijayan,Jaishankar,7.5
Sati Sakkubai,1954,Vedantam Raghavayya,S.V. Ranga Rao,7.5
Ammalakkalu,1953,Shanti Kumar,Akkineni Nageswara Rao,7.5
Nene Monaganni,1968,S.D. Lal,N. T. Rama Rao,7.5
Sandhya Ragam,1981,Jandhyala,Sarath Babu,7.5
Maaya Rambha,1950,Tatineni Prakash Rao,Akkineni Nageswara Rao,7.5
Kaliyuga Mahabharatam,1979,V. Hanuman Prasad,Narasimha Raju,7.5
Rajakota Rahasyam,1971,B. Vittalacharya,N. T. Rama Rao,7.5
Adrusta Jathakudu,1971,K. Hemambadhara Rao,N. T. Rama Rao,7.5
Vichithra Kutumbam,1971,K. S. Prakash Rao,N. T. Rama Rao; Krishna; Sobhan Babu,7.5
Lanke Bindelu,1983,K. Vasu,Suman,7.5
Vichitra Bandham,1972,Adurthi Subba Rao,Akkineni Nageswara Rao,7.5
Ammayilu Jagratha,1975,P. Sambasiva Rao,Krishnam Raju,7.5
Chandravanka,1951,V. Nagayya,N. T. Rama Rao,7.5
Iddaru Ammayilu,1971,S. R. Puttanna Kanagal,Akkineni Nageswara Rao,7.5
Merupu Daadi,1984,Raviraja Pinisetty,Sobhan Babu,7.5
Illalu,1981,T. Rama Rao,Shoban Babu,7.5
Akhandudu,1970,V. Ramachandra Rao,Krishna,7.5
Manorama,1959,B. Vittalacharya,Kanta Rao,7.5
Devalayam,1985,T. Krishna,Shoban Babu,7.5
Manushulanta Okkate,1976,Dasari Narayana Rao,N. T. Rama Rao,7.5
Erra Mallelu,1981,Dhavala Satyam,Madala Ranga Rao,7.5
Maa Bhoomi,1980,Goutam Ghose,Rami Reddy,7.5
Jeevana Tarangalu,1973,Tatineni Rama Rao,Sobhan Babu; Krishnam Raju,7.5
Vindhyarani,1948,C. Pullaiah,Akkineni Nageswara Rao,7.5
Kula Gowravam,1972,S. S. R. Krishna,N. T. Rama Rao,7.5
Dharma Daata,1970,A. Sanjeevi,Akkineni Nageswara Rao,7.5
Oke Kutumbham,1970,A. Bhimsingh,N. T. Rama Rao,7.5
Jagamondi,1981,V. Madhusudan Rao,Shoban Babu,7.5
Brahmachari,1968,Tatineni Rama Rao,Akkineni Nageswara Rao,7.5
Pedda Akkayya,1967,B.A. Subba Rao,Haranath,7.5
Talli Prema,1941,Jyotish Sinha,C.S.R. Anjaneyulu,7.5
Rajakeeya Chadarangam,1989,A. Kodandarami Reddy,Krishna,7.5
Kula Gothralu,1961,K. Pratyagatma,Akkineni Nageswara Rao,7.5
Mantra Dandam,1951,Ardeshir Irani,N. T. Rama Rao,7.5
Muggure Mugguru,1978,S. D. Lal,Krishna,7.5
Pedda Manushulu,1999,Boyina Subba Rao,Suman Talwar,7.5
