decade,year,title_en,hero,director,tmdb_id,slug,poster_url_found,source,notes
1970s,1971,"Iddaru Ammayilu","Akkineni Nageswara Rao","Puttanna Kanagal",307469,iddaru-ammayilu-1971,,,
1970s,1971,"Varalakshmi Vratam","Krishna","B. Vittalacharya",,varalakshmi-vratam-1971,,,
1970s,1971,"Bhagyavantudu","Krishna","C. S. Rao",,bhagyavantudu-1971,,,
1970s,1971,"Pagabattina Paduchu","Anjali Devi","V. Ramachandra Rao",,pagabattina-paduchu-1971,,,
1970s,1971,"Vichithra Kutumbam","N. T. Rama Rao, Krishna, Sobhan Babu","K. S. Prakash Rao",,vichithra-kutumbam-1971,,,
1970s,1971,"Pethamdaarlu","Taraka Rama Rao Nandamuri","C. S. Rao",,pethamdaarlu-1971,,,
1970s,1971,"Kathiki Kankanam","Kanta Rao","K. S. R. Das",964105,kathiki-kankanam-1971,,,
1970s,1970,"Agni Pareeksha","Anjali Devi","K. Varaprasadarao",950158,agni-pareeksha-1970,,,
1970s,1970,"Pachhani Samsaram","Krishna","Lakshmi Deepak",,pachhani-samsaram-1970,,,
1970s,1970,"Paga Sadista","Krishna","K. S. R. Das",,paga-sadista-1970,,,
1970s,1970,"Andarki Monagadu","Krishna","M. Mallikarjuna Rao",,andarki-monagadu-1970,,,
1970s,1970,"Swapnangal","Gitanjali","P Subramaniam",950087,swapnangal-1970,,,
1970s,1970,"Desamante Manushuloyi","Sobhan Babu","Chittajallu Srinivasa Rao",395727,desamante-manushuloyi-1970,,,
1960s,1969,"Manishichina Maguva","Savitri","A. Bhimsingh",,manishichina-maguva-1969,,,
1960s,1969,"Annadammulu","Krishna","V. Ramachandra Rao",,annadammulu-1969,,,
1960s,1969,"Mamaku Tagga Kodalu","Chalam","Rao C.S.R.",,mamaku-tagga-kodalu-1969,,,
1960s,1969,"Muhrutha Balam","Jaggayya","M. Mallikharjuna Rao",,muhrutha-balam-1969,,,
1960s,1969,"Poovanam","Sobhan Babu","Shyam Benegal",,poovanam-1969,,,
1960s,1969,"Karpoora Harathi","Sobhan Babu","V. Madhusudan Rao",,karpoora-harathi-1969,,,
1960s,1969,"Saptaswaralu","Kanta Rao","Vedantam Raghavaiah",,saptaswaralu-1969,,,
1960s,1969,"Shri Rama Katha","Anjali Devi","Padmanabham",,shri-rama-katha-1969,,,
1960s,1969,"Bhale Abbailu","Krishna","P. Sambasiva Rao",,bhale-abbailu-1969,,,
1960s,1969,"Ukkupidugu","Krishna","K.S.R. Doss",,ukkupidugu-1969,,,
1960s,1969,"Astulu Anthastulu","Krishna","V. Ramachandra Rao",,astulu-anthastulu-1969,,,
1960s,1968,"Padma Shri","Akkineni Nageswara Rao","Vikram Pradhan",997298,padma-shri-1968,,,
1960s,1968,"Nadamanthrapu Siri","Haranath","T. Rama Rao",,nadamanthrapu-siri-1968,,,
1960s,1968,"Manasamsaram","Jaggayya","C.S. Rao",,manasamsaram-1968,,,
1960s,1968,"Paala Manasulu","Haranath","S.S.R. Krishna",,paala-manasulu-1968,,,
1960s,1968,"Pelliroju","Haranath","K. Sanjeevi",,pelliroju-1968,,,
1960s,1968,"Aggi Meeda Guggilam","Balakrishna","Viswanadham G.",,aggi-meeda-guggilam-1968,,,
1960s,1968,"Devadichina Bharta","Krishna","P. Padmanabham",,devadichina-bharta-1968,,,
1960s,1968,"Bhale Master","Akkineni Nageswara Rao","S.D. Lal",,bhale-master-1968,,,
1960s,1968,"Niluvu Dopidi","N.T. Rama Rao","C. S. Rao",304323,neerkimi-neervedhaptha-charithra-1968,,,
1960s,1968,"Kumkuma Barani","Krishna","M. Mallikarjuna Rao",,kumkuma-barani-1968,,,
1960s,1968,"Pedaraasi Peddamma Katha","Kanta Rao","G. Viswanatham",,pedaraasi-peddamma-katha-1968,,,
1960s,1968,"Sudigundalu","Nageshwara Rao Akkineni","Adurthi Subba Rao",315627,sudigundalu-1968,,,
1960s,1968,"Panthaalu Pattimpulu","Sobhan Babu","K.B. Tilak",,panthaalu-pattimpulu-1968,,,
1960s,1968,"Attagaru Kotha Kodalu","Krishna","Akkineni Sanjeevi Rao",,attagaru-kotha-kodalu-1968,,,
1960s,1968,"Sati Arundhati","Anjali Devi","K.V. Nandana Rao",,sati-arundhati-1968,,,
1960s,1967,"Dwapayana Kaivalyam","Tadepalli Lakshmi Kanta Rao","G.K. Brahmanandam",,dwapayana-kaivalyam-1967,,,
1960s,1967,"Poola Rangadu","Indukuri Sunil Varma","Veerabhadram Chowdary",91833,poola-rangadu-1967,,,
1960s,1967,"Veera Pooja","Kanta Rao","A.V. Seshagiri Rao",,veera-pooja-1967,,,
1960s,1967,"Shri Krishnavataram","Sobhan Babu","Kamalakara Kameshwara Rao",,shri-krishnavataram-1967,,,
1960s,1966,"Hantakulostunnaru Jagratha","Anjali Devi","S.D. Lal",,hantakulostunnaru-jagratha-1966,,,
1960s,1966,"Loguttu Perumallukeruka","Shobhan Babu","K.S.R. Doss",,loguttu-perumallukeruka-1966,,,
1960s,1966,"Shri Krishna Pandaviyam","S. Varalakshmi","N. T. Rama Rao",,shri-krishna-pandaviyam-1966,,,
1960s,1965,"Chaduvukonna Bharya","Sharada","Kadaru Nagabhushanam",,chaduvukonna-bharya-1965,,,
1960s,1965,"Sati Sakkubai","Anjali Devi","Vedantam Raghavaiah",,sati-sakkubai-1965,,,
1960s,1965,"Pratignapalana","Shobhan Babu","Rao C.S.R.",,pratignapalana-1965,,,
1960s,1964,"Peetala Meeda Pelli","Haranath","B. Bhargava Rao",,peetala-meeda-pelli-1964,,,
1960s,1964,"Pativrata","Savitri","Chitrapu Narayana Rao",,pativrata-1964,,,
1960s,1964,"Kai Koduttha Dheivam","Sivaji Ganesan","K. S. Gopalakrishnan",,kai-koduttha-dheivam-1964,,,
1960s,1963,"Guruvunu Minchina Sishyudu","Kanta Rao","B. Vittalacharya",989397,guruvunu-minchina-sishyudu-1963,,,
1960s,1963,"Bangaru Thimmaraju","N.T. Rama Rao","G. Viswanathan",,bangaru-thimmaraju-1963,,,
1960s,1963,"Deva Sundari","Prem Nazir","H.M. Reddy",,deva-sundari-1963,,,
1960s,1963,"Naga Devata (Dub)","Kanta Rao","K.S.R. Das",,naga-devata-dub-1963,,,
1960s,1962,"Madana Kamaraju Katha","Haranath","B. Vittalacharya",,madana-kamaraju-katha-1962,,,
1960s,1962,"Aasha Jeevulu","Akkineni Nageswara Rao, Jaggayya","B.S. Ranga",,aasha-jeevulu-1962,,,
1960s,1962,"Samrat Pruthviraj (Rani Samyukta)","N.T. Rama Rao","Hunsur Krishnamurthy",,samrat-pruthviraj-rani-samyukta-1962,,,
1960s,1962,"Padandi Mundhuku","Jaggayya","V. Madhusudhana Rao",,padandi-mundhuku-1962,,,
1960s,1961,"Korada Veerudu (Tamil: Chavukkadi Chandrakanta)","Kanta Rao","K.S.R. Das",,korada-veerudu-tamil-chavukkadi-chandrakanta-1961,,,
1960s,1961,"Pava Mannippu","Sivaji Ganesan","A. Bhimsingh",312490,pava-mannippu-1961,,,
1960s,1961,"Manithan Maravillai","Gemini Ganesan","M. G. Chakrapani",262339,manithan-maravillai-1961,,,
1960s,1961,"Kannyaka Parameswari Mahatmyam","S.V. Ranga Rao","H.M. Reddy",,kannyaka-parameswari-mahatmyam-1961,,,
1960s,1960,"Nithya Kalyanam Paccha Thoranam","N. T. Rama Rao","B.S. Ranga",,nithya-kalyanam-paccha-thoranam-1960,,,
1960s,1960,"Ramasundari","Ramakrishna TeluguHero","Hunsur Krishnamurthy",,ramasundari-1960,,,
1960s,1960,"Mamaku Tagga Alludu","Relangi Venkatramaiah","Vedantam Raghavaiah",,mamaku-tagga-alludu-1960,,,
1960s,1960,"Renukadevi Mahatyam","Kongara Jaggayya","K. S. Prakash Rao",288556,renukadevi-mahatyam-1960,,,
1960s,1960,"Kula Daivam","Akkineni Nageswara Rao","C.S. Rao",,kula-daivam-1960,,,
1960s,1960,"Chivarku Migiledhi","Kanta Rao","Gutha Ramineedu",,chivarku-migiledhi-1953,,,
1960s,1960,"Kanna Koothuru","N. T. Rama Rao","P.S. Ramakrishna Rao",,kanna-koothuru-1960,,,
1950s,1959,"Jaya Vijaya","Mukkamala","B. Vittalacharya",,jaya-vijaya-1959,,,
1950s,1959,"Karmika Vijayam","N. T. Rama Rao","M.A. Thirumugam",,karmika-vijayam-1959,,,
1950s,1959,"Pelli Naati Pramanalu","Nageshwara Rao Akkineni","Kadri Venkata Reddy",395741,pelli-naati-pramanalu-1959,,,
1950s,1959,"Koothuru Kaapuram","Jaggayya","Sobhanadri Rao",,koothuru-kaapuram-1959,,,
1950s,1959,"Sipayi Koothuru","Jamuna","P. Chengaiah",,sipayi-koothuru-1959,,,
1950s,1959,"Veera Bhaskarudu","N. T. Rama Rao","K. B. Nagabhushanam",,veera-bhaskarudu-1959,,,
1950s,1959,"Bhaktha Ambareesha","Kanta Rao","B.S. Ranga",,bhaktha-ambareesha-1959,,,
1950s,1958,"Sree Ramanjaneya Yuddham","N. T. Rama Rao","S. Rajinikanth",,sree-ramanjaneya-yuddham-1958,,,
1950s,1958,"Kaathavaraayan","Sivaji Ganesan","T. R. Ramanna",,kaathavaraayan-1958,,,
1950s,1958,"Parvathi Kalyanam","N. T. Rama Rao","Bhaskar Rao",,parvathi-kalyanam-1958,,,
1950s,1958,"Etthuku Pai Etthu","N. T. Rama Rao","Tapi Chanakya",,etthuku-pai-etthu-1958,,,
1950s,1958,"Ganga Gouri Samvadam","N. T. Rama Rao","C.K. Sadasivan",,ganga-gouri-samvadam-1958,,,
1950s,1958,"Padhi Bhakti","Gemini Ganesan","A. Bhimsingh",,padhi-bhakti-1958,,,
1950s,1958,"Aada Pettanam","Nageshwara Rao Akkineni","Adurthi Subba Rao",697952,women-s-authority-1958,,,
1950s,1958,"Mundhadugu","N. T. Rama Rao","K.S. Prakash Rao",302215,mundhadugu-1958,,,
1950s,1958,"Sri Krishna Garadi","N. T. Rama Rao","Y.V. Rao",,sri-krishna-garadi-1958,,,
1950s,1957,"Peddarikalu","N.T. Rama Rao, Jaggayya","Tapi Chanakya",,peddarikalu-1957,,,
1950s,1957,"Bhale Baava","Jaggayya","K.S. Prakash Rao",,bhale-baava-1957,,,
1950s,1957,"Varudu Kavali","Jaggayya","P.S. Ramakrishna Rao",,varudu-kavali-1957,,,
1950s,1957,"Vadhante Dabbu","N. T. Rama Rao","Y.R. Swamy",,vadhante-dabbu-1957,,,
1950s,1957,"Dhampathyam","Relangi","A. Narayana Rao",,dhampathyam-1957,,,
1950s,1957,"Repu Needhe","N.T. Rama Rao","K. Bhaskar Rao",,repu-needhe-1957,,,
1950s,1957,"Bhagyarekha","N.T. Rama Rao","B.N. Reddi",307748,bhagyarekha-1957,,,
1950s,1957,"Pathini Deivam","Gemini Ganesan","Chitrapu Narayana Rao",,pathini-deivam-1957,,,
1950s,1956,"Ashtaaishwaryalu","N. T. Rama Rao","E.S.N. Murthy",,ashtaaishwaryalu-1956,,,
1950s,1956,"Naga Panchami","Bijay Mohanty","Chitrapu Narayana Rao",1099893,naga-panchami-1956,,,
1950s,1956,"Harishchandra","Gopal Krishna Pillai","Antony Mitradas",,harishchandra-1956,,,
1950s,1956,"Melukolupu","N.T. Rama Rao","K.S. Prakash Rao",,melukolupu-1956,,,
1950s,1956,"Nagula Chavithi","N.T. Rama Rao","Ch. Narayana Murthy",,nagula-chavithi-1956,,,
1950s,1956,"Balasanyasamma Katha","N. T. Rama Rao","P. Pullaiah",,balasanyasamma-katha-1956,,,
1950s,1955,"Ante Kaavali","Akkineni Nageswara Rao","Vedantam Raghavayya",,ante-kaavali-1955,,,
1950s,1955,"Vadina Gari Gajulu","Akkineni Nageswara Rao","M.V. Raman",,vadina-gari-gajulu-1955,,,
1950s,1955,"Kanyadhanam","N. T. Rama Rao","Vasanthkumar Reddy",,kanyadhanam-1955,,,
1950s,1955,"Sri Jagannatha Mahatyamu","Srinadh","Katuri Mohana Rao",1146314,sri-jagannatha-mahatyamu-1955,,,
1950s,1955,"Kanyashulkam","N.T. Rama Rao","P. Pullaiah",,kanyashulkam-1955,,,
1950s,1955,"Beedhala Aasthi","Sowcar Janaki","H. M. Reddy",,beedhala-aasthi-1955,,,
1950s,1955,"Sri Krishna Thulabaram","K. Raghuramaiah","C. S. Rao",,sri-krishna-thulabaram-1955,,,
1950s,1955,"Aada Bidda","Akkineni Nageswara Rao","Adurthi Subba Rao",,aada-bidda-1955,,,
1950s,1955,"Vadina","Akkineni Nageswara Rao","M.V. Raman",,vadina-1955,,,
1950s,1954,"Palle Paduchu","N. T. Rama Rao","B.A. Subba Rao",,palle-paduchu-1954,,,
1950s,1954,"Amara Sandhesam","Amarnath","Adurthi Subba Rao",,amara-sandhesam-1954,,,
1950s,1954,"Baalanandam","Relangi","K.S. Prakash Rao",,baalanandam-1954,,,
1950s,1954,"Jatakaphalam","Akkineni Nageswara Rao","R. Nagendra Rao",,jatakaphalam-1954,,,
1950s,1954,"Sati Sakkubai","S.V. Ranga Rao","Vedantam Raghavayya",,sati-sakkubai-1954,,,
1950s,1954,"Anta Manavalle","Jaggayya","Tapi Chanakya",,anta-manavalle-1954,,,
1950s,1953,"Chivaruku Miguledhi Emi Unadhi","Akkineni Nageswara Rao","P. S. Ramakrishna Rao",,chivaruku-miguledhi-emi-unadhi-1953,,,
1950s,1953,"Poongothai","Nageshwara Rao Akkineni","L. V. Prasad",261796,poongothai-1953,,,
1950s,1953,"Pratigna","Kanta Rao","H.M. Reddy",,pratigna-1953,,,
1950s,1953,"Bratuku Theruvu","Akkineni Nageswara Rao","P. S. Ramakrishna Rao",307324,bratuku-theruvu-1953,,,
1950s,1953,"Naa Chellelu","Akkineni Nageswara Rao","P. Pullaiah",,naa-chellelu-1953,,,
1950s,1953,"Prema LekhaluDubbed from Hindi","Akkineni Nageswara Rao","P. Pullaiah",,prema-lekhaludubbed-from-hindi-1953,,,
1950s,1953,"Puttillu","Allu Rama Lingaiah","Raja Rao Garikapati",,puttillu-1953,,,
1950s,1953,"Kodarikam","Akkineni Nageswara Rao","Vedantam Raghavayya",,kodarikam-1953,,,
1950s,1952,"Kalyanam Panni Paar","Gemini Ganesan","L. V. Prasad",262420,kalyanam-panni-paar-1952,,,
1950s,1952,"Sahasam","Suman","Chandra Sekhar Yelati",,sahasam-1952,,,
1950s,1952,"Peda Raithu","N. T. Rama Rao","B.A. Subba Rao",,peda-raithu-1952,,,
1950s,1952,"Aada bratuku (1952 film)","K. Raghuramaiah","B. A. Subba Rao",1042571,aada-bratuku-1952-film-1952,,,
1950s,1952,"Chinnamma Katha","Vengala Reddy","S. V. S. Rama Rao",,chinnamma-katha-1952,,,
1950s,1952,"Maradalu Pelli","N.T. Rama Rao","M.R.V. Prasad Rao",,maradalu-pelli-1952,,,
1950s,1952,"Beedala Patlu","Padmini","K. Ramnoth",,beedala-patlu-1952,,,
1950s,1952,"Manavathi","Mukkamala","Yaragudipati Varada Rao",,manavathi-1952,,,
1950s,1952,"Shanti","Bhavana","Baraguru Ramachandrappa",369567,shanti-1952,,,
1950s,1952,"Adarsham","Savitri","Hanumappa Vishwanath Babu",,adarsham-1952,,,
1950s,1951,"Perantalu","Akkineni Nageswara Rao","T. Janaki Ram",,perantalu-1951,,,
1950s,1951,"Mangala","N. T. Rama Rao","S. S. Vasan",,mangala-1951,,,
1950s,1951,"Chandravanka","N.T. Rama Rao","V. Nagayya",,chandravanka-1951,,,
1950s,1951,"Aada Janma","Akkineni Nageswara Rao","G.R. Rao",,aada-janma-1951,,,
1950s,1951,"Navvithe Navaratnalu","P. S. Rama Krishna Rao","S. Soundararajan",,navvithe-navaratnalu-1951,,,
1950s,1951,"Rupavathi","Akkineni Nageswara Rao","Ellis R. Dungan",,rupavathi-1951,,,
1950s,1951,"Aakasa Raju","Akkineni Nageswara Rao","Ghantasala Balaramayya",,aakasa-raju-1951,,,
1950s,1951,"Or Iravu","K. R. Ramaswamy","P. Neelakantan",322714,or-iravu-1951,,,
1950s,1951,"Agni Pareeksha","Amol Palekar","Kamal Majumdar",,agni-pareeksha-1951,,,
1950s,1951,"Penkipilla","N. T. Rama Rao","C. Pullaiah",,penkipilla-1951,,,
1950s,1950,"Aahuti","Shashi Kapoor","Ashok V. Bhushan",,aahuti-1950,,,
1950s,1950,"Adhrusta Deepudu","Akkineni Nageswara Rao","T. R. Sundaram",,adhrusta-deepudu-1950,,,
1950s,1950,"Sri Saibaba","N.T. Rama Rao","P. Pullaiah",,sri-saibaba-1950,,,
1950s,1950,"Modhati Rathri","G. Varalakshmi","K. S. Prakash Rao",,modhati-rathri-1950,,,
1950s,1950,"Vaali – Sugreeva","N. T. Rama Rao","B.S. Ranga",,vaali-sugreeva-1950,,,
1950s,1950,"Beedala Patlu","Chittoor V. Nagayya","K. Ramnoth",563383,beedala-patlu-1950,,,
1950s,1950,"Thirugubatu","C. H. Narayana Rao","P. Pullaiah",,thirugubatu-1950,,,
1940s,1949,"Abhisyanta Kalapam","Akkineni Nageswara Rao","N. Sankara Rao",,abhisyanta-kalapam-1949,,,
1940s,1949,"Dharmangadha","N. T. Rama Rao","P. Pullaiah",,dharmangadha-1949,,,
1940s,1948,"Vindhyarani","Akkineni Nageswara Rao","C. Pullaiah",,vindhyarani-1948,,,
1940s,1947,"Varudhini","S. V. Ranga Rao","B.V. Ramanandam",,varudhini-1947,,,
1940s,1946,"Bhakta Tulasidas","Honnavar","R. S. Prakash",,bhakta-tulasidas-1946,,,
1940s,1946,"Griha Pravesam","L.V. Prasad","L.V. Prasad",,griha-pravesam-1946,,,
1940s,1946,"Narada Naradhi","Akkineni Nageswara Rao","S. D. S. Yogiyar",,narada-naradhi-1946,,,
1940s,1946,"Vanarani","Kasturi Siva Rao","C.S. Rao",,vanarani-1946,,,
1940s,1945,"Returning Soldier","Jaggayya","P. Pullaiah",,returning-soldier-1945,,,
1940s,1944,"Oka Roju Raju","Raja Babu","L.V. Prasad",,oka-roju-raju-1944,,,
1940s,1944,"Samsara Naradhi","C.S.R. Anjaneyulu","K.B. Nagabhushanam",,samsara-naradhi-1944,,,
1940s,1944,"Bhakta Kabiru","Chittoor V. Nagaiah","R. Nagendra Rao",,bhakta-kabiru-1944,,,
1940s,1943,"Bhakta Kabiru","Chittor V. Nagaiah","R. S. Prakash",,bhakta-kabiru-1943,,,
1940s,1943,"Pantulamma","Mudigonda Lingamurthy","Y.V. Rao",,pantulamma-1943,,,
1940s,1943,"Panthulamma","Yaragudipati Venkata Mahalakshmi","Singeetam Srinivasa Rao",,panthulamma-1943,,,
1940s,1942,"Satyame Jayam","V. Nagayya","A.S.A. Sami",,satyame-jayam-1942,,,
1940s,1942,"Shanta Bala Nagamma","M. Krishna Rao","S. V. S. Rama Rao",307393,shanta-bala-nagamma-1942,,,
1940s,1942,"Deena Bandhu","V. Nagayya","V. Nagayya",,deena-bandhu-1942,,,
1940s,1941,"Dharmapatni","Suman","T. L. V. Prasad",,dharmapatni-1941,,,
1940s,1941,"Tarumaru","Ramakrishna Sastry","N.D. Vijayababu",,tarumaru-1941,,,
1940s,1941,"Tara Sasankam","Akkineni Nageswara Rao","Chittajallu Pullaiah",,tara-sasankam-1941,,,
1940s,1941,"Parvati Kalyanam","C.S.R. Anjaneyulu","Ghantasala Balaramayya",,parvati-kalyanam-1941,,,
1940s,1940,"Bhoja Kalidasu","V. Nagayya","H. S. Das",,bhoja-kalidasu-1940,,,
1940s,1940,"Chaduvukunna Bharya","V. Nagayya","L. V. Prasad",,chaduvukunna-bharya-1940,,,
1940s,1940,"Bondam Pelli","V. Nagayya","Gudavalli Ramabrahmam",,bondam-pelli-1940,,,
1930s,1936,"Sati Tulasi","Sriranjani","Chitrapu Narasimha Rao",,sati-tulasi-1936,,,
