decade,year,title_en,hero,director,tmdb_id,slug,poster_url_found,source,notes
1990s,1990,"Yamadharma Raju","Krishnam Raju","Narasimha Rao Relangi",1205625,yamadharma-raju-1990,,,
1990s,1990,"Doshi Nirdoshi","Sobhan Babu","Y Nageswara Rao",1133839,doshi-nirdoshi-1990,,,
1990s,1990,"Majboor","Amitabh Bachchan","Ravi Tandon",499666,majboor-1990,,,
1990s,1990,"Manasu Mamata","V.K. Naresh","Mouli",1146308,manasu-mamata-1990,,,
1990s,1990,"Police Bharya","Naresh","Narasimha Rao Relangi",1063004,police-bharya-1990,,,
1990s,1990,"Justice Rudramadevi","Jaya Prada","Kurra Ranga Rao",935335,justice-rudramadevi-1990,,,
1990s,1990,"Rajasekhar","Rajasekhar","K. S. Prakash Rao",1324326,rajasekhar-1990,,,
1990s,1990,"Mahajananiki Maradalu Pilla","Brahmanandam","Vallabhaneni Janardhan",676783,mahajananiki-maradalu-pilla-1990,,,
1980s,1989,"Anna Chellalu","Sobhan Babu","Ravi Raja Pinisetty",1205621,anna-chellalu-1989,,,
1980s,1989,"Parthudu","Krishna","K.S.R. Das",1324331,parthudu-1989,,,
1980s,1989,"Jayamu Nischayamu Raa","Rajendra Prasad","Jandhyala",313935,jayamu-nischayamu-raa-1989,,,
1980s,1989,"Manchu Kutumbam","Rajendra Prasad","Relangi Narasimha Rao",1205622,manchu-kutumbam-1989,,,
1980s,1989,"Preminchi Choodu","Akkineni Nageswara Rao","P. Pullaiah",77081,preminchi-choodu-1989,,,
1980s,1989,"Srirama Chandrudu","Krishnan","Deva Das Kanakala",433397,srirama-chandrudu-1989,,,
1980s,1989,"Poola Rangadu","Indukuri Sunil Varma","Veerabhadram Chowdary",91833,poola-rangadu-1989,,,
1980s,1989,"Bharata Nari","Vijayshanti","Muthyala Subbaiah",1205620,bharata-nari-1989,,,
1980s,1989,"Yamapaasam","Rajasekhar","A. Kodandarami Reddy",1205623,yamapaasam-1989,,,
1980s,1988,"Antima Theerpu","Sumalata","Joshiy",278161,antima-theerpu-1988,,,
1980s,1988,"Bharya Bhartala Bhagotham","Rajendra Prasad","Mahesh Kumar Malani",677024,bharya-bhartala-bhagotham-1988,,,
1980s,1988,"Anthima Theerpu","Krishnam Raju","Joshiy",278155,anthima-theerpu-1988,,,
1980s,1988,"Jeevana Ganga","Rajendra Prasad","T. S. B. K. Moulee",433400,jeevana-ganga-1988,,,
1980s,1988,"Thodallullu","Rajendra Prasad","Relangi Narasimha Rao",707778,thodallullu-1988,,,
1980s,1988,"Dorakani Donga","Mohan Babu","K.S.R. Doss",137382,dorakani-donga-1988,,,
1980s,1987,"Kaboye Alludu","Rajendra Prasad","Relangi Narasimha Rao",1602920,kaboye-alludu-1987,,,
1980s,1987,"Nakoo Pellam Kavali","Rajendra Prasad","Vijaya Bapineedu",677020,nakoo-pellam-kavali-1987,,,
1980s,1987,"Naku Pellam Kavali","Rajendra Prasad","Vijaya Bapineedu",1312522,naku-pellam-kavali-1987,,,
1980s,1987,"Allari Krishnaiah","Nandamuri Balakrishna","Nandamuri Ramesh",695894,allari-krishnaiah-1987,,,
1980s,1987,"Brahma Nayudu","Krishna","Dasari Narayana Rao",137391,brahma-nayudu-1987,,,
1980s,1987,"Prema Samrat","Kamal Haasan","Mohan Gandhi",1229856,prema-samrat-1987,,,
1980s,1987,"Maa Ooru","Rajendra Prasad","B. Narsing Rao",625887,maa-ooru-1987,,,
1980s,1986,"Sita Rama Kalyanam","Nandamuri Balakrishna","Jandhyala Subramanya Sastry",1262244,sita-rama-kalyanam-1986,,,
1980s,1986,"Naa Pilupe Prabahanajam","Krishna","P. Chandrasekhara Reddy",137405,naa-pilupe-prabahanajam-1986,,,
1980s,1986,"Padaharella Ammayi","Rajendra Prasad","P.S. Krishna Mohan Reddy",1116120,padaharella-ammayi-1986,,,
1980s,1986,"Seetarama Kalyanam","Nandamuri Balakrishna","Jandhyala",441416,seetarama-kalyanam-1986,,,
1980s,1986,"Anasuyamma Gari Alludu","Nandamuri Balakrishna","A. Kodandarami Reddy",695754,anasuyamma-gari-alludu-1986,,,
1980s,1986,"Desoddarakudu","Balakrishna","S.S. Ravichandra",1612111,desoddarakudu-1986,,,
1980s,1986,"Sakkanodu","Suman","B. Bhaskara Rao",137402,sakkanodu-1986,,,
1980s,1986,"Kashmora","Rajendra Prasad","N. B. Chakravarthy",371420,kashmora-1986,,,
1980s,1986,"Samsaram O Sangeetham","Chandramohan","Narasimha Rao Relangi",995309,samsaram-o-sangeetham-1986,,,
1980s,1985,"Andharikante Monagadu","Arjun Sarja","T. L. V. Prasad",1041161,andharikante-monagadu-1985,,,
1980s,1985,"Manthra Dandam","Unknown","K. Murali Mohan",1116124,manthra-dandam-1985,,,
1980s,1985,"Kattula Kondaiah","Kaikala Satyanarayana","S.B. Chakravarthy",1612108,kattula-kondaiah-1985,,,
1980s,1985,"Palnati Simham","Krishna Ghattamaneni","Kodanda Rami Reddy A.",434440,palnati-simham-1985,,,
1980s,1985,"Jwaala","Chiranjeevi","Ravi Raja Pinisetty",911908,jwaala-1985,,,
1980s,1985,"Atmabhalam","Nandamuri Balakrishna","Tatineni Prasad",441019,atmabhalam-1985,,,
1980s,1985,"Dongala Vetagadu","Krishna","K. Raghavendra Rao",1116126,dongala-vetagadu-1985,,,
1980s,1985,"Srivari Shobanam","Naresh","Jandhyala",434547,srivari-shobanam-1985,,,
1980s,1984,"Kurra Cheshtalu","Rajendra Prasad","B. V. Prasad",505885,kurra-cheshtalu-1984,,,
1980s,1984,"Bangaru Kapuram","Krishna Ghattamaneni","P. Chandrasekhara Reddy",505875,bangaru-kapuram-1984,,,
1980s,1984,"Uddhandudu","Krishna","P. Sambasiva Rao",1041163,uddhandudu-1984,,,
1980s,1984,"Adarshavanthudu","Akkineni Nageswara Rao","Kodi Ramakrishna",505885,adarshavanthudu-1984,,,
1980s,1984,"Railu Dopidi","Naresh","A. Kodandarami Reddy",505885,railu-dopidi-1984,,,
1980s,1984,"Kotha Dampathulu","Naresh","K. Vasu",505885,kotha-dampathulu-1984,,,
1980s,1984,"Aadadhi Visirina Savaal","Vijayalalitha","K. S. R. Das (Screenplay/Direction)",1116128,aadadhi-visirina-savaal-1984,,,
1980s,1984,"Kutumba Gowaravam","Arun Kumar","K. Vasu",505885,kutumba-gowaravam-1984,,,
1980s,1984,"Kirai Alludu","Krishna","M. Balaiah",434444,kirai-alludu-1984,,,
1980s,1984,"Pulijoodam","Krishna","P. Chandrasekhara Reddy",505885,pulijoodam-1984,,,
1980s,1984,"Veerabhadrudu","Krishnam Raju","A Kodandarami Reddy",505885,veerabhadrudu-1984,,,
1980s,1984,"Yama Doothalu","Rajendra Prasad","P. Chandrasekhara Reddy",505885,yama-doothalu-1984,,,
1980s,1984,"Raga Bandham","Suman","Bapu",505885,raga-bandham-1984,,,
1980s,1984,"Dandayatra","Jayasudha","K. Bapaiah",248236,dandayatra-1984,,,
1980s,1984,"Sadma","Sridevi","Balu Mahendra",54357,sadma-1984,,,
1980s,1984,"Rajahmundry Rome","Chandra Mohan","V. Madhusudhan Rao",505885,rajahmundry-rome-1984,,,
1980s,1984,"Kurukshetramlo Sita","Mohan Babu","B. V. Prasad",1116129,kurukshetramlo-sita-1984,,,
1980s,1984,"Devalayam","Krishnam Raju","K. Vasu",505885,devalayam-1984,,,
1980s,1984,"Rachayitri","Bhanu Chander","K. Vasu",,rachayitri-1984,,,
1980s,1984,"Merupu Daadi","Silk Smitha","P. N. Ramachandra Rao",,merupu-daadi-1984,,,
1980s,1984,"Janam Manam","Gummadi Venkateswara Rao","Mohan Gandhi",505885,janam-manam-1984,,,
1980s,1983,"Magallako Namaskaram","Chandra Mohan","Bhavaniprasad",1116138,magallako-namaskaram-1983,,,
1980s,1983,"Bharya Bharthala Sawal","Mohan Babu","P. Chandrasekhara Reddy",1116140,bharya-bharthala-sawal-1983,,,
1980s,1983,"Kanne Donga","Krishna","A. Kodandarami Reddy",434446,kanne-donga-1983,,,
1980s,1983,"Kanthaiyya Kanakaiyya","Suman","K. Vasu",,kanthaiyya-kanakaiyya-1983,,,
1980s,1983,"Debbaku Debba","Radha","S.P. Muthuraman",1116130,debbaku-debba-1983,,,
1980s,1983,"Kaliyuga Dhaivam","Ramakrishna, Sarath Babu","M. Rosi Raju",,kaliyuga-dhaivam-1983,,,
1980s,1983,"Iddaru Kiladeelu","Jayasudha","Narasimha Rao Relangi",,iddaru-kiladeelu-1983,,,
1980s,1983,"Digivachina Devudu","Lokesh","K. Vasu",,digivachina-devudu-1983,,,
1980s,1983,"Raju Rani Jocky","Chandra Mohan","Singeetam Srinivasa Rao",112465,raju-rani-jocky-1983,,,
1980s,1983,"Kalyana Veena","Kamal Haasan","K. Shankar",,kalyana-veena-1983,,,
1980s,1983,"Desanikokkadu","Krishna","K. S. R. Das",434445,desanikokkadu-1983,,,
1980s,1983,"Devi Kanaykumari","Krishnam Raju","K. Shankar",,devi-kanaykumari-1983,,,
1980s,1983,"Kasi Yatra","Akkineni Nageswara Rao","K. Vasu",,kasi-yatra-1983,,,
1980s,1983,"Pelli Chesi Choopistham","Chandra Mohan","N. A. Pendyala",1205629,pelli-chesi-choopistham-1983,,,
1980s,1983,"Praja Shakthi","Krishnam Raju","Krasna",,praja-shakthi-1983,,,
1980s,1983,"Maharani (Tamil Dubbed Nayakkarin Magal 1982)","Sivaji Ganesan","K. S. Gopalakrishnan",,maharani-tamil-dubbed-nayakkarin-magal-1982-1983,,,
1980s,1983,"Kunkuma Tilakam","Rajendra Prasad","Bhargava",,kunkuma-tilakam-1983,,,
