slug,title_en,year,hero,director,title_te
rowdy-alludu-1991,"Rowdy Alludu",1991,"Chiranjeevi","K. Raghavendra Rao",
rowdy-gari-pellam-1991,"Rowdy Gari Pellam",1991,"Shobana","K. S. Prakash Rao",
seetharamaiah-gari-manavaralu-1991,"Seetharamaiah Gari Manavaralu",1991,"Akkineni Nageswara Rao","Kranthi Kumar",
seetharamayya-gari-manavaralu-1991,"Seetharamayya Gari Manavaralu",1991,"Akkineni Nageswara Rao","Kranthi Kumar",
shatruvu-1991,"Shatruvu",1991,"Daggubati Venkatesh","Kodi Ramakrishna",
sri-edukondala-swaami-1991,"Sri Edukondala Swaami",1991,"Arun Govil","Kamalakara Kameswara Rao",
stuartpuram-police-station-1991,"Stuartpuram Police Station",1991,"Chiranjeevi","Yandamoori Veerendranath",
stuvartpuram-dongalu-1991,"Stuvartpuram Dongalu",1991,"Bhanu Chander","Malineni Lakshman",
surya-ips-1991,"Surya IPS",1991,"Daggubati Venkatesh","A. Kodandarami Reddy",
talli-tandrulu-1991,"Talli Tandrulu",1991,"Nandamuri Balakrishna","Rama Rao Tatineni",
teneteega-1991,"Teneteega",1991,"Rajendra Prasad","M. Nanda Kumar",
vichitra-prema-1991,"Vichitra Prema",1991,"Naresh","A. Kodandarami Reddy",
yerra-mandaram-1991,"Yerra Mandaram",1991,"Rajendra Prasad","Muthyala Subbaiah",
yugantam-1991,"Yugantam",1991,"Murali Mohan","S. B. Chakravarthy",
20va-sathabdam-1990,"20va Sathabdam",1990,"Suman Talwar","Kodi Ramakrishna",
20va-shatabdam-1990,"20va Shatabdam",1990,"Suman","Kodi Ramakrishna",
aayudham-1990,"Aayudham",1990,"Krishna","Kodi Ramakrishna",
abhisarika-1990,"Abhisarika",1990,"Naresh","Muthyala Subbaiah",
adavi-diviteelu-1990,"Adavi Diviteelu",1990,"Akkineni Nageswara Rao","Ravi Raja Pinisetty",
aggiramudu-1990,"Aggiramudu",1990,"Daggubati Venkatesh","S S Ravichandra",
agni-pravesam-1990,"Agni Pravesam",1990,"Sivaji Raja","Yandamoori",
agni-sakshi-1990,"Agni Sakshi",1990,"Jackie Shroff","Ramesh Sippy",
alludugaru-1990,"Alludugaru",1990,"Mohan Babu","K Raghavendra Rao",
anjali-1990,"Anjali",1990,"Raghuvaran","Mani Ratnam",
ankitham-1990,"Ankitham",1990,"Sarath Babu","A. Kodandarami Reddy",
anna-thammudu-1990,"Anna Thammudu",1990,"Krishna","Krishna",
balachandrudu-1990,"Balachandrudu",1990,"Krishna","Krishna",
chevilo-puvvu-1990,"Chevilo Puvvu",1990,"Brahmanandam","E. V. V. Satyanarayana",
chinna-kodalu-1990,"Chinna Kodalu",1990,"Naresh","A. Kodandarami Reddy",
chinnari-muddula-papa-1990,"Chinnari Muddula Papa",1990,"Ntr","Vaasi Reddy",
