Actor,Movie,Correct Role,Status,Message
"pawan kalyan","Teen Maar","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Gabbar Singh","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Atharintiki Daaredi","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Gopala Gopala","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Sardar Gabbar Singh","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Katamarayudu","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Agnyaathavaasi","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Vakeel Saab","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Bheemla Nayak","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Chal Mohan Ranga","producer","fixed","Moved from supporting_cast to producer"
"pawan kalyan","Sye Raa Narasimha Reddy","narrator","fixed","Moved from supporting_cast to narrator"
"pawan kalyan","Panjaa","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Hari Hara Veera Mallu: Part 1 – Sword vs Spirit","hero","fixed","Moved from supporting_cast to hero"
"prabhu deva","Mouna Raagam","cameo","not_found","Movie not found in database"
"pushpavalli","Chenchu Lakshmi","heroine","fixed","Moved from supporting_cast to heroine"
"raasi","Rao Gari Illu","child_artist","fixed","Moved from supporting_cast to child_artist"
"raasi","Aditya 369","child_artist","fixed","Moved from supporting_cast to child_artist"
"raasi","Palnati Pourusham","heroine","fixed","Moved from supporting_cast to heroine"
"raasi","Postman","heroine","fixed","Moved from supporting_cast to heroine"
"raasi","Maa Aavida Meeda Ottu Mee Aavida Chala Manchidi","heroine","fixed","Moved from supporting_cast to heroine"
"raasi","Venky","cameo","fixed","Moved from supporting_cast to cameo"
"raja","O Chinnadana","hero","fixed","Moved from supporting_cast to hero"
"raja","Vijayam","hero","fixed","Moved from supporting_cast to hero"
"raja","Anand","hero","already_correct","Already in hero field"
"raja","Vennela","hero","fixed","Moved from supporting_cast to hero"
"raja","Toss","hero","fixed","Moved from supporting_cast to hero"
"raja","Sontha ooru","hero","fixed","Moved from supporting_cast to hero"
"raja","Inkosaari","hero","fixed","Moved from supporting_cast to hero"
"rajendra prasad","Kashmora","hero","fixed","Moved from supporting_cast to hero"
"rajendra prasad","Samsaram","hero","fixed","Moved from supporting_cast to hero"
"rajendra prasad","Bandhuvulostunnaru Jagratha","hero","fixed","Moved from supporting_cast to hero"
