id,slug,title_en,release_year,field,db_value,consensus_value,confidence,sources_agree,sources_disagree,anomaly_type,auto_fixable
122cb544-1f3b-41e6-97b9-2726c09591a2,"roberrt-2021","Roberrt",2021,hero,"Jagapathi Babu","Darshan Thoogudeepa Srinivas",0.98,"tmdb,letterboxd","",WRONG,true
122cb544-1f3b-41e6-97b9-2726c09591a2,"roberrt-2021","Roberrt",2021,heroine,"Sonal Monteiro","",0.40,"","tmdb,letterboxd",CONFLICT,false
122cb544-1f3b-41e6-97b9-2726c09591a2,"roberrt-2021","Roberrt",2021,cinematographer,"","Sudhakar S Raj",0.64,"tmdb","",MISSING,false
122cb544-1f3b-41e6-97b9-2726c09591a2,"roberrt-2021","Roberrt",2021,editor,"","M. Raju Reddy",0.64,"tmdb","",MISSING,false
122cb544-1f3b-41e6-97b9-2726c09591a2,"roberrt-2021","Roberrt",2021,writer,"","Tharun Sudhir",0.64,"tmdb","",MISSING,false
1a875f10-3238-4b42-a00f-8830efd3ca37,"uppukandam-brothers-back-in-action-2011","Uppukandam Brothers Back In Action",2011,heroine,"Vani Viswanath","",0.40,"","tmdb,letterboxd",CONFLICT,false
decd57fe-3ad2-44c8-be73-a5c8c8e81e63,"1st-iifa-utsavam-2015","1st IIFA Utsavam",2015,writer,"","James Huang",0.64,"tmdb","",MISSING,false
6f8c17b2-9553-422a-bbb6-3858a1629e97,"agni-jwala-1983","Agni Jwala",1983,hero,"Mohan Babu","Vijayakanth",0.71,"tmdb","",WRONG,false
6f8c17b2-9553-422a-bbb6-3858a1629e97,"agni-jwala-1983","Agni Jwala",1983,heroine,"Radha","Isha Koppikar",0.71,"tmdb","",WRONG,false
6f8c17b2-9553-422a-bbb6-3858a1629e97,"agni-jwala-1983","Agni Jwala",1983,director,"K. Raghavendra Rao","Tirupathi Swamy",0.71,"tmdb","",WRONG,false
6f8c17b2-9553-422a-bbb6-3858a1629e97,"agni-jwala-1983","Agni Jwala",1983,cinematographer,"","S. K. Boopathy",0.64,"tmdb","",MISSING,false
6f8c17b2-9553-422a-bbb6-3858a1629e97,"agni-jwala-1983","Agni Jwala",1983,editor,"","Saleem",0.64,"tmdb","",MISSING,false
6f8c17b2-9553-422a-bbb6-3858a1629e97,"agni-jwala-1983","Agni Jwala",1983,writer,"","Kabilan",0.64,"tmdb","",MISSING,false
89f7128d-d86e-4396-a9e9-c95e9cee716f,"sanchalanam-2011","Sanchalanam",2011,hero,"Kamalakar","Elias Koteas",0.71,"tmdb","",WRONG,false
