"Actor","Wikipedia Title","Wikipedia Year","Role","Verification Status","DB Title (EN)","DB Title (TE)","DB Year","Match Score","DB Movie ID","Action Required"
"kanchana","Teen Bahuraniyan","1968","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Samaj Ko Badal Dalo","1970","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanta rao","Sree Guruvayoorappan","1972","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanta rao","Devi Kanyakumari","1974","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanta rao","Alakh Niranjan","1975","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Alaigal Oivathillai","1981","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Rajathanthiram","1984","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Nalla Thambi","1985","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Dharma Pathini","1986","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Raja Mariyadhai","1987","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Solla Thudikuthu Manasu","1988","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Varusham Padhinaaru","1989","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Idhaya Thamarai","1990","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Vanakkam Vathiyare","1991","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Amaran","1992","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Chinna Kannamma","1993","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Seeman","1994","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Kizhakku Mugam","1996","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Sishya","1997","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Udhavikku Varalaamaa","1998","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Thai Poranthachu","2000","Guest appearance (Cameo)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Ullam Kollai Poguthae","2001","Guest appearance (Cameo)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Devan","2002","Guest appearance (Cameo)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Kusthi","2006","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Kalakkura Chandru","2007","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Maanja Velu","2010","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Puli Vesham","2011","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Dev","2019","Guest appearance (Cameo)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Thee Ivan","2023","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Andhagan","2024","Guest appearance (Cameo)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Abhinandana","1988","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Amaran","1992","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Suyamariyadhai","1992","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Chinna Jameen","1993","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Sishya","1997","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Pistha","1997","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"karthik","Pooveli","1998","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Ulagam Sutrum Valiban","1973","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
