ID,Slug,Title,Year,Director,Hero,Heroine,Music_Director
17d42f35-1ac1-47c3-8160-e0fc036abf2d,choosinodiki-choosinanta-2014,"Choosinodiki Choosinanta",2014,"Anil Kumar","Sivaji","Nagalakshmi",
48cd41ce-bdab-4e2e-b69c-908da6dbc187,entertainment-2014,"Entertainment",2014,"Kanta Tagawa","Kinzō Sakura",,
75859c76-f722-41a6-9ad1-b2623e43ee74,vichakshana-2014,"Vichakshana",2014,"B.S. Rao","Harsha","Swathi",
31534e0c-d72b-4ccb-a46b-f94cd0414b5f,bunny-n-cherry-2013,"Bunny N Cherry",2013,"Rajesh Puli","Prince","Mahat Raghavendra",
2cf59c3d-815b-4130-a375-1c751a552d7f,kharjooram-2013,"Kharjooram",2013,"N.R. Reddy","Sridhar","Nikitha",
502ce22c-d7e2-4a27-935a-3971146d94df,man-of-the-match-2013,"Man Of The Match",2013,"P. A. Arun Prasad","Sagar","Mrudula Murali",
c6dbeab0-478d-4e9d-bd12-45c7eaffb32d,pavithra-2013,"Pavithra",2013,"Janardhana Maharshi","Shri","Bhavana",
eefe88ef-b9cc-4d31-bc75-eda3f076c633,akash-2012,"Akash",2012,"Raj Kandukuri","Akash","Jyothi",
812cd782-17bd-4abe-8194-3b38833299d5,kulu-manali-2012,"Kulu Manali",2012,"Sathish Vegesna","Vimal Raman","Samiksha",
41b60539-c6d7-4144-94a3-24a94d568a9e,ch-ravi-kishore-babu-2018,"Mithunam",2012,"Tanikella Bharani","S. P. Balasubrahmanyam","Lakshmi",
f76f6136-a9aa-4669-a125-6cf7ab8044e8,rasaleela-2012,"Rasaleela",2012,"Majeed Maranchery","Darshan","Prathishta",
a16a8e76-c252-44a1-b507-67d8c940e213,sangolli-rayanna-2012,"Sangolli Rayanna",2012,"Naganna","Darshan","Jaya Prada",
59f04365-857c-4407-9fad-28d4f4837aac,uu-kodathara-ulikki-padathara-2012,"Uu Kodathara Ulikki Padathara",2012,"Sekhar Raja","Manchu Manoj","Deeksha Seth",
01a6f455-21ba-4559-be6d-0df444d63a12,bhale-mogudu-bhale-pellam-2011,"Bhale Mogudu Bhale Pellam",2011,"Dinesh Babu","Raghu Babu","Harshavardhan",
5cd8b5da-c6cc-4acc-822a-361acc6e6803,kalabha-mazha-2011,"Kalabha Mazha",2011,"P. Bhaskaran","Sreejith Vijay","Devika",
cf61ae07-95e8-4f44-8bb0-b71f1c3d01b1,karalu-miriyalu-2011,"Karalu Miriyalu",2011,"Ramesh Prasad","Sai Kiran","Roja",
7ab6b306-b56b-4845-80a6-fe50497e80ff,kodipunju-2011,"Kodipunju",2011,"B. V. V. Choudary","Tanish","Anchal",
e108b77b-eaf0-4f70-ae70-eec5c5e256e9,madatha-kaaja-2011,"Madatha Kaaja",2011,"Seetaramaraju Dantuluri","Allari Naresh","Sneha Ullal",
c1533996-8bec-4ce4-a0aa-588d2638c41b,thimmaraju-2011,"Thimmaraju",2011,"Vijay Krishna","Sai Kumar","Bhanu Sri Mehra",
04023c6d-28b3-4477-b350-1ce943a9cbcd,anaganaga-oka-aranyam-2010,"Anaganaga Oka Aranyam",2010,"G. Shekhar Chandra","Kaushal","Srirekha",
d44e9c68-fbdf-40b2-a1b7-e14626e019f8,aunty-uncle-nandagopal-2010,"Aunty Uncle Nandagopal",2010,"Satyam","Srikanth","Meera Jasmine",
bb35eb63-49c4-42aa-a405-7ca08b8a813d,betting-bangaraju-2010,"Betting Bangaraju",2010,"E. Sattibabu","Allari Naresh","Nidhi Subbaiah",
07dccfcb-1c24-4287-a7fe-7d258d29ed3b,bhairava-ips-2010,"Bhairava Ips",2010,"Polur Ghatikachalam","Srihari","Mumaith Khan",
65a55de8-df97-48e9-a59e-68be89624bf6,chalaki-2010,"Chalaki",2010,"M. Mahadev","Sai Ram Shankar","Roma",
1616028d-9e29-4a25-9470-f01ba17d79a5,em-pillo-em-pillado-2010,"Em Pillo Em Pillado",2010,"A. S. Ravikumar Chowdary","Tanish","Pranitha",
b9658c6c-b2b2-4101-8b1d-6d583eeac118,my-name-is-amrutha-2010,"My Name Is Amrutha",2010,"Venkat Gouni","Bhanuchander","Keerthi",
42c05bd4-bd8e-4138-bb76-b60b35003057,prema-rajyam-2010,"Prema Rajyam",2010,"Moolapati","Ramkiran","Meerakrishna",
ecf16f8f-b7fc-46fb-89a7-ea807b8b3e37,sandadi-2010,"Sandadi",2010,"Jagadish","Raja","Ghazal Thakur",
068a1a2d-d1fa-497d-abd7-27cb9caea0ad,udatha-udatha-ooch-2010,"Udatha Udatha Ooch",2010,"Murali Ganesh","Chitram Seenu","Akshay",
9a6979f0-0433-47f4-a641-a3aa3c715e89,indira-vizha-2009,"Indira Vizha",2009,"K. Rajeswar","Srikanth","Namitha",
699f91f3-7883-479d-a0e8-f736bcb98ca0,mental-krishna-2009,"Mental Krishna",2009,"Posani Krishna Murali","Posani Krishna Murali","Satya Krishnan",
9b4132f0-deba-45cb-80b6-508b68027afc,sontha-ooru-2009,"Sontha ooru",2009,"P. Sunil Kumar Reddy","Raja","Thirtha",
6e24e19e-d2de-406f-bbc4-ba07cff01d8e,abbo-aadavallu-2008,"Abbo Aadavallu",2008,"T.N. Raju","Sailesh","Vanitha Reddy",
7f5b0d57-d9b5-41ef-a7ad-c76089b266e1,adhyakshaa-2008,"Adhyakshaa",2008,"Marudhuri Raja","Brahmaji","Aishwarya",
3f9ce086-d6a5-4781-9cc4-566bbcefef84,bhadradri-2008,"Bhadradri",2008,"Mallikarjun","Srihari","Gajala",
916f04d4-0581-4093-bc41-edc3324114ad,buddha-2008,"Buddha",2008,"Prakash","Suresh Gopi","Anu Emmanuel",
1d75eca0-943b-463f-b910-5882705d5172,call-center-2008,"Call Center",2008,"Kanmani","Vamsi Krishna","Luna Seid",
5a955029-14ce-41fa-9214-37cad81b236b,gunde-jallumandi-2008,"Gunde Jallumandi",2008,"Madan","Uday Kiran","Aditi Sharma",
32836bf9-8580-4b66-b3b1-d83d3578becf,highway-2008,"Highway",2008,"Kovvi Kalya Krishna","Aditya Om","Vedika",
0460713f-881f-4191-bcbf-7d3558ba549f,konchem-kothaga-2008,"Konchem Kothaga",2008,"Raju Rajendra Prasad","Venkat","Tulip Joshi",
acfaa5bb-af3c-448d-81fc-22836c803a5d,kshudra-2008,"Kshudra",2008,"Nagul","Satya Prakash","Ramya Krishnan",
e03abbf0-7a48-4b11-8445-9146de60c25f,premabandham-2008,"Premabandham",2008,"Siva Nagu","Varun Sandesh","Pavani",
155b24a7-63df-4c20-90a8-46eab4411148,ullasanga-utsahanga-2008,"Ullasanga Utsahanga",2008,"A. Karunakaran","Yasho Sagar","Sneha Ullal",
06778b0d-6d7b-4757-b445-37bdc25cf9ab,amma-nanna-lekunte-2007,"Amma Nanna Lekunte",2007,"Y. Ramakrishna","Krishna","Sujitha",
1fa282bc-edcb-4f29-af35-389358bda5a1,bhajantrilu-2007,"Bhajantrilu",2007,"M. S. Narayana","Sivaji","Raasi",
0b4ade97-0e2f-47b2-9eff-f4552ddc630f,daughters-destiny-2007,"Daughters' Destiny",2007,"May Gauffin","Anita Khadka Karki","Thuli Maya",
92be9ad7-8eae-4679-91a0-20762603197e,deha-2007,"Deha",2007,"Mahesh Manjrekar","Mahesh Manjrekar","Amrita Arora",
6dca1a30-1bc2-4f43-879c-70eacfd6720b,shirdi-2007,"Shirdi Sai Baba",2007,"V. R. Pratap","Krishna","Suhasini",
e5305244-d92d-4386-8843-15da51f65022,sunny-2007,"Sunny",2007,"Kamalakar","Kamalakar","Abhirami",
d2f8459d-d2f8-4405-812d-7f7b17c966ab,abhaddam-2006,"Abhaddam",2006,"Raviraja","Shanvi","Nayana",
48b01f96-44c2-4673-adc4-e2ec88c2a0b2,hanumanthu-2006,"Hanumanthu",2006,"Chandra Mahesh","Srihari","K.R. Vijaya",
f660ed40-2351-4ef9-9526-6290758c2716,kittu-2006,"Kittu",2006,"E. V. V. Satyanarayana","Allari Naresh","Gowri Pandit",
b571a609-a720-4a6c-aaab-060242f4bfd7,mercury-pookkal-2006,"Mercury Pookkal",2006,"S. S. Stanley","Srikanth","Meera Jasmine",
d238319c-e873-4bed-a5f3-12794032ae82,nuvve-2006,"Nuvve",2006,"Veera Shankar","Tarun","Shriya Saran",
f804d85a-c725-47d4-a395-a3c0a7fc1d9b,sardar-papanna-2006,"Sardar Papanna",2006,"Pratani Ramakrishna Goud","Krishna","Suhasini",
6b1d24f6-c4c1-4bdb-8b59-7af0542e2ef0,sarhad-paar-2006,"Sarhad Paar",2006,"Raman Kumar","Rishi Kapoor","Mahima Chaudhry",
eb94ce07-0297-4e44-8bd2-4c05dec84738,shyam-prasad-2006,"Shyam Prasad",2006,"Ravi Vaarla","Srikanth","Ooha",
f80940e1-c73c-4fa7-b399-5c8c5bf6d0e8,tathastu-2006,"Tathastu",2006,"Anubhav Sinha","Sanjay Dutt","Ameesha Patel",
cafa6e53-8db1-4282-96ed-30ab50a26712,thrill-2006,"Thrill",2006,"K. Veeru","Venkat","Ruthika",
9e93f317-38e2-47c8-b176-c504dda1203a,mahasadhvi-mallamma-2005,"Mahasadhvi Mallamma",2005,"Renuka Sharma","Rajendra Prasad","Meena",
8218eff9-b45b-4da6-8bd8-ec34629afc2e,24-gantalu-2004,"24 Gantalu",2004,"D. S. Rao","Krishna","Suhasini",
98980f9f-7650-43fc-8a2d-912fbd9e1e88,apparao-driving-school-2004,"Apparao Driving School",2004,"Anji Seenu","Rajendra Prasad","Rasi",
b9fa13d1-6932-45c4-a8ef-c22697ba8227,cbi-officer-2004,"CBI Officer",2004,"Shiva","Krishna","Suhasini",
3587d14d-832b-4f54-b048-9d2206687f30,glamour-2010,"Glamour",2004,"Pieter Kramer","Chris Tates","Linda de Mol",
4b57866f-2271-431b-9903-73a88b6c29e2,leelamahal-centre-2004,"Leelamahal Centre",2004,"Suresh","Srikanth","Kalyani",
034a4d8c-803d-43cd-9d89-4579074dfbad,maurya-2004,"Maurya",2004,"S. Narayan","Puneeth Rajkumar","Meera Jasmine",
77f4753b-e272-4c17-9949-6ed05774d032,sorry-naku-pellaindi-2004,"Sorry Naku Pellaindi",2004,"Gandhi","Ruthika","Raghu",
a87fd3ca-05b5-4cfe-a817-5078f4ad6cfe,charminar-2003,"Charminar",2003,"G. Nageswara Reddy","Venkat","Abhirami",
8bc27a5e-d965-4356-a9d5-de142677deb0,city-2003,"City",2003,"Nagendra","Saikumar","Ankita",
005a86b9-c679-4dc6-b42d-97b81d9828bc,manasellam-2003,"Manasellam",2003,"Santosh","Srikanth","Trisha Krishnan",
0a3c3164-f40b-48bc-818b-113fee941d6e,neeke-manasichanu-2003,"Neeke Manasichanu",2003,"Surya Teja","Sarath Babu","Jayanthi",
e6f187db-8020-4602-a288-09550fe1bad8,pelli-kani-prasad-2003,"Pelli Kani Prasad",2003,"Satyam Babu","Sivaji","Sridevi Vijaykumar",
8ef08ee2-e99a-49a9-ab35-71f52b824570,aaduthu-paaduthu-2002,"Aaduthu Paaduthu",2002,"Deviprasad","Srikanth","Soundarya",
ee221c6a-ab1a-47a3-a1d7-29fb84086fb8,adrustam-2002,"Adrustam",2002,"Lawrence","Tarun","Reema Sen",
ff32a1f8-e0a8-41fd-9fe9-5f9ffb94b6fa,angala-parameswari-2002,"Angala Parameswari",2002,"Sai Prakash","Meena","Roja",
72095bef-33e6-4a41-9bca-bf0f4ff6c1e2,bharata-simha-reddy-2002,"Bharata Simha Reddy",2002,"Surya","Rajasekhar","Gajala",
e9b74d11-1f34-4e45-9183-ec0e6f265b60,dweepa-2002,"Dweepa",2002,"Girish Kasaravalli","Avinash","Soundarya",
9cfb505a-9d22-4dd6-8536-66035d021e60,malli-malli-chudali-2002,"Malli Malli Chudali",2002,"Venu, Janani","Venu","Raasi",
447920e4-98c4-423c-8d8f-bd11770e6d24,mounamelanoyi-2002,"Mounamelanoyi",2002,"Subbu","Tarun","Vanessa Triest",
5e42ee25-3a0f-4fea-a9b2-758cd8a2e08d,o-chinnadana-2002,"O Chinnadana",2002,"A. Kodandarami Reddy","Srikanth","Raja Rakshitha",
6b88a9c7-008a-4f29-ba76-0ff5aa63e1d8,okato-number-kurraadu-2002,"Okato Number Kurraadu",2002,"A. Kodandarami Reddy","Nandamuri Taraka Ratna","Rekha Vedavyas",
5d6c429e-3f14-4cf6-90e0-eee6a6af0197,priya-nestama-2002,"Priya Nestama",2002,"Raj Kumar","Srikanth","Soundarya",
