Slug,Title (English),Release Year,Hero,Director,Status
mechanic-rocky-2024,"Mechanic Rocky",2024,"Vishwak Sen","Ravi Teja Mullapudi",Published
brahmavaram-ps-paridilo-2024,"Brahmavaram PS Paridilo",2024,"Sammeta Gandhi","Imran Sastry",Published
tillu-2024,"(Tillu)²",2024,"Siddhu Jonnalagadda","Mallik Ram",Published
veeranjaneyulu-vihara-yatra-2024,"Veeranjaneyulu Vihara Yatra",2024,"Naresh","Anurag Palutla",Published
maruthi-nagar-subramanyam-2024,"Maruthi Nagar Subramanyam",2024,"Rao Ramesh","Lakshman Karya",Published
pushpa-2-the-rule-2024,"Pushpa 2 - The Rule",2024,"Allu Arjun","Sukumar",Published
love-me-if-you-dare-2024,"Love Me If You Dare",2024,"Ashish Reddy","Arun Bhimavarapu",Published
akshara-2024,"Akshara",2024,"Nandita Swetha","Chinni Krishna",Published
roti-kapda-romance-2024,"Roti Kapda Romance",2024,"Harsha Narra","Vikram reddy",Published
rush-2024,"Rush",2024,"Abdullah Imran","Sathish Poloju",Published
srikakulam-sherlockholmes-2024,"Srikakulam Sherlockholmes",2024,"Vennela Kishore","Writer Mohan",Published
laggam-2024,"Laggam",2024,"Sai Ronak","Ramesh Cheppala",Published
inti-number-13-2024,"Inti Number - 13",2024,"Sivannarayana Naripeddi","Panna Royal",Published
sahaa-tba,"Sahaa",2024,"Kumar Kasaaram","Nishanth Doti",Published
purushothamudu-2024,"Purushothamudu",2024,"Raj Tarun","Rom Bhimana",Published
sandeham-2024,"Sandeham",2024,"Suman Tej","Sateesh Paramveda",Published
satyabhama-2024,"Satyabhama",2024,"Naveen Chandra","Suman Chikkala",Published
kalki-2898-ad-2024,"Kalki 2898-AD",2024,"Amitabh Bachchan","Nag Ashwin",Published
operation-raavan-2024,"Operation Raavan",2024,"Rakshith Atluri","Venkata Satya",Published
bachhala-malli-2024,"Bachhala Malli",2024,"Allari Naresh","Subbu Mangadevi",Published
anaganaga-oka-rowdy-tba,"Anaganaga Oka Rowdy",2024,"Sumanth","Manu Yagnaa",Published
market-mahalakshmi-2024,"Market Mahalakshmi",2024,"Parvateesam","V. S. Mukkhesh",Published
aay-2024,"Aay",2024,"Narne Nithin","Anji K Maniputhra",Published
yatra-2-2024,"Yatra 2",2024,"Jiiva","Mahi V. Raghav",Published
bhale-unnade-2024,"Bhale Unnade",2024,"Raj Tarun","Vardhan Sivasai Jaladanki",Published
anandapuram-diaries-2024,"Anandapuram Diaries",2024,"Srikanth","Jaya Jose Raj",Published
gaami-2024,"Gaami",2024,"Vishwak Sen","Vidyadhar Kagita",Published
gam-gam-ganesha-2024,"Gam Gam Ganesha",2024,"Anand Deverakonda","Uday Bommisetty",Published
operation-laila-2024,"Operation Laila",2024,"Srikanth","A. Venkatesh",Published
average-student-nani-2024,"Average Student Nani",2024,"Sneha Malviya","Pawan Kumar Kothuri",Published
ambajipeta-marriage-band-2024,"Ambajipeta Marriage Band",2024,"Suhas","Dushyanth Katikaneni",Published
tantra-2024,"Tantra",2024,"Dhanush Raghumudri","Srinivas Gopisetti",Published
105-minuttess-2024,"105 Minuttess",2024,"N/A","Raju Dussa",Published
yevam-2024,"Yevam",2024,"Bharat Raj","Prakash Dantuluri",Published
bootcut-balaraju-2024,"Bootcut Balaraju",2024,"Sunil Varma","Sree Koneti",Published
nindha-2024,"Nindha",2024,"Varun Sandesh","Rajesh Jagannadham",Published
eesaraina-2024,"Eesaraina!?",2024,"Goutham","Eshaku Dasari",Published
theppa-samudram-2024,"Theppa Samudram",2024,"P. Ravi Shankar","Sateesh Rapolu",Published
krishnamma-2024,"Krishnamma",2024,"Satyadev Kancharana","V. V. Gopalakrishna",Published
harom-hara-2024,"Harom Hara",2024,"Sudheer Babu","Gnanasagar Dwaraka",Published
leela-vinodam-2024,"Leela Vinodam",2024,"Goparaju Ramana","Pavan Sunkara",Published
bhaje-vaayu-vegam-2024,"Bhaje Vaayu Vegam",2024,"Kartikeya Gummakonda","Prashanth Reddy",Published
palik-2024,"Palik",2024,"Ravula Ramesh Creations","Neil Burger",Published
tenant-2024,"Tenant",2024,"Satyam Rajesh","Y. Yugandhar",Published
tiragabadara-saami-2024,"Tiragabadara Saami",2024,"Raj Tarun","A.S. Ravi Kumar Chowdary",Published
buddy-2024,"Buddy",2024,"Allu Sirish","Sam Anton",Published
i-hate-you-2024,"I Hate You",2024,"Karthik Raju","Anji Ram",Published
mathu-vadalara-2-2024,"Mathu Vadalara 2",2024,"Sri Simha","Ritesh Rana",Published
vey-dharuvey-2024,"Vey Dharuvey",2024,"Sai Ram Shankar","D. Naveen Reddy",Published
zebra-2024,"Zebra",2024,"Satyadev Kancharana","Eashvar Karthic",Published
alanaati-ramchandrudu-2024,"Alanaati Ramchandrudu",2024,"Krishna Vamsi","Chilukuri Akash",Published
ooru-peru-bhairavakona-2024,"Ooru Peru Bhairavakona",2024,"Sundeep Kishan","Vi Anand",Published
agent-narasimha117-2024,"Agent Narasimha‐117",2024,"Sayaji Shinde","Lakshman Chaprala",Published
appudo-ippudo-eppudo-2024,"Appudo Ippudo Eppudo",2024,"Nikhil Siddhartha","Sudheer Varma",Published
love-mouli-2024,"Love Mouli",2024,"Navdeep","Avaneendra",Published
raju-gari-ammayi-naidu-gari-abbayi-2024,"Raju Gari Ammayi Naidu Gari Abbayi",2024,"Ravi Teja Nunna","Satya Raj",Published
kotha-rangula-prapancham-2024,"Kotha Rangula Prapancham",2024,"Kranthi Krishna","Prudhvi Raj",Published
the-birthday-boy-2024,"The Birthday Boy",2024,"Ravi Krishna","Whiskey",Published
siddharth-roy-2024,"Siddharth Roy",2024,"Mathew Varghese","V. Yeshasvi",Published
operation-valentine-2024,"Operation Valentine",2024,"Varun Tej","Shakti Pratap Singh Hada",Published
ground-2024,"Ground",2024,"Aakash Bikki","Aakash Bikki",Published
a-goa-tripp-2024,"A Goa Tripp...",2024,"Pradeep Ambal","Rohithh Dhruvan",Published
akkada-varu-ikkada-unnaru-2024,"Akkada Varu Ikkada Unnaru",2024,"Jagadesh Raj","Trivikram Rao Kundurthi",Published
pailam-pilaga-2024,"Pailam Pilaga",2024,"Sai Teja Kalvakota","Anand Gurram",Published
janakiram-tba,"Janakiram",2024,"Nagendra Babu","Ram Prasad Ragutu",Published
pranaya-godari-2024,"Pranaya Godari",2024,"Sadan Hasan","PL Vignesh",Published
leela-vinodham-2024,"Leela Vinodham",2024,"Shanmukh Jaswanth","Pavan Sunkara",Published
happy-ending-2024,"Happy Ending",2024,"Ajay Ghosh","Kowshik Bheemidi",Published
