ID,Title,Year,Hero,Director,Our Rating,Has Poster,Synopsis (first 100 chars),Missing Data
2806a32b-9ea1-4c87-a85b-73cc4172683c,"Tyagi",1992,"Jaya Prada","K. C. Bokadia",,NO,"A 1992 Telugu film directed by K. C. Bokadia starring Jaya Prada and Jaya Prada.","RATING, POSTER"
d5edc733-e59b-42c0-ae51-6980c71906fd,"Sapnon Ka Mandir",1991,"Jaya Prada","",,NO,"A 1991 Telugu film starring Jaya Prada and Jaya Prada.","DIRECTOR, RATING, POSTER"
03b317cc-8b87-45b0-92e5-ad1de7eb7c92,"ChaalBaaz",1990,"Sridevi","Pankaj Parashar",,NO,"A 1990 Telugu film starring Sridevi and Sunny Deol.","RATING, POSTER"
5f1d4d69-88ef-4e03-b3ce-58f19fd8966f,"Naaka Bandi",1990,"Dharmendra","Shibu Mitra",,NO,"A 1990 Telugu film directed by Shibu Mitra.","RATING, POSTER, SYNOPSIS"
604a0f33-c901-469c-8e14-8be079baa68b,"Joshilaay",1989,"Sunny Deol","Sibte Hassan Rizvi",,NO,"A 1989 Telugu film directed by Sibte Hassan Rizvi.","RATING, POSTER"
bac8ce89-b602-4226-a4f9-f1aa7acfc1e8,"Jaadugar",1989,"Vikas Anand","Prakash Mehra",,NO,"A 1989 Telugu film directed by Prakash Mehra.","RATING, POSTER, SYNOPSIS"
688efd66-5e24-4a35-8410-50f4519988eb,"Paraya Ghar",1989,"Rishi Kapoor","Kalpataru",,NO,"A 1989 Telugu film directed by Kalpataru starring Jaya Prada and Jaya Prada.","RATING, POSTER"
a4ff9a89-5168-43b2-a11f-5c2fa658ab53,"Vicky Daada",1989,"Ravi Teja","Puri Jagannadh",,NO,"","RATING, POSTER, SYNOPSIS"
0649e455-c3b8-4562-a1e4-c1e87653a230,"Hum Bhi Insaan Hain",1989,"Sanjay Dutt","Manivannan",,NO,"A 1989 Telugu film directed by Manivannan.","RATING, POSTER, SYNOPSIS"
5e35da7e-9081-4db9-8f2d-9f5ab3867498,"Gharana",1989,"Asrani","K. Selvaramani",,NO,"","RATING, POSTER, SYNOPSIS"
c0d119f0-3840-4620-ac11-413e42cd8761,"Poola Rangadu",1989,"Sunil Varma","Relangi Narasimha Rao",,NO,"","RATING, POSTER, SYNOPSIS"
23616eaa-6b34-4306-8af4-73a942ad86cc,"Chaalbaaz",1989,"Sridevi","Pankaj Parashar",,NO,"A 1989 Telugu film directed by Pankaj Parashar starring Sridevi and Sridevi.","RATING, POSTER"
a2cb19a1-ad74-4938-9289-c8d9edc9ad5f,"Geetanjali",1989,"Nagarjuna Akkineni","Mani Ratnam",,NO,"A 1989 Telugu film directed by Mani Ratnam.","RATING, POSTER, SYNOPSIS"
dbb82d4e-a8f0-4ace-90a8-9e5a7f3f35de,"Preminchi Choodu",1989,"Shaam","A. Kodandarami Reddy",,NO,"","RATING, POSTER, SYNOPSIS"
9a4b1f30-b41e-4c96-ac7b-debebde74061,"Antima Theerpu",1988,"Suresh Gopi","Joshiy",,NO,"","RATING, POSTER, SYNOPSIS"
7db057f7-a174-4f81-96ea-e0379190a674,"Akarshan",1988,"","Tanvir Ahmed",,NO,"A 1988 Telugu film directed by Tanvir Ahmed.","HERO, RATING, POSTER, SYNOPSIS"
a3f8dd6b-bd0e-4a2e-a097-734df7426a7c,"Best Actor",1987,"Rajendra Prasad","Martin Prakkat",,NO,"A 1987 Telugu film starring Rajendra Prasad and Sonu Gowda.","RATING, POSTER"
3add2312-7681-4325-ab02-762a78da7a70,"Swayam Krushi",1987,"Chiranjeevi","K. Viswanath",8.2,NO,"","POSTER, SYNOPSIS"
