Canonical Name,Variations,Total Occurrences,Sample Movies
"r. krishnamurthy","r. krishnamurthy | r krishnamurthy",3,"Billa (1980) [director]; Padikkadavan (1985) [director]; Vazhvey Maayam (1982) [director]"
"a.r. rahman","a. r. rahman | a.r. rahman",3,"Sivaji (2007) [music_director]; Super Police (1994) [music_director]; Rakshakudu (1997) [music_director]"
"s.s. ravichandra","s. s. ravichandra | s.s. ravichandra",3,"Doragariki Donga Pellam (1994) [director]; Mahaguru (1985) [director]; Desoddarakudu (1986) [director]"
"v. n. aditya","v. n. aditya | v.n. aditya",3,"Sreeram (2002) [director]; Mugguru (2011) [music_director]; Mugguru (2011) [director]"
"b.s. ranga","b.s. ranga | b. s. ranga",3,"Chandrahasa (1965) [director]; Vaali – Sugreeva (1950) [director]; Sangham (1954) [director]"
"r.b. choudary","r.b. choudary | r. b. choudary",3,"Snehamante Idera (2001) [producer]; Nuvvu Vastavani (2000) [producer]; Sankranthi (2005) [producer]"
"p. bhanumathi","p. bhanumathi | bhanumathi",3,"Garuda Garvabhangam (1943) [heroine]; Menarikam (1954) [heroine]; Sangham (1954) [heroine]"
"ramakrishna","ramakrishna | k. ramakrishna",3,"Kaliyuga Dhaivam (1983) [hero]; Mantralaya Raghavendra Vaibhavam (1982) [hero]; Ekaloveyudu (2008) [director]"
"g. murali","g. murali | a. murali | murali",3,"Tik Tik Tik (2010) [director]; Veerabhadra (2006) [director]; Kittu (2006) [producer]"
"g. k. venkatesh","g. k. venkatesh | g.k. venkatesh",3,"Sabadham (1971) [music_director]; Sanaadi Appanna (1977) [music_director]; Jathara (1980) [music_director]"
"b.a. subba rao","b.a. subba rao | b. a. subba rao",3,"Palle Paduchu (1954) [director]; Ram Raheem (1974) [director]; Bangaru Chellelu (1979) [director]"
"k. s. rama rao","k. s. rama rao | k.s. rama rao",3,"Bujjigadu (2008) [producer]; Challenge (1984) [producer]; Ontari Poratam (1989) [producer]"
"d. yoganand","d. yoganand | yoganand",3,"Kathanayika Molla (1970) [director]; Dabbuki Lokam Dasoham (1973) [director]; Ee Kalam Dampathulu (1975) [director]"
"v harikrishna","v harikrishna | v. harikrishna",2,"Kranti (2023) [director]; Raaj (2009) [music_director]"
"r chandru","r chandru | r. chandru",2,"Kabzaa (2023) [director]; Taj Mahal (2010) [music_director]"
"a harsha","a harsha | harsha",2,"Vedha (2022) [director]; Indumathi (2009) [director]"
"r sarathkumar","r sarathkumar | r. sarathkumar",2,"Por Thozhil (2023) [heroine]; Varisu (2023) [heroine]"
"k. shanti kumar","k. shanti kumar | shanti kumar",2,"Indian Beauty (2006) [director]; Indian Beauty (2006) [producer]"
"ravi shankar","ravi shankar | y. ravi shankar",2,"Vangaveeti (2016) [music_director]; Janatha Garage (2016) [producer]"
"p. kalyan","p. kalyan | c. kalyan",2,"Antahpuram (1998) [producer]; Yeto Vellipoyindhi Manasu (2012) [producer]"
"b. satyanarayana","b. satyanarayana | satyanarayana",2,"Ramasakkanodu (1999) [director]; Tayaramma Bangarayya (1979) [hero]"
"p. padmanabham","p. padmanabham | b. padmanabham",2,"Devadichina Bharta (1968) [director]; Maa Inti Devatha (1980) [director]"
"n. s. murthy","n. s. murthy | e.s. murthy",2,"Aa Okkadu (2009) [writer]; Bhale Mogudu Bhale Pellam (2011) [music_director]"
"k.v.v. satyanarayana","k.v.v. satyanarayana | e.v.v. satyanarayana",2,"Rojulu Marayi (1984) [producer]; Jambalakidi Pamba (1993) [writer]"
