Movie ID,Title,Year,Slug,Category,Issue,Severity,Current Value,Suggested Action
5ae519b1-b611-4c88-b5c8-e9045a29edc5,"Maidan-E-Jung",1995,"maidan-e-jung-1995","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
a627463f-07e8-46c2-a00b-1d5749a24b88,"Kavari Maan",1979,"kavari-maan-1979","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
1d6288b0-5004-4eb6-8417-a98a34dfb9c3,"Kana Kandaen",2005,"kana-kandaen-2005","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
6f877ced-d318-4b72-a5fd-1c430072c774,"Raaj",2009,"raaj-2009","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
1bfe0855-c62f-4cf2-a748-359cd768e74b,"Buddy",2013,"buddy-2013","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
b74ce5f0-439d-4886-9a21-10bf6992f407,"Manasulo Maata",1996,"manasulo-maata-1996","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
df5c63e9-89fa-498f-93ec-9ea92cd305c2,"Family",1996,"family-1996","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
5e66579f-af62-4611-9b58-19d04504a046,"Roja Kootam",2002,"roja-kootam-2002","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
6b1d24f6-c4c1-4bdb-8b59-7af0542e2ef0,"Sarhad Paar",2006,"sarhad-paar-2006","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
a5f73def-8504-49e6-9811-e42605142cac,"Kalyana Mandapam",1971,"kalyana-mandapam-1971","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
ee3dd893-677b-481a-98d8-fbe774df928f,"Kalloori",2007,"kalloori-2007","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
bd03c874-559d-44f0-b5fd-bbab2502f093,"Amoli",2018,"amoli-2018","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
3ba14033-504a-42b8-8709-9ed05ec44ba6,"Madhagaja",2021,"madhagaja-2021","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
d2e2b391-a767-4b16-8d7f-9e5dadbf23e8,"Laadla",1994,"laadla-1994","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
