ID,Slug,Title,Year,Director,Hero,Heroine,Music_Director_TO_FILL
9fcf70da-160e-4635-af49-538749378675,shubha-muhurtam-1983,"Shubha Muhurtam",1983,"C. P. Kolli","Murali Mohan","Rajya Lakshmi",
0afe7cbe-2917-4659-afdf-98e05ce43c8f,swarajyam-1983,"Swarajyam",1983,"Bhabendra","Krishnam Raju","Vijayashanti",
3f768d13-44d6-4f08-a893-2a57a5e1f570,aththaku-thagga-allullu-1982,"Aththaku Thagga Allullu",1982,"Rama Narayanan","Krishna","Vijayashanti",
4abb8e60-5978-46f4-8e49-b176190f1efa,bairisetty-bhaskara-rao-1982,"Bairisetty Bhaskara Rao",1982,"Bairisetty Bhaskara Rao","Vijayachander","No Female Lead",
b93026d5-fa02-48c0-9c04-885bd498bf6b,devadas-kanakala-1982,"Chalakichalu",1982,"Devadas Kanakala","Krishnam Raju","Sujatha",
504af9a6-ff3f-4782-bab2-a74881c51e59,chinna-mul-peria-mul-1982,"Chinna Mul Peria Mul",1982,"N. S. Rajbharath","Tamil Mani","Santhi",
4741b560-53b0-4361-bf96-9d45a1de543c,ee-charithra-ye-siratho-1982,"Ee Charithra Ye Siratho",1982,"Vejella Satyanarayana","Siva Krishna","Rajya Lakshmi",
44618a6d-f256-42e8-a5ce-69491d6d38d0,ee-charitra-ae-sirato-1982,"Ee Charitra Ae Sirato",1982,"Vejalla Satyanarayana","Shiva Krishna","Rajya Lakshmi",
950c5105-e8bf-4089-9bd2-6905fd8ef3a5,ee-kaalam-katha-1982,"Ee Kaalam Katha",1982,"Madhav Rao","Sarath Babu","Jayasudha",
48834228-010f-4dcf-a45d-d5074de1941b,illali-korikalu-1982,"Illali Korikalu",1982,"G. Ramamohana Rao","Shoban Babu","Jayasudha",
719d2345-19bf-490b-827b-f71e8f9989f3,karaikkal-ammaiyar-1982,"Karaikkal Ammaiyar",1982,"A.P. Nagarajan","Lakshmi","K. B. Sundarambal",
f17dac8d-8ae1-4582-8209-40bdb9696acd,katta-subba-rao-1982,"Katta Subba Rao",1982,"Katta Subba Rao","Sobhan Babu","Lakshmi",
6f4a4e39-b8c7-4471-8c84-057f555ed5cd,kilinjalgal-1982,"Kilinjalgal",1982,"Durai","Prabhu","Poornima",
206229a2-0045-4fb5-9f4d-5e7f1cfd0775,mantralaya-raghavendra-vaibhavam-1982,"Mantralaya Raghavendra Vaibhavam",1982,"Chandra Kala","Ramakrishna","Jaya Prada",
d8f507fe-c7e3-4194-ae8d-ee318e059d68,nipputo-chelagaatam-1982,"Nipputo Chelagaatam",1982,"Kommineni Seshagiri Rao","Allu Rama Lingaiah","Jayasudha",
d360a8fb-525f-44a8-b1d6-370ea6560054,prema-nakshatram-1982,"Prema Nakshatram",1982,"P. Sambasiva Rao","Sridhar","Rajya Lakshmi",
926c1848-eea0-4d4f-9028-2278392d1653,raaga-deepam-1982,"Raaga Deepam",1982,"K. R. Vijaya","Akkineni Nageswara Rao","Jayasudha",
d702f509-b362-40a3-adbb-affdb5f47bdd,daari-tappina-manishi-1981,"Daari Tappina Manishi",1981,"B. Narasimha Rao","Narasimha Raju","Roopa",
c29f53d4-0804-4951-bf84-89f43966ba5f,dabbu-dabbu-dabbu-1981,"Dabbu Dabbu Dabbu",1981,"Vijaya Baapineedu","Mohan Babu","Raadhika",
2454ce4b-6d23-478c-82fa-91b9929f30eb,nayudu-gari-abbai-1981,"Nayudu gari Abbai",1981,"B.B. Prasad","Chandra Mohan","Prabha",
06506eed-73d6-43dd-af5e-66030ac47b65,parvathi-parameshwarulu-1981,"Parvathi Parameshwarulu",1981,"M. S. Kota Reddy","Chandra Mohan","Prabha",
fdb61cda-5293-419b-ad81-12ef6309d8d0,puli-bidda-1981,"Puli Bidda",1981,"V. Madhusudan Rao","Krishnam Raju","Sridevi",
0a0d8345-02a7-4343-ada9-89ea66b5f912,agni-sanskaram-1980,"Agni Sanskaram",1980,"G. V. Prabhakar","Gummadi","Sumalatha",
efc17809-aac3-452b-8462-2fcef9bd44df,ammayi-mogudu-mamaku-yamudu-1980,"Ammayi Mogudu Mamaku Yamudu",1980,"Amrutha","Krishna","Sridevi",
401f18b1-31b0-4dba-ac90-4f1be7cc7315,gayyali-gangamma-1980,"Gayyali Gangamma",1980,"Beeram Mastan Rao","Chandra Mohan","Rajni",
ab22a959-7c31-43a8-aa31-5f82dcf5dea6,inimai-idho-idho-1980,"Inimai Idho Idho",1980,"R. Ramamurthy","Chandrasekhar","Nisha",
4650626e-6e1b-43e1-8617-fd6949f87309,nijam-1980,"Nijam",1980,"Devadas Kanakala","Sridhar","Kavitha",
ee5c676a-000a-4f09-a243-56144f0962b8,chaaya-1979,"Chaaya",1979,"Satyendra Kumar","Satyendra Kumar","Roopa Devi",
20e59aa7-a5c9-477e-bc9b-2ae946def935,iddaru-asadhyule-1979,"Iddaru Asadhyule",1979,"KVAS","Krishna","Jaya Prada",
2a164638-bb73-4bed-9726-7960d9fd17bd,muthaiduva-1979,"Muthaiduva",1979,"P. C. Reddy","Murali Mohan","Prabha",
3c8e2bde-5529-484d-a75e-4a6146047b4c,rama-banam-1979,"Rama Banam",1979,"Y. Eshwara Reddy","Sobhan Babu","Krishnam Raju",
4d6cc573-1d72-41e6-9991-ca8322ca4be7,samajaniki-savaal-1979,"Samajaniki Savaal",1979,"S. P. Rajaram","Krishna","Sridevi",
d230d639-8927-40d7-9889-79f95e18d21f,sri-rambantu-1979,"Sri Rambantu",1979,"Arudra","Chiranjeevi","Kavitha",
9807a152-23e5-4c40-9dae-53b618c2fa26,akbar-saleem-anarkali-1978,"Akbar Saleem Anarkali",1978,"N.T. Rama Rao","N. T. Rama Rao","Deepa",
07499229-6c70-400f-b9a0-38d0533a5243,chali-cheemalu-1978,"Chali Cheemalu",1978,"Devadas Kanakala","Narasimha Raju","Jaya Prada",
351851b2-4370-48af-ba1d-4807b8ca9a2c,kd-no1-1978,"KD No:1",1978,"K Raghavendra Rao","N. T. Rama Rao","Jayasudha",
f1e480c1-7d86-4f7b-91b6-ad420f09e638,khaidi-no-77-1978,"Khaidi No. 77",1978,"V. Hanuman Prasad","Murali Mohan","Deepa",
4ba29860-61d5-4b8c-b8e2-43a8f228d4c0,lawyer-vishwanath-1978,"Lawyer Vishwanath",1978,"S D Lal","N. T. Rama Rao","Jayasudha",
e44db39c-5711-473b-a46d-ee2a4efa2e10,pottelu-punnamma-1978,"Pottelu Punnamma",1978,"R. Thyagarajan","Murali Mohan","Sripriya",
53e148bc-afb8-4f2b-a8d0-ec5d84624991,rowdy-rangamma-1978,"Rowdy Rangamma",1978,"Vijay Singh","Vijaya Lalitha","Vijaya Lalitha",
7fcdbada-b245-4f52-a5bd-8894d28046b9,surya-chandrulu-1978,"Surya Chandrulu",1978,"V. C. Guhanathan","Chandra Mohan","Vijaya Nirmala",
3c35824d-d2d5-41b8-bd12-ccfc108bba3f,yuga-purushudu-1978,"Yuga Purushudu",1978,"K. Bapu","Kaikala Satyanarayana","Jayasudha",
45b3d0bc-521f-4600-8479-7100229a213a,flowing-against-1977,"Adavi Ramudu",1977,"K. Raghavendra Rao","N. T. Rama Rao","Jayasudha",
a30fa63a-22b8-4502-b88d-a0d26944b310,bhadrakali-1977,"Bhadrakali",1977,"A. C. Tirulokachandar","Murali Mohan","Jaya Prada",
fed29b1c-d954-4190-9ded-a9e2311af1d1,devathalara-deevinchandi-1977,"Devathalara Deevinchandi",1977,"K. Koteswara Rao","Murali Mohan","Jayachitra",
ac4fb15d-e6da-4e55-9826-3758a4865f14,iddaru-iddare-1976,"Iddaru Iddare",1976,"V. Madhusudhan Rao","Sobhan Babu","Vanisri",
c7d71ad2-e32c-415d-b318-9c03711334a4,kolleti-kapuram-1976,"Kolleti Kapuram",1976,"K. B. Tilak","Murali Mohan","Prabha",
679bf6fe-eb51-45ad-9b0a-1cce49938bd9,pogarubothu-1976,"Pogarubothu",1976,"Tatineni Prakash Rao","Sobhan Babu","Vanisri",
03fcbe9d-6ccd-4183-a488-e4a6e77d2128,vintha-illu-santha-gola-1976,"Vintha Illu Santha Gola",1976,"P. Laxmi Deepak","Chandra Mohan","Prabha",
da136a55-d837-43fd-b47c-5dd342c040da,abhimanavathi-1975,"Abhimanavathi",1975,"P. Dhoondy","Krishna","Vanisri",
ab1feaaf-e4e9-426a-be96-09f0ee6e6280,challani-thalli-1975,"Challani Thalli",1975,"K.S. Rami Reddy","Vijayakanth","Srividya",
a4070b32-f2db-45f4-9bcf-d030d3445318,cinema-vaibhavam-1975,"Cinema Vaibhavam",1975,"Multiple Directors","Ensemble Cast","Savitri",
fb3a5548-9e5f-4959-b2c1-b11f1825401a,santanam-soubhagyam-1975,"Santanam Soubhagyam",1975,"D. S. Prakash Rao","Krishna","Vijaya Nirmala",
d745b9dc-6c71-44c5-b58c-e3a596b9fa36,sri-chamundeswari-mahima-1975,"Sri Chamundeswari Mahima",1975,"Addala Narayana Rao","Rama Krishna","B. Saroja Devi",
f007d1f7-1940-4465-98fb-baf9ee54a184,gundelu-teesina-monagaadu-1974,"Gundelu Teesina Monagaadu",1974,"N.B. Chakravarthi","Kanta Rao","Jyothi Lakshmi",
34ac1a12-ecbf-42b0-ba15-4767b200cbaf,intiniti-katha-1974,"Intiniti Katha",1974,"K. Satyam","Krishna","Chandrakala",
ecf3fc1b-48f6-49be-b357-98593b2326fa,kannavari-kalalu-1974,"Kannavari Kalalu",1974,"S.S. Balan","Sobhan Babu","Vanisri",
547be39e-5370-41fc-afca-9b0e7caf82c0,khaidi-babai-1974,"Khaidi Babai",1974,"T. Krishna","Sobhan Babu","Vanisri",
1f9dc925-ee32-4a80-81e7-8ccdb1feb3b1,manushullo-devudu-1974,"Manushullo Devudu",1974,"B.V. Prasad","N. T. Rama Rao","Vanisri",
3fd55b4d-0c1e-4a34-a42e-0ea8304902bf,bhakta-tukaram-1973,"Bhakta Tukaram",1973,"V. Madhusudhan Rao","Akkineni Nageswara Rao","Anjali Devi",
3604326b-0c6f-4428-a392-c65a4165f3ec,lokam-marali-tamil-dub-naangu-suvargal-1973,"Lokam Marali (tamil Dub Naangu Suvargal)",1973,"K. Vijayan","Jaishankar","Sowcar Janaki",
4a7917e6-cd05-4b99-a4b0-122236255ce9,mallamma-katha-1973,"Mallamma Katha",1973,"A. S. R. Anjaneyulu","Krishna","B. Saroja Devi",
2b304fd9-9bcb-45b4-ab84-32fbd7648b7a,oka-nari-vanda-thupakulu-1973,"Oka Nari Vanda Thupakulu",1973,"K. V. S. Sarma","Vijaya Nirmala","Tyagaraju",
844a5280-bc17-4101-89f1-3e9b53551f95,paropakari-kannada-dub-1973,"Paropakari (Kannada Dub)",1973,"Y. R. Swamy","Rajkumar","Jayanthi",
57c4f315-fe39-44a2-8437-9dde11f7aa4b,sthri-chandra-kala-1973,"Sthri",1973,"S. S. Devadas","Krishnam Raju","Chandrakala",
1196ac9f-472a-446a-9f7b-41b8ad8bdb75,iddaru-ammayilu-1972,"Iddaru Ammayilu",1972,"S. R. Puttanna Kanagal","Akkineni Nageswara Rao","Vanisri",
282b44e1-a8a8-489a-99aa-defdd3403fcd,raj-mahal-1972,"Raj Mahal",1972,"B. Harinarayana","Krishna, Krishnam Raju","Jyothi Lakshmi",
abbfbc93-56f9-4a34-a638-d488ca213cd0,pattukunte-laksha-1971,"Pattukunte Laksha",1971,"B. O. Subba Rao","Krishna","Vijaya Nirmala",
82330833-3124-4248-89c4-0cee772d2865,chitti-chellelu-1970,"Chitti Chellelu",1970,"M. Krishnan Nair","N. T. Rama Rao","Vanisri",
addcee73-0033-4686-8518-b6654927e4bb,maa-nanna-nirdhoshi-1970,"Maa Nanna Nirdhoshi",1970,"K. V. Nandana Rao","Krishna","Vijaya Nirmala",
83170baa-62f1-43e1-b004-2019b27322f1,paga-sadista-1970,"Paga Sadista",1970,"K. S. R. Das","Krishna","Vijaya Nirmala",
f17a23d8-b42c-44ed-9c4a-90c873dc198a,pettandarulu-1970,"Pettandarulu",1970,"C. S. Rao","N.T. Rama Rao, Sobhan Babu","Savitri",
57e12151-fcd0-4497-86aa-1ccfd4fba945,sambarala-rambabu-1970,"Sambarala Rambabu",1970,"G. V. R. Seshagiri Rao","Chalam","Sharada",
e640cd85-5b6d-4aa6-8417-67d9472f727d,karpoora-harathi-1969,"Karpoora Harathi",1969,"V. Madhusudan Rao","Sobhan Babu","Vanisri",
6117e088-1801-4370-884d-47617cb0c47f,love-in-andhra-1969,"Love in Andhra",1969,"P. V. Satyanarayana","Krishna","Vijaya Nirmala",
d233f204-2a93-4e77-bfb8-9d8ecfce0d73,mahabaludu-1969,"Mahabaludu",1969,"K. S. R. Das","Krishna","Vanisri",
629cd431-21b5-410d-9bac-c5ef5264ba43,manchi-mithrulu-1969,"Manchi Mithrulu",1969,"Tatineni Rama Rao","Sobhan Babu, Krishna","Gitanjali",
3d7e5606-5a88-4d3c-ac88-f5d9d266dafc,mathru-devata-1969,"Mathru Devata",1969,"Savitri","N. T. Rama Rao","Savitri",
0dd1f322-d921-4551-976c-e7d839b35c32,muhrutha-balam-1969,"Muhrutha Balam",1969,"M. Mallikharjuna Rao","Jaggayya","Kanchana",
d7d83702-b1a1-493e-b3c6-fe0ebc6da979,nam-naadu-1969,"Nam Naadu",1969,"C. P. Jambulingam","M. G. Ramachandran","Jayalalithaa",
e3dc33cd-3ffe-4fb9-bc32-084ad9c5b991,poovanam-1969,"Poovanam",1969,"Satyen Bose","Sobhan Babu","Krishna Kumari",
