"Actor","Wikipedia Title","Wikipedia Year","Role","Verification Status","DB Title (EN)","DB Title (TE)","DB Year","Match Score","DB Movie ID","Action Required"
"sharada","Shakuntala","1965","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Shakuntala","సహాకునటాలా","1966","100","77a8fb09-ef4a-455f-b17b-be23edee276f","Verify and add sharada"
"sharada","Indradhanussu","1979","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Indradhanussu","ినడరాడహానుససు","1978","100","8a7cc5ac-3e1b-4759-a3f1-5fd996087fab","Verify and add sharada"
"sharada","Naayika","2011","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Anaamika","ానాామికా","2014","75","a75e8ded-39e4-4aba-85fe-1931c2b18aab","Verify and add sharada"
"simran","Sabdham","2025","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Sandeham","సానడెహామ","2024","75","1cf5d5ee-3d38-411a-8996-0d264a6ebae4","Verify and add simran"
"sridevi","Babulugaadi Debba","1984","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Babulugaadi Debba","బాబులుగాాడి డెబబా","1981","100","bb60ff85-0a16-4229-a3a3-5cc220d3c172","Verify and add sridevi"
"sridevi","Govinda Govinda","1994","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Govinda Govinda","గోవినడా గోవినడా","1993","100","b23ee9f4-39e4-439e-94f3-47c1ca9a2c47","Verify and add sridevi"
"sridevi","Dasavatharam","1975","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Dasavatharam","దశావతారం","1976","100","e0d66df8-d137-4e1f-b548-b59fbc1119b1","Verify and add sridevi"
"sridevi","Priya","1979","Lead role (Lead)","⚠️ EXISTS (YEAR MISMATCH)","Priya","ప్రియ","1981","100","09b41687-6bbe-41b0-8517-0ca359c82514","Verify and add sridevi"
"sumanth","Madhumasam","2008","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Madhumasam","మాడహుమాసామ","2007","100","fb999fd1-1cb7-479b-9881-3176071bfb57","Verify and add sumanth"
"sumanth","Pourudu","2009","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Pourudu","పోురుడు","2008","100","fba995f5-9ae8-4ab7-b11d-918b71fb2bac","Verify and add sumanth"
"venu","Malli Malli Choodali","2003","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Malli Malli Chudali","మాలలి మాలలి కహుడాలి","2002","90","9cfb505a-9d22-4dd6-8536-66035d021e60","Verify and add venu"
"venu","Mayagadu","2011","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Aagadu","ఆగడు","2014","75","065177ab-0150-4d3e-9bc5-089e74d66ebb","Verify and add venu"
"vishnu","Siva Shankar","2003","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Shivashankar","సహివాసహానకార","2004","83","d822cd68-3a01-49f8-8faa-af694c4be5aa","Verify and add vishnu"
"chandra mohan","Baladoor","2008","Actor (Supporting)","⚠️ EXISTS (TITLE VARIANT)","Baladur","బాలాడుర","2008","75","ce840d7b-efe9-4758-a73c-2bbc0308de99","Verify and add chandra mohan"
"daggubati venkatesh","Sathruvu","1991","Actor (Supporting)","⚠️ EXISTS (TITLE VARIANT)","Shatruvu","సహాటరువు","1991","75","e1c47b05-c119-482d-9e2e-53628f6e1720","Verify and add daggubati venkatesh"
"jaggayya","Pooja Phalam","1964","Actor (Supporting)","⚠️ EXISTS (TITLE VARIANT)","Pooja Phalamu","పోోజా పహాలాము","1964","83","83eb479f-5c66-4117-a575-ae26c2bcc55f","Verify and add jaggayya"
"kamal haasan","Ponniyin Selvan: I","2022","Actor (Supporting)","⚠️ EXISTS (TITLE VARIANT)","Ponniyin Selvan: Part I","PS-1","2022","78","c35a5f4b-c2b5-4824-8abf-1d61557450cf","Verify and add kamal haasan"
"kamal haasan","Ponniyin Selvan: II","2023","Actor (Supporting)","⚠️ EXISTS (TITLE VARIANT)","Ponniyin Selvan: Part II","పొన్నియిన్ సెల్వన్: భాగం - 2","2023","79","f027be68-336f-455c-b8f9-e5636b104ab1","Verify and add kamal haasan"
"n.t. rama rao","Thalla? Pellama?","1970","Actor (Supporting)","⚠️ EXISTS (TITLE VARIANT)","Thalla? Pellama","టహాలలా? పెలలామా","1970","84","558ac49d-bb56-43ae-83a5-034c0c3b5a0f","Verify and add n.t. rama rao"
"pushpavalli","Sri Gowri Mahatma","1956","Guest Appearance (Cameo)","⚠️ EXISTS (TITLE VARIANT)","Sri Gauri Mahatyam","శ్రీ గాురి మాహాటయామ","1956","77","30b497a1-1f9a-4081-af7f-3d913e53e28f","Verify and add pushpavalli"
"rajendra prasad","Nannaku Prematho","2016","Actor (Supporting)","⚠️ EXISTS (TITLE VARIANT)","Nannaku Prematho...","నాననాకు పరెమాటహో...","2016","75","3729ab0b-f5b0-4c51-be76-a7a28fc6e6bf","Verify and add rajendra prasad"
"rambha","Aanandham","2001","Actor (Supporting)","⚠️ EXISTS (TITLE VARIANT)","Anandam","ఆనందం","2001","77","cf5201ec-fba8-4e28-92e7-697defcee875","Verify and add rambha"
"rohit","Shankar Dada MBBS","2004","Actor (Supporting)","⚠️ EXISTS (TITLE VARIANT)","Shankar Dada M.B.B.S.","శంకర్ దాదా ఎం.బి.బి.ఎస్.","2004","80","b77b0004-b819-40c8-8c16-f9abb39693a2","Verify and add rohit"
"sarath babu","Si3","2017","Actor (Supporting)","⚠️ EXISTS (TITLE VARIANT)","Si 3","","2017","75","2310793c-8b8e-4d5b-8a97-2d6630ebf98f","Verify and add sarath babu"
"venu","Dammu","2012","Actor (Supporting)","⚠️ EXISTS (TITLE VARIANT)","Dhammu","డహామము","2012","83","32d08c52-5f3b-46aa-a698-43db0fa37d35","Verify and add venu"
