Actor,Movie Title,Action,Status
"jaggayya","Chitti Tammudu","Added to supporting_cast",✓ Fixed
"jaggayya","Constable Koothuru","Added to supporting_cast",✓ Fixed
"jaggayya","Naadi Aada Janme","Added to supporting_cast",✓ Fixed
"jaggayya","Navaratri","Added to supporting_cast",✓ Fixed
"jaggayya","Prana Mithrulu","Added to supporting_cast",✓ Fixed
"jaggayya","Bandipotu Dongalu","Added to supporting_cast",✓ Fixed
"jaggayya","Adrushtavanthulu","Added to supporting_cast",✓ Fixed
"jaggayya","Ramalayam","Added to supporting_cast",✓ Fixed
"jaggayya","Badi Panthulu","Added to supporting_cast",✓ Fixed
"jaggayya","Devudu Chesina Manushulu","Added to supporting_cast",✓ Fixed
"jaggayya","Bhoomi Kosam","Added to supporting_cast",✓ Fixed
"jaggayya","Adavi Ramudu","Added to supporting_cast",✓ Fixed
"jaggayya","Karunamayudu","Added to supporting_cast",✓ Fixed
"jaggayya","Vetagadu","Added to supporting_cast",✓ Fixed
"jaggayya","Ram Robert Rahim","Added to supporting_cast",✓ Fixed
"jaggayya","Bobbili Puli","Added to supporting_cast",✓ Fixed
"jaggayya","Disco King","Added to supporting_cast",✓ Fixed
"jaggayya","Palnati Simham","Added to supporting_cast",✓ Fixed
"jaggayya","Brahmasthram","Added to supporting_cast",✓ Fixed
"jaggayya","Ramu","Added to supporting_cast",✓ Fixed
"jaggayya","Manchi Donga","Added to supporting_cast",✓ Fixed
"jaggayya","Ajatha Satruvu","Added to supporting_cast",✓ Fixed
"jaggayya","Alludugaru","Added to supporting_cast",✓ Fixed
"jaggayya","Dharma Kshetram","Added to supporting_cast",✓ Fixed
"jaggayya","Bobbili Simham","Added to supporting_cast",✓ Fixed
"jaya prada","Bhoomi Kosam","Added to supporting_cast",✓ Fixed
"jaya prada","Manmatha Leelai","Added to supporting_cast",✓ Fixed
"jaya prada","Sargam","Added to supporting_cast",✓ Fixed
"jaya prada","Madhura Swapnam","Added to supporting_cast",✓ Fixed
"jaya prada","Saagara Sangamam","Added to supporting_cast",✓ Fixed
"jaya prada","Pataal Bhairavi","Added to supporting_cast",✓ Fixed
"jaya prada","Krishna Garadi","Added to supporting_cast",✓ Fixed
"jaya prada","Aulad","Added to supporting_cast",✓ Fixed
"jaya prada","Jaadugar","Added to supporting_cast",✓ Fixed
"jaya prada","Majboor","Added to supporting_cast",✓ Fixed
"jaya prada","Indrajeet","Added to supporting_cast",✓ Fixed
"jaya prada","Maa","Added to supporting_cast",✓ Fixed
"jaya prada","Insaniyat Ke Devta","Added to supporting_cast",✓ Fixed
"jaya prada","Insaniyat","Added to supporting_cast",✓ Fixed
"jaya prada","Himapatha","Added to supporting_cast",✓ Fixed
"jaya prada","Jeevan Yudh","Added to supporting_cast",✓ Fixed
"jaya prada","Aami Sei Meye","Added to supporting_cast",✓ Fixed
"jaya prada","Devadoothan","Added to supporting_cast",✓ Fixed
"jaya prada","Chandravamsam","Added to supporting_cast",✓ Fixed
"jaya prada","Khakee","Added to supporting_cast",✓ Fixed
"jaya prada","Ee Bandhana","Added to supporting_cast",✓ Fixed
"jaya prada","Dasavathaaram","Added to supporting_cast",✓ Fixed
"jaya prada","Pranayam","Added to supporting_cast",✓ Fixed
"jaya prada","Krantiveera Sangolli Rayanna","Added to supporting_cast",✓ Fixed
"jaya prada","Kinar","Added to supporting_cast",✓ Fixed
"jaya prada","Suvarna Sundari","Added to supporting_cast",✓ Fixed
"k. balachander","Bhama Vijayam","Added to supporting_cast",✓ Fixed
"k. balachander","Manmatha Leelai","Added to supporting_cast",✓ Fixed
"k. balachander","Avargal","Added to supporting_cast",✓ Fixed
"k. balachander","Aakali Rajyam","Added to supporting_cast",✓ Fixed
"k. balachander","Rudraveena","Added to supporting_cast",✓ Fixed
"k. balachander","Uttama Villain","Added to supporting_cast",✓ Fixed
"k. balachander","Poojaikku Vandha Malar","Added to supporting_cast",✓ Fixed
"kamal haasan","Avvai Shanmugi","Added to supporting_cast",✓ Fixed
"kamal haasan","Kaathala Kaathala","Added to supporting_cast",✓ Fixed
"kamal haasan","83","Added to supporting_cast",✓ Fixed
"kamal haasan","Uttama Villain","Added to supporting_cast",✓ Fixed
"kamal haasan","Sye Raa Narasimha Reddy","Added to supporting_cast",✓ Fixed
"kanchana","Aatma Gowravam","Added to supporting_cast",✓ Fixed
"kanchana","Navaratri","Added to supporting_cast",✓ Fixed
"kanchana","Ave Kallu","Added to supporting_cast",✓ Fixed
"kanchana","Manchi Kutumbam","Added to supporting_cast",✓ Fixed
"kanchana","Bhale Mastaru","Added to supporting_cast",✓ Fixed
"kanchana","Dharma Daata","Added to supporting_cast",✓ Fixed
"kanchana","Kalyana Mandapam","Added to supporting_cast",✓ Fixed
"kanchana","Raitu Kutumbam","Added to supporting_cast",✓ Fixed
"kanchana","Tatamma Kala","Added to supporting_cast",✓ Fixed
"kanchana","Mahakavi Kshetrayya","Added to supporting_cast",✓ Fixed
"kanchana","Daana Veera Soora Karna","Added to supporting_cast",✓ Fixed
"kanchana","Driver Ramudu","Added to supporting_cast",✓ Fixed
"kanchana","Ananda Bhairavi","Added to supporting_cast",✓ Fixed
"kanchana","Sri Datta Darsanam","Added to supporting_cast",✓ Fixed
"kanchana","Arjun Reddy","Added to supporting_cast",✓ Fixed
"kanchana","Veerabhimanyu","Added to supporting_cast",✓ Fixed
"kanchana","Johnny","Added to supporting_cast",✓ Fixed
"kanchana","Mouna Raagam","Added to supporting_cast",✓ Fixed
"kanchana","Babruvahana","Added to supporting_cast",✓ Fixed
"kanta rao","Chinna","Added to supporting_cast",✓ Fixed
"karthik","Ilanjodigal","Added to supporting_cast",✓ Fixed
"karthik","Muthu Kaalai","Added to supporting_cast",✓ Fixed
"karthik","Chinna Raja","Added to supporting_cast",✓ Fixed
"karthik","Anegan","Added to supporting_cast",✓ Fixed
"karthik","Thaanaa Serndha Koottam","Added to supporting_cast",✓ Fixed
"karthik","Seethakoka Chilaka","Added to supporting_cast",✓ Fixed
"karthik","Anveshana","Added to supporting_cast",✓ Fixed
"karthik","Punyasthree","Added to supporting_cast",✓ Fixed
"latha","Andala Ramudu","Added to supporting_cast",✓ Fixed
"latha","Nippulanti Manishi","Added to supporting_cast",✓ Fixed
"latha","Magaadu","Added to supporting_cast",✓ Fixed
"latha","Kurukshetram","Added to supporting_cast",✓ Fixed
"latha","Kumara Raja","Added to supporting_cast",✓ Fixed
"latha","Andadu Aagadu","Added to supporting_cast",✓ Fixed
"latha","Srungara Ramudu","Added to supporting_cast",✓ Fixed
"latha","Pancha Bhoothalu","Added to supporting_cast",✓ Fixed
"latha","Love In Singapore","Added to supporting_cast",✓ Fixed
"madhavi","Thoorpu Padamara","Added to supporting_cast",✓ Fixed
"madhavi","Amara Deepam","Added to supporting_cast",✓ Fixed
"madhavi","Iddaru Asadhyule","Added to supporting_cast",✓ Fixed
"madhavi","Agni Samskaram","Added to supporting_cast",✓ Fixed
"madhavi","Intlo Ramayya Veedhilo Krishnayya","Added to supporting_cast",✓ Fixed
"madhavi","Andhaa Kaanoon","Added to supporting_cast",✓ Fixed
"madhavi","Geraftaar","Added to supporting_cast",✓ Fixed
"madhavi","Agneepath","Added to supporting_cast",✓ Fixed
"mohan babu","Alluri Seetarama Raju","Added to supporting_cast",✓ Fixed
"mohan babu","Shri Rama Bantu","Added to supporting_cast",✓ Fixed
"mohan babu","Kottapeta Rowdy","Added to supporting_cast",✓ Fixed
"mohan babu","Kodama Simham","Added to supporting_cast",✓ Fixed
"mohan babu","Adirindi Alludu","Added to supporting_cast",✓ Fixed
"mohan babu","Raayudu","Added to supporting_cast",✓ Fixed
"mohan babu","Sri Ramulayya","Added to supporting_cast",✓ Fixed
"mohan babu","Postman","Added to supporting_cast",✓ Fixed
"mohan babu","Adhipathi","Added to supporting_cast",✓ Fixed
"mohan babu","Game","Added to supporting_cast",✓ Fixed
"mohan babu","Pandavulu Pandavulu Tummeda","Added to supporting_cast",✓ Fixed
"mohan babu","Mama Manchu Alludu Kanchu","Added to supporting_cast",✓ Fixed
"mohan babu","Luckunnodu","Added to supporting_cast",✓ Fixed
"mohan babu","Shaakuntalam","Added to supporting_cast",✓ Fixed
"n.t. rama rao","Seetha Rama Kalyanam","Added to supporting_cast",✓ Fixed
"n.t. rama rao","Gulebakavali Katha","Added to supporting_cast",✓ Fixed
"n.t. rama rao","Sri Krishna Pandaveeyam","Added to supporting_cast",✓ Fixed
"n.t. rama rao","Ummadi Kutumbam","Added to supporting_cast",✓ Fixed
"n.t. rama rao","Varakatnam","Added to supporting_cast",✓ Fixed
"n.t. rama rao","Kodalu Diddina Kapuram","Added to supporting_cast",✓ Fixed
"n.t. rama rao","Kannan Karunai","Added to supporting_cast",✓ Fixed
"n.t. rama rao","Kula Gowravam","Added to supporting_cast",✓ Fixed
"n.t. rama rao","Tatamma Kala","Added to supporting_cast",✓ Fixed
"n.t. rama rao","Daana Veera Soora Karna","Added to supporting_cast",✓ Fixed
"n.t. rama rao","Chanakya Chandragupta","Added to supporting_cast",✓ Fixed
"n.t. rama rao","Akbar Saleem Anarkali","Added to supporting_cast",✓ Fixed
"n.t. rama rao","Sri Rama Pattabhishekam","Added to supporting_cast",✓ Fixed
"n.t. rama rao","Sri Madvirata Parvam","Added to supporting_cast",✓ Fixed
"n.t. rama rao","Sri Tirupati Venkateswara Kalyanam","Added to supporting_cast",✓ Fixed
"n.t. rama rao","Chanda Sasanudu","Added to supporting_cast",✓ Fixed
"n.t. rama rao","Srimadvirat Veerabrahmendra Swami Charitra","Added to supporting_cast",✓ Fixed
"n.t. rama rao","Brahmarshi Vishwamitra","Added to supporting_cast",✓ Fixed
"n.t. rama rao","Samrat Ashoka","Added to supporting_cast",✓ Fixed
"pawan kalyan","Akkada Ammayi Ikkada Abbayi","Added to supporting_cast",✓ Fixed
"pawan kalyan","Gokulamlo Seetha","Added to supporting_cast",✓ Fixed
"pawan kalyan","Suswagatham","Added to supporting_cast",✓ Fixed
"pawan kalyan","Thammudu","Added to supporting_cast",✓ Fixed
"pawan kalyan","Badri","Added to supporting_cast",✓ Fixed
"pawan kalyan","Kushi","Added to supporting_cast",✓ Fixed
"pawan kalyan","Johnny","Added to supporting_cast",✓ Fixed
"pawan kalyan","Gudumba Shankar","Added to supporting_cast",✓ Fixed
"pawan kalyan","Balu","Added to supporting_cast",✓ Fixed
"pawan kalyan","Bangaram","Added to supporting_cast",✓ Fixed
"pawan kalyan","Shankar Dada Zindabad","Added to supporting_cast",✓ Fixed
"pawan kalyan","Jalsa","Added to supporting_cast",✓ Fixed
"pawan kalyan","Teen Maar","Added to supporting_cast",✓ Fixed
"pawan kalyan","Gabbar Singh","Added to supporting_cast",✓ Fixed
