ID,Title,Year,Hero,Director,Rating,Has Poster,Synopsis (first 100 chars),MISSING DATA,PRIORITY
ae47e37d-0918-4b12-abaa-abbe390f6a11,"Muddat",1986,"Mithun Chakraborty","K. Bapayya",MISSING,NO,"A 1986 Telugu film directed by K. Bapayya.","RATING",MEDIUM
f9bba0dc-ab55-49ea-b75b-afaab5165f63,"Kodama Simham",1986,"Chiranjeevi","K. Murali Mohana Rao",MISSING,NO,"","RATING",MEDIUM
ec820d05-afa3-4498-8a96-b1d6c95b1d22,"Pyar Ke Do Pal",1986,"Mithun Chakraborty","Rajiv Mehra",MISSING,NO,"A 1986 Telugu film directed by Rajiv Mehra.","RATING",MEDIUM
94e77969-a916-4237-8628-6883292cd740,"Janbaaz",1986,"Feroz Khan","Feroz Khan",MISSING,NO,"A 1986 Telugu film directed by Feroz Khan.","RATING",MEDIUM
45a1d1d7-b79a-4bcb-a814-0cbe4b36b191,"Aisa Pyaar Kahan",1986,"Glenn Ford","Charles Vidor",MISSING,NO,"","RATING",MEDIUM
c03c3b7c-4ea6-49bf-acd8-cc7a5400f72e,"Zabardast",1985,"Sanjeev Kumar","Nasir Hussain",MISSING,NO,"A 1985 Telugu film directed by Nasir Hussain.","RATING",MEDIUM
fbc06ae8-0c76-4f77-bd0b-843444a9a2d3,"Balidaan",1985,"Jeetendra","S. A. Chandrasekhar",MISSING,NO,"A 1985 Telugu film directed by S. A. Chandrasekhar starring Sridevi and Sridevi.","RATING",MEDIUM
5303c9b2-7a00-493f-bcd8-ad6c3373f890,"Palletoori Monagadu",1983,"Chiranjeevi","S. A. Chandrasekhar",MISSING,NO,"A rural drama featuring Chiranjeevi in the role of a village youth. The film explores the simplicity","RATING",MEDIUM
839e0266-9357-4e1e-9f2e-fe7f50e7953b,"Sandhippu",1983,"Sivaji Ganesan","C. V. Rajendran",MISSING,NO,"A 1983 Telugu film directed by C. V. Rajendran.","RATING",MEDIUM
d40fc607-a589-409d-ad3c-5c8a655399a0,"Saagara Sangamam",1983,"Kamal Haasan","K. Viswanath",MISSING,NO,"A 1983 Telugu film directed by K. Viswanath.","RATING",MEDIUM
26a68cd4-8964-4476-a021-926903bcd6ab,"Simha Gharjane",1983,"Vijayashanti","S. A. Chandrasekhar",MISSING,NO,"A 1983 Telugu film directed by S. A. Chandrasekhar starring Vijayashanti and Vijayashanti.","RATING",MEDIUM
e2d3f4ec-ce83-42ff-bcdf-baa5b5d74a18,"Ilanjodigal",1982,"Karthik Muthuraman","Rama Narayanan",MISSING,NO,"A 1982 Telugu film directed by Rama Narayanan.","RATING",MEDIUM
