Priority,Celebrity ID,Name,Movie Count,Status,Issue,Suggested Wikipedia URL,Action Required
"LOW","3eb313ba-73b2-47ae-997e-1617cebcd95d","Karthik",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Karthik","Add (actor)/(actress)/(director) to URL"
"LOW","f70643d8-158d-4cf4-97ee-43ec49f3647a","Rambha",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Rambha","Add (actor)/(actress)/(director) to URL"
"LOW","a526cd38-7a84-44f6-b515-b9320484ad2e","Trisha Krishnan",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Trisha_Krishnan","Add (actor)/(actress)/(director) to URL"
"LOW","5e9bdc8d-63f8-4007-93dc-e03824a243cf","N.T. Rama Rao Jr.",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/N._T._Rama_Rao_Jr.","Add (actor)/(actress)/(director) to URL"
"LOW","8080141d-96d1-4f39-8b78-602b5eb7c284","Geetha",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Geetha","Add (actor)/(actress)/(director) to URL"
"LOW","d9d8348b-6e2c-4545-a71d-1aa3db514b27","Sarath Babu",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Sarath_Babu","Add (actor)/(actress)/(director) to URL"
"LOW","fb082c8c-af23-4c11-ae8e-ac622861ea49","Sagar",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Sagar","Add (actor)/(actress)/(director) to URL"
"LOW","9a5cec2c-7f45-476f-8dc2-c17329fd0550","P. Sambasiva Rao",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/P._Sambasiva_Rao","Find correct Wikipedia name/spelling"
"LOW","b12e4bb5-741b-43cf-bb50-978848a781a4","Mouli",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Mouli","Add (actor)/(actress)/(director) to URL"
"LOW","d541ff95-fc21-4840-a763-3075931dedcd","P. Chandrasekhara Reddy",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/P._Chandrasekhara_Reddy","Find correct Wikipedia name/spelling"
"LOW","c95c9f1e-f0dd-453c-b794-56f7d506b457","Rajani",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Rajani","Add (actor)/(actress)/(director) to URL"
"LOW","89c96b26-0714-4066-a5cb-1b8cc916af5a","K. Bapayya",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/K._Bapayya","Add (actor)/(actress)/(director) to URL"
"LOW","b0f8fb89-47b1-4311-a1fd-c863e4a268aa","Vineeth",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Vineeth","Add (actor)/(actress)/(director) to URL"
"LOW","1741f482-6164-4a21-8346-a936ade8130f","Manjula",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Manjula","Add (actor)/(actress)/(director) to URL"
"LOW","a6215fa5-680b-4b0b-afcd-0e43accadbea","K.S.R. Das",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/K.S.R._Das","Find correct Wikipedia name/spelling"
"LOW","c7332687-3057-4ebf-9c53-7fb84b245923","Sada",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Sada","Add (actor)/(actress)/(director) to URL"
"LOW","c293135b-e402-4667-ad0a-280f44a04910","Janaki",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Janaki","Add (actor)/(actress)/(director) to URL"
"LOW","9707a13f-93f0-41ed-bb01-d3f0bc044ea6","Sujatha",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Sujatha","Add (actor)/(actress)/(director) to URL"
"LOW","bcab4d14-1bdd-478f-9e3d-c0ee7aa8d388","Poornima",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Poornima","Add (actor)/(actress)/(director) to URL"
"LOW","f95cc889-6f99-491d-97df-744fd668197f","Tabu",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Tabu","Add (actor)/(actress)/(director) to URL"
"LOW","714c98de-d98a-4bf5-81ca-5d3f685c26ff","Gummadi",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Gummadi","Add (actor)/(actress)/(director) to URL"
"LOW","bd03d4e0-7ac8-46d0-be57-956c3fc0f048","Aadi",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Aadi","Add (actor)/(actress)/(director) to URL"
"LOW","b1ea7116-8403-4044-a23c-84edcb963146","Abbas",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Abbas","Add (actor)/(actress)/(director) to URL"
"LOW","2d95e0a9-5623-442a-8d56-6d4cf96b5cb9","Ntr",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Ntr","Add (actor)/(actress)/(director) to URL"
"LOW","643e770e-6b92-4809-8309-1775ea11af6f","Rekha",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Rekha","Add (actor)/(actress)/(director) to URL"
"LOW","5ace7eda-ca6b-4f66-a7c8-69726b5f4850","M. Mallikarjuna Rao",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/M._Mallikarjuna_Rao","Find correct Wikipedia name/spelling"
"LOW","bfa022b9-e971-4cda-89bf-23fc3afecf23","Veera",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Veera","Add (actor)/(actress)/(director) to URL"
"LOW","9877433a-4cfb-42dc-ad11-3949246282c9","Ram Charan",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Ram_Charan","Add (actor)/(actress)/(director) to URL"
"LOW","7b5f9f0b-1fbe-4fdf-887c-5ae37a8842e6","Bhavana",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Bhavana","Add (actor)/(actress)/(director) to URL"
"LOW","821e947e-cbdb-4c8c-81c6-3b87d2a33f26","Revathi",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Revathi","Add (actor)/(actress)/(director) to URL"
"LOW","9997815d-971d-4218-b8a4-e505b79f97c9","Nagma",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Nagma","Add (actor)/(actress)/(director) to URL"
"LOW","7231547e-f604-4b4f-9ff7-61afb68bea75","Neelakanta",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Neelakanta","Add (actor)/(actress)/(director) to URL"
"LOW","c08f1e86-148b-4261-a403-e0dd3dbbd217","S. D. Lal",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/S._D._Lal","Find correct Wikipedia name/spelling"
"LOW","a4282e8a-e09f-48e9-a982-6f68c4f784c7","Kalyani",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Kalyani","Add (actor)/(actress)/(director) to URL"
"LOW","c4421d93-fc48-4478-87dd-7d92e52addcf","Nandu",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Nandu","Add (actor)/(actress)/(director) to URL"
"LOW","a014b39b-a483-4558-ad2b-6072fa0f1b44","Haranath",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Haranath","Add (actor)/(actress)/(director) to URL"
"LOW","61eee5cb-e4d7-4896-b0fa-984420b35f48","Poorna",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Poorna","Add (actor)/(actress)/(director) to URL"
"LOW","ed8eaf85-c71d-4dbe-afc5-1bd0d66d7f79","Jayanthi",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Jayanthi","Add (actor)/(actress)/(director) to URL"
"LOW","0584ecd1-d1b0-4171-9df2-d8123e00dd3e","Archana",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Archana","Add (actor)/(actress)/(director) to URL"
"LOW","10726a73-8d97-41f1-8dbf-f3b5df94aeac","Sai Kumar",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Sai_Kumar","Add (actor)/(actress)/(director) to URL"
"LOW","78800c0b-6a24-4b65-be8d-abb948158c34","Jeeva",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Jeeva","Add (actor)/(actress)/(director) to URL"
"LOW","38babe21-d89b-4ccc-be5b-4d2d39c48f2b","Prema",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Prema","Add (actor)/(actress)/(director) to URL"
"LOW","0569f627-54cb-4f11-8e24-2b728212010c","Tulasi",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Tulasi","Add (actor)/(actress)/(director) to URL"
"LOW","6663a53b-0dfa-4b4b-932a-c43aafb6f9a4","Kaveri",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Kaveri","Add (actor)/(actress)/(director) to URL"
"LOW","45effd62-5135-4007-afc4-97902483ee09","Laya",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Laya","Add (actor)/(actress)/(director) to URL"
"LOW","e56a739b-c305-4fb6-a24e-f234f2661f92","Samyuktha",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Samyuktha","Add (actor)/(actress)/(director) to URL"
"LOW","0cc96e22-e034-4e72-a870-7aabcf7ab2dc","K. Murali Mohan",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/K._Murali_Mohan","Find correct Wikipedia name/spelling"
"LOW","cadde48f-2522-448d-9a76-14af321f247d","V. Ramachandra Rao",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/V._Ramachandra_Rao","Find correct Wikipedia name/spelling"
"LOW","274a17df-ae7e-4e58-8ee0-ff1eaee6c833","Bellamkonda Srinivas",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/Bellamkonda_Srinivas","Find correct Wikipedia name/spelling"
"LOW","ee441731-3017-49d3-88ae-ff1a11f99d5b","Saritha",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Saritha","Add (actor)/(actress)/(director) to URL"
