Slug,Title (English),Title (Telugu),Release Year,Box Office Category,Current Rating,TMDB/Avg Rating,Review Rating,Director,Hero,Heroine,Genres,Is Blockbuster,Is Classic,Is Underrated,Story Score,Direction Score,Performance Score,Suggested Rating,Notes
arjun-chakravarthy-2025,"Arjun Chakravarthy","",2025,average,8,8,,"Vikrant Srinivas","Vijaya Rama Raju","Sija Rose","Drama",TRUE,FALSE,FALSE,,,,,
guard-2025,"Guard: Revenge for Love","గార్డ్",2025,average,7.9,7.93,,"Joselito Altarejos","Viraj Reddy Cheelam","Shilpa Balakrishnan","Drama",TRUE,FALSE,TRUE,,,,,
anaganaga-2025,"Anaganaga","అనగనగా ఒకరాజు",2025,hit,7.9,7.9,,"Taraka Rama","Saanya Bhatnagar","Kajal Choudhary","Thriller; Crime; Mystery",TRUE,FALSE,TRUE,,,,,
the-housemaid-2025,"The Housemaid","",2025,hit,7.9,7.57,,"Paul Feig","Sydney Sweeney","Amanda Seyfried","Mystery; Thriller",FALSE,FALSE,FALSE,,,,,
predator-killer-of-killers-2025,"Predator: Killer of Killers","",2025,hit,7.9,7.86,,"Dan Trachtenberg","Lindsay LaVanchy","Louis Ozawa","Animation; Action; Science Fiction; Thriller",FALSE,FALSE,FALSE,,,,,
paanch-minar-2025,"Paanch Minar","",2025,hit,7.8,7.5,,"Ramesh Kadumula","Raj Tarun","Raashi Singh","Comedy; Thriller; Crime",TRUE,FALSE,TRUE,,,,,
little-hearts-2025,"Little Hearts","తెలుగు సినిమాలు 2025",2025,hit,7.8,7.5,,"Sai Marthand","Mouli","Shivani Nagaram","Comedy; Romance; Drama",TRUE,FALSE,TRUE,,,,,
hridayapoorvam-2025,"Hridayapoorvam","",2025,hit,7.8,7.46,,"Sathyan Anthikad","Mohanlal","Malavika Mohanan","Romance; Comedy; Drama; Family",FALSE,FALSE,FALSE,,,,,
8-vasantalu-2025,"8 Vasantalu","",2025,hit,7.8,7.8,,"Phanindra Narsetti","Ananthika Sanilkumar","Ravi Theja Duggirala","Drama; Romance",TRUE,FALSE,TRUE,,,,,
f1-2025,"F1","",2025,hit,7.8,7.8,,"Joseph Kosinski","Brad Pitt","Damson Idris","Action; Drama",FALSE,FALSE,FALSE,,,,,
the-bad-guys-2-2025,"The Bad Guys 2","",2025,hit,7.7,7.71,,"Pierre Perifel","Sam Rockwell","Marc Maron","Family; Comedy; Crime; Adventure; Animation",FALSE,FALSE,FALSE,,,,,
the-gorge-2025,"The Gorge","",2025,hit,7.7,7.7,,"Scott Derrickson","Miles Teller","Anya Taylor-Joy","Romance; Science Fiction; Thriller",FALSE,FALSE,FALSE,,,,,
zootopia-2-2025,"Zootopia 2","",2025,hit,7.7,7.66,,"Jared Bush","Ginnifer Goodwin","Jason Bateman","Animation; Comedy; Adventure; Family; Mystery",FALSE,FALSE,FALSE,,,,,
nuremberg-2025,"Nuremberg","",2025,hit,7.6,7.29,,"James Vanderbilt","Russell Crowe","Rami Malek","History; Drama",FALSE,FALSE,FALSE,,,,,
padakkalam-2025,"Padakkalam","",2025,hit,7.6,7.29,,"Manu Swaraj","Sharafudheen","Sandeep Pradeep","Comedy; Fantasy",FALSE,FALSE,FALSE,,,,,
thunderbolts--2025,"Thunderbolts*","",2025,hit,7.6,7.31,,"Jake Schreier","Florence Pugh","Sebastian Stan","Action; Science Fiction; Adventure",FALSE,FALSE,FALSE,,,,,
akhanda-2-thaandavam-2025,"Akhanda 2: Thaandavam","",2025,hit,7.5,7.5,,"Boyapati Srinu","Nandamuri Balakrishna","Pragya Jaiswal","Action",TRUE,FALSE,TRUE,,,,,
court-state-vs-a-nobody-2025,"Court: State vs. A Nobody","",2025,hit,7.5,7.5,,"Ram Jagadeesh","Priyadarshi Pullikonda","Harsh Roshan","Drama; Romance; Crime",TRUE,FALSE,TRUE,,,,,
mad-2025,"(MAD)²","",2025,hit,7.5,7.4,,"Kalyan Shankar","Sangeeth Shobhan","Priyanka Jawalkar","Drama; Romance; Comedy",TRUE,FALSE,TRUE,,,,,
she-rides-shotgun-2025,"She Rides Shotgun","",2025,hit,7.4,7.1,,"Nick Rowland","Taron Egerton","Ana Sophia Heger","Action; Thriller; Crime",FALSE,FALSE,FALSE,,,,,
